item_id,language_pair,task_family,transition,rtt_transition,content_ftga,contract_ftga,content_rtt,contract_rtt,content_token_tax,contract_token_tax,content_first_failure_types,contract_first_failure_types,content_first_response_excerpt,contract_first_response_excerpt
ar_en_SA_004,ar-en,editing_preservation,content_only_pass,content_lower_rtt,1,0,0,1,1.0,2.216,,wrong_output_language;script_mismatch;task_noncompletion,"Certainly! Here's a more clear and polite version of your message: ""Unfortunately, I won't be able to join the call today, but I would be happy to share my update via email.""","بالطبع! إليك نسخة أكثر لطفًا ووضوحًا من النص: ""I won't be able to join the call today, but I’d be happy to share my update via email. Thank you for understanding."""
es_en_SA_002,es-en,editing_preservation,content_only_pass,content_lower_rtt,1,0,0,1,1.0,2.189,,wrong_output_language;task_noncompletion,"Sure! Here's a more natural version: ""Hi, I need to reschedule my appointment because my train was delayed.""","Claro, aquí tienes una versión más natural: ""Hi, I need to reschedule my appointment because my train was delayed."""
es_en_SA_003,es-en,editing_preservation,content_only_pass,content_lower_rtt,1,0,0,1,1.0,2.193,,wrong_output_language;task_noncompletion,"Sure! Here's a more natural-sounding version: ""Thanks for your help. I'll review the invoice and send the missing details tonight.""","Claro, aquí tienes una versión más natural del texto: ""Thanks for your help. I'll review the invoice and send the missing details tonight."""
es_en_SA_009,es-en,editing_preservation,content_only_pass,content_lower_rtt,1,0,0,1,1.0,2.197,,wrong_output_language;task_noncompletion,"Sure! Here's a more natural-sounding version: ""I need to ask my manager for an extra day to finish the slide deck.""","Claro, aquí tienes una versión más natural: **""I need to ask my manager for an extra day to finish the slide deck.""**"
ar_en_SC_007,ar-en,quote_preservation,contract_only_pass,contract_lower_rtt,0,1,1,0,2.217,1.0,preservation_failure;task_noncompletion,,"الوثيقة تتضمن قائمة بـ""موعد الدفع"" قبل ""رسوم التأخير"".","الوثيقة تذكر أولاً ""Payment Deadline"" ثم ""Late Fee""."
hi_en_SD_005,hi-en,script_register_locale,contract_only_pass,contract_lower_rtt,0,1,1,0,2.234,1.0,wrong_output_language,,The file name draft_v2.pdf should stay unchanged.,"Theek hai, draft_v2.pdf file ka naam badalna nahi hai."
hi_en_SD_006,hi-en,script_register_locale,contract_only_pass,contract_lower_rtt,0,1,1,0,2.271,1.0,wrong_output_language,,"Haan, please 10:30 AM pe move kar dein, appointment number INV-2048 same hi rahega.","Haan, INV-2048 ke appointment number ko badle bina, kya aap meri visit 10:30 AM par kar sakte hain?"
es_en_SA_004,es-en,editing_preservation,both_fail,same_rtt,0,0,1,1,2.281,2.199,wrong_output_language;task_noncompletion,wrong_output_language;task_noncompletion,"Claro, aquí tienes una versión más natural: ""No puedo unirme a la llamada hoy, pero puedo compartir mi actualización por correo.""","Claro, aquí tienes una versión más natural: ""No puedo unirme a la llamada hoy, pero puedo compartir mi actualización por correo."""
es_en_SA_005,es-en,editing_preservation,both_fail,same_rtt,0,0,1,1,2.272,2.186,wrong_output_language;task_noncompletion,wrong_output_language;task_noncompletion,"Claro, aquí tienes una versión más natural y suave del texto: ""The first paragraph is a bit too long, and the last sentence comes across as a little harsh.""","Claro, aquí tienes una versión más natural y suave del texto: ""The first paragraph is a bit too long, and the last sentence comes across as a little harsh."""
es_en_SA_006,es-en,editing_preservation,both_fail,same_rtt,0,0,1,1,2.291,2.183,wrong_output_language;task_noncompletion,wrong_output_language;task_noncompletion,"Claro, aquí tienes una versión más natural: ""I reviewed the report, and the second chart might be confusing for new readers.""","Claro, aquí tienes una versión más natural y fluida: ""Revisé el informe, y el segundo gráfico parece un poco confuso para quienes lo leen por primera vez."""
es_en_SA_007,es-en,editing_preservation,both_fail,contract_lower_rtt,0,0,3,1,1.0,2.181,wrong_output_language,wrong_output_language;task_noncompletion,¿Podrías decirle al cliente que el pago llegará la próxima semana?,"Claro, aquí tienes una versión más natural: ""Could you let the client know that the payment will arrive next week?"""
