item_id,language_pair,task_family,transition,rtt_transition,content_ftga,contract_ftga,content_rtt,contract_rtt,content_token_tax,contract_token_tax,content_first_failure_types,contract_first_failure_types,content_first_response_excerpt,contract_first_response_excerpt
ar_en_SA_001,ar-en,editing_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"Hi team, I’ve completed the notes, but I’m unsure if the conclusion is clear. Please let me know your thoughts.","Sure! Here's a more clear and friendly version of your message: ""Hi team, I’ve completed the notes. Please let me know if the conclusion is clear or if any adjustments are neede..."
ar_en_SA_002,ar-en,editing_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"Hello, I hope you're doing well. I would like to kindly request to reschedule my appointment, as my train was unexpectedly delayed. Thank you very much for your understanding.","Certainly! Here's a more polite and clearer version of your sentence: ""Hello, I hope you're doing well. I would like to kindly reschedule my appointment, as my train was delayed..."
ar_en_SA_003,ar-en,editing_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,Thank you so much for your assistance. I will review the invoice and send the missing details later this evening.,"Certainly! Here's a more polite and clearer version of your message: ""Thank you very much for your assistance. I will review the invoice and send the missing details later this..."
ar_en_SA_004,ar-en,editing_preservation,content_only_pass,content_lower_rtt,1,0,0,1,1.0,2.216,,wrong_output_language;script_mismatch;task_noncompletion,"Certainly! Here's a more clear and polite version of your message: ""Unfortunately, I won't be able to join the call today, but I would be happy to share my update via email.""","بالطبع! إليك نسخة أكثر لطفًا ووضوحًا من النص: ""I won't be able to join the call today, but I’d be happy to share my update via email. Thank you for understanding."""
ar_en_SA_005,ar-en,editing_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"Certainly! Here's a more polite and clearer version of your sentence: ""The first paragraph is quite lengthy, and I feel that the final sentence may come across as a bit abrupt.""","Certainly! Here's a more polite and clearer version of your sentence: ""The first paragraph is quite lengthy, and the last sentence comes across as a bit abrupt. Could we conside..."
ar_en_SA_006,ar-en,editing_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"Certainly! Here's a clearer and more polite version of your sentence: ""I've reviewed the report, and I think the second chart might be a bit confusing for new readers. Perhaps w...","Certainly! Here's a clearer and more polite version of your sentence: ""I've reviewed the report, and I believe the second chart might be a bit confusing for new readers. Perhaps..."
ar_en_SA_007,ar-en,editing_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"Certainly! Here's a more polite and clearer version of your sentence: ""Would you kindly inform the client that the payment is expected to arrive next week?""","Certainly! Here's a more polite and clearer version of your sentence: ""Would you kindly inform the client that the payment is expected to arrive next week?"""
ar_en_SA_008,ar-en,editing_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"Certainly! Here's a more polite and clearer version of your sentence: ""The survey question may come across as a bit too direct, which could potentially make some people feel unc...","Certainly! Here's a more polite and clearer version of your sentence: ""The survey question may come across as a bit too direct, which could potentially make some people feel unc..."
ar_en_SA_009,ar-en,editing_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"Certainly! Here's a more polite and clearer version of your sentence: ""Could I kindly request an additional day from my manager to complete the slide deck? Thank you very much f...","Certainly! Here's a more polite and clearer version of your sentence: ""Could I kindly request an additional day from my manager to complete the slide deck? Thank you very much f..."
ar_en_SA_010,ar-en,editing_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,Could you kindly inform the tenant that we have resolved the heating issue and will conduct a follow-up check tomorrow?,"Certainly! Here's a more polite and clearer version of your message: ""Could you please inform the tenant that the heating issue has been resolved? We will conduct a follow-up ch..."
ar_en_SB_001,ar-en,output_language_inference,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,The data is not enough to support this claim.,The data is not enough to support this claim.
ar_en_SB_002,ar-en,output_language_inference,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,Each of the students has submitted their form.,Each of the students has submitted their form.
ar_en_SB_003,ar-en,output_language_inference,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,I would appreciate it if you could reply today.,I would appreciate it if you could reply today.
ar_en_SB_004,ar-en,output_language_inference,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,This feedback is clearer than the last version.,This feedback is clearer than the last version.
ar_en_SB_005,ar-en,output_language_inference,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,Please let me know if there is any information missing.,Please let me know if there is any information missing.
ar_en_SB_006,ar-en,output_language_inference,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,Neither of the answers is correct.,Neither of the answers is correct.
ar_en_SB_007,ar-en,output_language_inference,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,The team has finished its review.,The team has finished its review.
ar_en_SB_008,ar-en,output_language_inference,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,Please discuss the schedule before Monday.,Please discuss the schedule before Monday.
ar_en_SB_009,ar-en,output_language_inference,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,I am used to working late on Fridays.,I am used to working late on Fridays.
ar_en_SB_010,ar-en,output_language_inference,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,This option is better for small teams.,This option is better for small teams.
ar_en_SC_001,ar-en,quote_preservation,both_fail,same_rtt,0,0,1,1,2.209,2.135,preservation_failure;task_noncompletion,preservation_failure;task_noncompletion,الوثيقة تتضمن سياسة الإرجاع قبل طلب الاسترداد.,"الوثيقة تذكر ""سياسة الإرجاع"" قبل ""طلب الاسترداد""."
ar_en_SC_002,ar-en,quote_preservation,both_fail,same_rtt,0,0,1,1,2.215,2.141,preservation_failure;task_noncompletion,preservation_failure;task_noncompletion,"الوثيقة تتضمن مراجعة الميزانية قبل قسم ""أسئلة المجتمع"".","الوثيقة تتضمن مراجعة الميزانية قبل قسم ""أسئلة المجتمع""."
ar_en_SC_003,ar-en,quote_preservation,both_fail,content_lower_rtt,0,0,1,2,2.215,3.442,preservation_failure;task_noncompletion,preservation_failure;task_noncompletion,"الوثيقة تتضمن إرشادات السلامة قبل قسم ""Emergency Contact"".","يقدم المستند إرشادات السلامة قبل ذكر ""Emergency Contact""."
ar_en_SC_004,ar-en,quote_preservation,both_fail,content_lower_rtt,0,0,1,3,2.404,3.668,preservation_failure;task_noncompletion,preservation_failure;task_noncompletion,"يقدم هذا المستند إشعارًا بالخصوصية قبل قسم ""تصدير البيانات""، موضحًا كيفية جمع البيانات الشخصية واستخدامها وحمايتها، بالإضافة إلى حقوق المستخدمين في الوصول إلى معلوماتهم وطلب تصح...",يرجى تزويدي بالنص الذي ترغب في تلخيصه.
