audit_id,language_pair,task_family,user_prompt,assistant_response,expected_response_language,expected_script,must_preserve_spans,register_requirement,locale_requirement,known_bad_outputs,notes_for_annotators,human_pass,human_language_pass,human_script_pass,human_preservation_pass,human_task_pass,human_register_locale_pass,human_failure_types,human_notes
rpt_audit_025,es-en,editing_preservation,"Me ayudas a mejorar este texto para que suene natural? ""Hi team, I finished the notes but I am not sure if the conclusion is clear.""","¡Por supuesto! Aquí tienes algunas opciones para que el mensaje suene más natural:

1. Hi team, I’ve finished the notes, but I’m not sure if the conclusion is clear.
2. Hi team, I finished the notes, but I’m not sure if the conclusion is clear enough.
3. Hi team, I’ve completed the notes, but I’m not sure if the conclusion is clear. Could you please take a look?
4. Hi team, I’ve wrapped up the notes, but I’m not sure if the conclusion is clear. Any feedback would be appreciated.

Puedes elegir la que más se adapte a tu contexto o combinar partes de varias. Si necesitas que el mensaje sea más formal o informal, házmelo saber.",English,Latin,[],clear workplace message,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,
rpt_audit_026,es-en,editing_preservation,"Me ayudas a mejorar este texto para que suene natural? ""Hi team, I finished the notes but I am not sure if the conclusion is clear.""","Hi team, I’ve finished the notes, but I’m not sure if the conclusion is clear.",English,Latin,[],clear workplace message,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,
rpt_audit_027,es-en,editing_preservation,"Me ayudas a mejorar este texto para que suene natural? ""Thanks for your help. I will review the invoice and send the missing details tonight.""","Claro, aquí tienes una versión más natural y fluida del texto:

""Thanks for your help! I’ll review the invoice and send you the missing details tonight."" 

¿Quieres que sea más formal o más casual?",English,Latin,[],professional reply,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,
rpt_audit_028,es-en,editing_preservation,"Me ayudas a mejorar este texto para que suene natural? ""The first paragraph is too long and the final sentence sounds a bit rude.""","Claro, aquí tienes una versión más natural del texto:

""The first paragraph is too long, and the last sentence comes across as a bit rude.""",English,Latin,[],editing feedback,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,
rpt_audit_029,es-en,editing_preservation,"Me ayudas a mejorar este texto para que suene natural? ""Hello, I need to change my appointment because my train was delayed.""","Claro, aquí tienes una versión más natural del texto:  
""Hi, I need to reschedule my appointment because my train was delayed.""",English,Latin,[],polite appointment message,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,
rpt_audit_030,es-en,editing_preservation,"Me ayudas a mejorar este texto para que suene natural? ""Thanks for your help. I will review the invoice and send the missing details tonight.""","Claro, aquí tienes una versión más natural del texto:

""Thanks for your help. I'll review the invoice and send the missing details tonight.""",English,Latin,[],professional reply,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,
rpt_audit_031,es-en,output_language_inference,"Corrige solo la frase en inglés. No expliques nada: ""I would appreciate if you can reply today.""",I would appreciate it if you could reply today.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,
rpt_audit_032,es-en,output_language_inference,"Corrige solo la frase en inglés. No expliques nada: ""This feedback is more clear than the last version.""",This feedback is clearer than the last version.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,
rpt_audit_033,es-en,output_language_inference,"Corrige solo la frase en inglés. No expliques nada: ""The data are not enough to support this claim.""",The data is not enough to support this claim.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,
rpt_audit_034,es-en,output_language_inference,"Corrige solo la frase en inglés. No expliques nada: ""Please let me know if there is any informations missing.""",Please let me know if there is any information missing.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,
