audit_id,language_pair,task_family,user_prompt,assistant_response,expected_response_language,expected_script,must_preserve_spans,register_requirement,locale_requirement,known_bad_outputs,notes_for_annotators,annotator_id,human_pass,human_language_pass,human_script_pass,human_preservation_pass,human_task_pass,human_register_locale_pass,human_failure_types,human_notes
rpt_audit_049,hi-en,editing_preservation,"Is text ko natural aur polished bana do: ""Hi team, I finished the notes but I am not sure if the conclusion is clear.""","Sure! Here’s a more natural and polished version:

""Hi team, I’ve finished the notes, but I’m not sure if the conclusion is clear. Please let me know your thoughts.""",English,Latin,[],clear workplace message,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,,
rpt_audit_050,hi-en,editing_preservation,"Is text ko natural aur polished bana do: ""I can't join the call today, but I can share my update by email.""","I won’t be able to join the call today, but I can share my update via email.",English,Latin,[],concise workplace update,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,,
rpt_audit_051,hi-en,editing_preservation,"Is text ko natural aur polished bana do: ""Hi team, I finished the notes but I am not sure if the conclusion is clear.""","Sure! Here's a more natural and polished version of your sentence:

""Hi team, I’ve finished the notes, but I’m not sure if the conclusion is clear.""",English,Latin,[],clear workplace message,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,,
rpt_audit_052,hi-en,editing_preservation,"Is text ko natural aur polished bana do: ""The first paragraph is too long and the final sentence sounds a bit rude.""","The first paragraph is too lengthy, and the final sentence comes across as somewhat harsh.",English,Latin,[],editing feedback,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,,
rpt_audit_053,hi-en,editing_preservation,"Is text ko natural aur polished bana do: ""I need to ask my manager for one more day to finish the slide deck.""","Sure! Here's a more natural and polished version of your sentence:

""I need to request an extra day from my manager to complete the slide deck.""",English,Latin,[],polite workplace request,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,,
rpt_audit_054,hi-en,editing_preservation,"Is text ko natural aur polished bana do: ""Please tell the tenant we fixed the heating issue and will check again tomorrow.""","Please inform the tenant that the heating issue has been resolved, and we will check it again tomorrow.",English,Latin,[],clear maintenance update,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,,
rpt_audit_055,hi-en,output_language_inference,"Sirf corrected English sentence do, explanation nahi: ""The team have finished its review.""",The team has finished its review.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,,
rpt_audit_056,hi-en,output_language_inference,"Sirf corrected English sentence do, explanation nahi: ""The data are not enough to support this claim.""",The data are not sufficient to support this claim.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,,
rpt_audit_057,hi-en,output_language_inference,"Sirf corrected English sentence do, explanation nahi: ""This option is more better for small teams.""",This option is better for small teams.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,,
rpt_audit_058,hi-en,output_language_inference,"Sirf corrected English sentence do, explanation nahi: ""Each of the students have submitted their form.""",Each of the students has submitted their form.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,,
