audit_id,language_pair,task_family,user_prompt,assistant_response,expected_response_language,expected_script,must_preserve_spans,register_requirement,locale_requirement,known_bad_outputs,notes_for_annotators,human_pass,human_language_pass,human_script_pass,human_preservation_pass,human_task_pass,human_register_locale_pass,human_failure_types,human_notes
rpt_audit_049,hi-en,editing_preservation,"Is text ko natural aur polished bana do: ""Hi team, I finished the notes but I am not sure if the conclusion is clear.""","Sure! Here’s a more natural and polished version:

""Hi team, I’ve finished the notes, but I’m not sure if the conclusion is clear. Please let me know your thoughts.""",English,Latin,[],clear workplace message,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,
rpt_audit_050,hi-en,editing_preservation,"Is text ko natural aur polished bana do: ""Hello, I need to change my appointment because my train was delayed.""","Hello, I need to reschedule my appointment as my train has been delayed.",English,Latin,[],polite appointment message,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,
rpt_audit_051,hi-en,editing_preservation,"Is text ko natural aur polished bana do: ""Hi team, I finished the notes but I am not sure if the conclusion is clear.""","Sure! Here's a more natural and polished version of your sentence:

""Hi team, I’ve finished the notes, but I’m not sure if the conclusion is clear.""",English,Latin,[],clear workplace message,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,
rpt_audit_052,hi-en,editing_preservation,"Is text ko natural aur polished bana do: ""Thanks for your help. I will review the invoice and send the missing details tonight.""",Thank you for your help. I will review the invoice and send the missing details by tonight.,English,Latin,[],professional reply,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,
rpt_audit_053,hi-en,editing_preservation,"Is text ko natural aur polished bana do: ""The first paragraph is too long and the final sentence sounds a bit rude.""","Certainly! Here's a more natural and polished version of your sentence:

""The first paragraph is a bit lengthy, and the last sentence comes across as somewhat abrupt.""",English,Latin,[],editing feedback,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,
rpt_audit_054,hi-en,editing_preservation,"Is text ko natural aur polished bana do: ""The first paragraph is too long and the final sentence sounds a bit rude.""","The first paragraph is a bit lengthy, and the last sentence comes across as somewhat abrupt.",English,Latin,[],editing feedback,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,
rpt_audit_055,hi-en,output_language_inference,"Sirf corrected English sentence do, explanation nahi: ""This feedback is more clear than the last version.""",This feedback is clearer than the last version.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,
rpt_audit_056,hi-en,output_language_inference,"Sirf corrected English sentence do, explanation nahi: ""The data are not enough to support this claim.""",The data are not sufficient to support this claim.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,
rpt_audit_057,hi-en,output_language_inference,"Sirf corrected English sentence do, explanation nahi: ""Please let me know if there is any informations missing.""",Please let me know if there is any information missing.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,
rpt_audit_058,hi-en,output_language_inference,"Sirf corrected English sentence do, explanation nahi: ""The data are not enough to support this claim.""",The data is not enough to support this claim.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,
rpt_audit_059,hi-en,output_language_inference,"Sirf corrected English sentence do, explanation nahi: ""Each of the students have submitted their form.""",Each of the students has submitted his or her form.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,
rpt_audit_060,hi-en,output_language_inference,"Sirf corrected English sentence do, explanation nahi: ""I would appreciate if you can reply today.""",I would appreciate it if you could reply today.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,
rpt_audit_061,hi-en,quote_preservation,"Hindi mein short summary do, Latin script only. Quoted headings ko exactly English mein rakho: The document lists ""Safety Guidelines"" before ""Emergency Contact"".","Document mein pehle ""Safety Guidelines"" diye gaye hain, jismein suraksha ke niyam aur savdhaniyan batayi gayi hain. Uske baad ""Emergency Contact"" section hai, jahan zarurat ke samay sampark karne wale logon ya agencies ke contact details diye gaye hain.",Hindi/Hinglish,Latin,"[""Safety Guidelines"", ""Emergency Contact""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,
rpt_audit_062,hi-en,quote_preservation,"Hindi mein short summary do, Latin script only. Quoted headings ko exactly English mein rakho: The document lists ""Privacy Notice"" before ""Data Export"".","Document mein ""Privacy Notice"" sabse pehle diya gaya hai, uske baad ""Data Export"" ka zikr hai.",Hindi/Hinglish,Latin,"[""Privacy Notice"", ""Data Export""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,
rpt_audit_063,hi-en,quote_preservation,"Hindi mein short summary do, Latin script only. Quoted headings ko exactly English mein rakho: The document lists ""Course Requirements"" before ""Final Exam"".","Document mein pehle ""Course Requirements"" diye gaye hain, jismein course complete karne ke liye zaroori conditions aur assignments ka zikr hai. Uske baad ""Final Exam"" ka section hai, jismein antim pariksha ke baare mein jankari di gayi hai.",Hindi/Hinglish,Latin,"[""Course Requirements"", ""Final Exam""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,
rpt_audit_064,hi-en,quote_preservation,"Hindi mein short summary do, Latin script only. Quoted headings ko exactly English mein rakho: The document lists ""Privacy Notice"" before ""Data Export"".","Document mein pehle ""Privacy Notice"" diya gaya hai, jisme vyakti ki jankariyon ki suraksha aur unke upyog ke baare mein bataya gaya hai. Uske baad ""Data Export"" ka zikr hai, jisme data ko kaise export kiya ja sakta hai, iski jankari di gayi hai.",Hindi/Hinglish,Latin,"[""Privacy Notice"", ""Data Export""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,
rpt_audit_065,hi-en,quote_preservation,"Hindi mein short summary do, Latin script only. Quoted headings ko exactly English mein rakho: The document lists ""Return Policy"" before ""Refund Request"".","Yeh document ""Return Policy"" ke saath shuru hota hai, jisme bataya gaya hai ki products ko kitne din ke andar return kiya ja sakta hai aur return process kya hai. Ismein condition di gayi hai ki product original condition mein hona chahiye. Uske baad ""Refund Request"" ka zikr hota hai, jisme bataya gaya hai ki refund ke liye kaise request ki ja sakti hai aur kitne samay mein refund process complete hota hai. Overall, yeh document return aur refund ki policies ko clearly define karta hai.",Hindi/Hinglish,Latin,"[""Return Policy"", ""Refund Request""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,
rpt_audit_066,hi-en,quote_preservation,"Hindi mein short summary do, Latin script only. Quoted headings ko exactly English mein rakho: The document lists ""Safety Guidelines"" before ""Emergency Contact"".","""Safety Guidelines"" ke antargat suraksha ke niyam diye gaye hain, jaise ki sahi tarike se upkaran ka upyog karna, suraksha ke liye protective gear pehna, aur aag lagne par kya karna chahiye. ""Emergency Contact"" ke section mein turant madad ke liye contact number diye gaye hain. Yeh dono sections milkar suraksha aur emergency ke liye mahatvapurn jankari pradan karte hain.",Hindi/Hinglish,Latin,"[""Safety Guidelines"", ""Emergency Contact""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,
rpt_audit_067,hi-en,script_register_locale,"Hindi mein short WhatsApp reply likho, Latin script only, no Devanagari. Context mein exact data same rakhna. Context: Say the booking code ABC-17 is correct and I will arrive after lunch.",Booking code ABC-17 sahi hai. Main lunch ke baad aaunga.,Hindi/Hinglish,Latin,"[""ABC-17""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,
rpt_audit_068,hi-en,script_register_locale,"Hindi mein short WhatsApp reply likho, Latin script only, no Devanagari. Context mein exact data same rakhna. Context: Tell my classmate that the file name draft_v2.pdf should stay unchanged.","File ka naam draft_v2.pdf waise hi rehne do, change mat karo.",Hindi/Hinglish,Latin,"[""draft_v2.pdf""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,
rpt_audit_069,hi-en,script_register_locale,"Hindi mein short WhatsApp reply likho, Latin script only, no Devanagari. Context mein exact data same rakhna. Context: Tell my classmate that the file name draft_v2.pdf should stay unchanged.",File name draft_v2.pdf waise hi rehna chahiye.,Hindi/Hinglish,Latin,"[""draft_v2.pdf""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,
rpt_audit_070,hi-en,script_register_locale,"Hindi mein short WhatsApp reply likho, Latin script only, no Devanagari. Context mein exact data same rakhna. Context: Confirm the meeting is on 05/07/2026 and ask them not to change the date format.",Meeting confirm hai 05/07/2026 ko. Kripya date format mat badalna.,Hindi/Hinglish,Latin,"[""05/07/2026""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,
rpt_audit_071,hi-en,script_register_locale,"Hindi mein short WhatsApp reply likho, Latin script only, no Devanagari. Context mein exact data same rakhna. Context: Tell a friend I paid ₹500 and will send the receipt tomorrow.","Theek hai, maine ₹500 pay kiye hain. Kal receipt bhej dunga.",Hindi/Hinglish,Latin,"[""₹500""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,
rpt_audit_072,hi-en,script_register_locale,"Hindi mein short WhatsApp reply likho, Latin script only, no Devanagari. Context mein exact data same rakhna. Context: Ask if the shop can keep the order under the name Mira Rao exactly.","Haan, Mira Rao ke naam se order rakh sakte hain.",Hindi/Hinglish,Latin,"[""Mira Rao""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,
