audit_id,language_pair,task_family,user_prompt,assistant_response,expected_response_language,expected_script,must_preserve_spans,register_requirement,locale_requirement,known_bad_outputs,notes_for_annotators,human_pass,human_language_pass,human_script_pass,human_preservation_pass,human_task_pass,human_register_locale_pass,human_failure_types,human_notes
rpt_audit_001,ar-en,editing_preservation,"ساعدني في تحسين هذا النص ليصبح أوضح وأكثر لطفاً: ""Thanks for your help. I will review the invoice and send the missing details tonight.""","بالطبع! إليك نسخة محسّنة وأكثر لطفاً ووضوحاً من النص:

Thank you very much for your help. I will review the invoice and make sure to send you the missing details later tonight.",English,Latin,[],professional reply,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,
rpt_audit_002,ar-en,editing_preservation,"ساعدني في تحسين هذا النص ليصبح أوضح وأكثر لطفاً: ""I can't join the call today, but I can share my update by email.""","I’m unable to join the call today, but I’d be happy to share my update via email.",English,Latin,[],concise workplace update,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,
rpt_audit_003,ar-en,editing_preservation,"ساعدني في تحسين هذا النص ليصبح أوضح وأكثر لطفاً: ""I can't join the call today, but I can share my update by email.""","بالطبع! إليك نصًا محسنًا وأكثر لطفًا ووضوحًا:

""أعتذر لعدم تمكني من الانضمام إلى المكالمة اليوم، لكنني سأشارك تحديثي عبر البريد الإلكتروني. شكراً لتفهمكم.""",English,Latin,[],concise workplace update,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,
rpt_audit_004,ar-en,editing_preservation,"ساعدني في تحسين هذا النص ليصبح أوضح وأكثر لطفاً: ""Thanks for your help. I will review the invoice and send the missing details tonight.""",Thank you so much for your help. I will carefully review the invoice and make sure to send the missing details by tonight.,English,Latin,[],professional reply,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,
rpt_audit_005,ar-en,editing_preservation,"ساعدني في تحسين هذا النص ليصبح أوضح وأكثر لطفاً: ""Hello, I need to change my appointment because my train was delayed.""","بالطبع! إليك نسخة أكثر لطفًا ووضوحًا من النص:

""مرحبًا، أود أن أغير موعدي بسبب تأخير قطاري، هل يمكنكم مساعدتي في ذلك؟ شكرًا جزيلًا لكم.""",English,Latin,[],polite appointment message,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,
rpt_audit_006,ar-en,editing_preservation,"ساعدني في تحسين هذا النص ليصبح أوضح وأكثر لطفاً: ""The first paragraph is too long and the final sentence sounds a bit rude.""","Certainly! Here's a more polite and clearer version of your sentence:

""The first paragraph is quite lengthy, and the last sentence comes across as a bit abrupt. Could we consider making some adjustments to improve the overall tone and clarity?""",English,Latin,[],editing feedback,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,
rpt_audit_007,ar-en,output_language_inference,"صحح الجملة الإنجليزية فقط من دون شرح: ""Please let me know if there is any informations missing.""",Please let me know if there is any information missing.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,
rpt_audit_008,ar-en,output_language_inference,"صحح الجملة الإنجليزية فقط من دون شرح: ""Please let me know if there is any informations missing.""",Please let me know if there is any information missing.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,
rpt_audit_009,ar-en,output_language_inference,"صحح الجملة الإنجليزية فقط من دون شرح: ""Each of the students have submitted their form.""",Each of the students has submitted their form.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,
rpt_audit_010,ar-en,output_language_inference,"صحح الجملة الإنجليزية فقط من دون شرح: ""I would appreciate if you can reply today.""",I would appreciate it if you could reply today.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,
