item_id,model_generation,model,condition,language_pair,task_family,ftga,rtt,unresolved,first_turn_tokens,total_input_tokens,total_output_tokens,total_tokens_until_stop,extra_tokens_after_first,token_tax
ar_en_SA_001,GPT-4.1 family,gpt-4.1,baseline,ar-en,editing_preservation,0,1,0,130,195,146,341,211,2.623076923076923
ar_en_SA_002,GPT-4.1 family,gpt-4.1,baseline,ar-en,editing_preservation,0,1,0,97,158,104,262,165,2.7010309278350517
ar_en_SA_003,GPT-4.1 family,gpt-4.1,baseline,ar-en,editing_preservation,0,1,0,95,159,88,247,152,2.6
ar_en_SA_004,GPT-4.1 family,gpt-4.1,baseline,ar-en,editing_preservation,0,1,0,159,222,268,490,331,3.0817610062893084
ar_en_SA_005,GPT-4.1 family,gpt-4.1,baseline,ar-en,editing_preservation,0,1,0,144,206,204,410,266,2.8472222222222223
ar_en_SA_006,GPT-4.1 family,gpt-4.1,baseline,ar-en,editing_preservation,0,1,0,109,171,119,290,181,2.6605504587155964
ar_en_SA_007,GPT-4.1 family,gpt-4.1,baseline,ar-en,editing_preservation,0,1,0,81,141,72,213,132,2.6296296296296298
ar_en_SA_008,GPT-4.1 family,gpt-4.1,baseline,ar-en,editing_preservation,0,1,0,85,144,75,219,134,2.5764705882352943
ar_en_SA_009,GPT-4.1 family,gpt-4.1,baseline,ar-en,editing_preservation,0,1,0,102,165,106,271,169,2.656862745098039
ar_en_SA_010,GPT-4.1 family,gpt-4.1,baseline,ar-en,editing_preservation,0,1,0,94,156,97,253,159,2.6914893617021276
ar_en_SB_001,GPT-4.1 family,gpt-4.1,baseline,ar-en,output_language_inference,1,0,0,49,38,11,49,0,1.0
ar_en_SB_002,GPT-4.1 family,gpt-4.1,baseline,ar-en,output_language_inference,1,0,0,47,37,10,47,0,1.0
ar_en_SB_003,GPT-4.1 family,gpt-4.1,baseline,ar-en,output_language_inference,1,0,0,48,37,11,48,0,1.0
ar_en_SB_004,GPT-4.1 family,gpt-4.1,baseline,ar-en,output_language_inference,1,0,0,48,38,10,48,0,1.0
ar_en_SB_005,GPT-4.1 family,gpt-4.1,baseline,ar-en,output_language_inference,1,0,0,51,39,12,51,0,1.0
ar_en_SB_006,GPT-4.1 family,gpt-4.1,baseline,ar-en,output_language_inference,1,0,0,43,35,8,43,0,1.0
ar_en_SB_007,GPT-4.1 family,gpt-4.1,baseline,ar-en,output_language_inference,1,0,0,43,35,8,43,0,1.0
ar_en_SB_008,GPT-4.1 family,gpt-4.1,baseline,ar-en,output_language_inference,1,0,0,44,36,8,44,0,1.0
ar_en_SB_009,GPT-4.1 family,gpt-4.1,baseline,ar-en,output_language_inference,1,0,0,47,37,10,47,0,1.0
ar_en_SB_010,GPT-4.1 family,gpt-4.1,baseline,ar-en,output_language_inference,1,0,0,46,37,9,46,0,1.0
ar_en_SC_001,GPT-4.1 family,gpt-4.1,baseline,ar-en,quote_preservation,1,0,0,68,53,15,68,0,1.0
