review_id,item_id,coverage_slice,language_pair,instruction_language,content_language,task_family,user_prompt,expected_response_language,expected_script,must_preserve_spans,required_any_markers,forbidden_markers,known_bad_outputs,register_requirement,locale_requirement,notes_for_reviewers,reviewer_id,reviewer_prompt_clear,reviewer_target_language_natural,reviewer_script_expectation_valid,reviewer_preservation_spans_valid,reviewer_known_bad_outputs_valid,reviewer_release_usable,reviewer_issue_types,reviewer_notes
rpt_v03_native_051,v03_es_ar_EP_001,spanish_instruction_arabic_quote,es-ar,Spanish,Arabic,editing_preservation,"¿Puedes mejorar esta cita en árabe sin traducirla al español ni cambiar sus términos clave? ""أنهى الفريق المسودة، لكن الخاتمة تحتاج إلى توضيح قبل الإرسال.""",Arabic,Arabic,"[""المسودة"", ""الخاتمة""]","[""المسودة"", ""الخاتمة""]","[""Claro"", ""Aquí tienes"", ""El "", ""La "", ""Here is"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,Spanish instruction with Arabic target content; targets non-English-to-non-English preservation. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_052,v03_es_ar_EP_002,spanish_instruction_arabic_quote,es-ar,Spanish,Arabic,editing_preservation,"¿Puedes mejorar esta cita en árabe sin traducirla al español ni cambiar sus términos clave? ""ستفتح المكتبة مبكرا يوم الاثنين لأن جلسة القراءة ستبدأ صباحا.""",Arabic,Arabic,"[""المكتبة"", ""جلسة القراءة""]","[""المكتبة"", ""جلسة القراءة""]","[""Claro"", ""Aquí tienes"", ""El "", ""La "", ""Here is"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,Spanish instruction with Arabic target content; targets non-English-to-non-English preservation. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_053,v03_es_ar_EP_003,spanish_instruction_arabic_quote,es-ar,Spanish,Arabic,editing_preservation,"¿Puedes mejorar esta cita en árabe sin traducirla al español ni cambiar sus términos clave? ""وافق العميل على التصميم، لكنه طلب تعديلات في الغلاف.""",Arabic,Arabic,"[""العميل"", ""الغلاف""]","[""العميل"", ""الغلاف""]","[""Claro"", ""Aquí tienes"", ""El "", ""La "", ""Here is"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,Spanish instruction with Arabic target content; targets non-English-to-non-English preservation. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_054,v03_es_ar_EP_004,spanish_instruction_arabic_quote,es-ar,Spanish,Arabic,editing_preservation,"¿Puedes mejorar esta cita en árabe sin traducirla al español ni cambiar sus términos clave? ""تقدم الصف في المشروع، لكن الملخص النهائي يحتاج إلى أمثلة.""",Arabic,Arabic,"[""المشروع"", ""الملخص النهائي""]","[""المشروع"", ""الملخص النهائي""]","[""Claro"", ""Aquí tienes"", ""El "", ""La "", ""Here is"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,Spanish instruction with Arabic target content; targets non-English-to-non-English preservation. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_055,v03_es_ar_EP_005,spanish_instruction_arabic_quote,es-ar,Spanish,Arabic,editing_preservation,"¿Puedes mejorar esta cita en árabe sin traducirla al español ni cambiar sus términos clave? ""وصلت الحملة إلى عائلات جديدة وتلقت ملاحظات حول التقويم.""",Arabic,Arabic,"[""الحملة"", ""التقويم""]","[""الحملة"", ""التقويم""]","[""Claro"", ""Aquí tienes"", ""El "", ""La "", ""Here is"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,Spanish instruction with Arabic target content; targets non-English-to-non-English preservation. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_056,v03_es_ar_EP_006,spanish_instruction_arabic_quote,es-ar,Spanish,Arabic,editing_preservation,"¿Puedes mejorar esta cita en árabe sin traducirla al español ni cambiar sus términos clave? ""أكد المكتب موعد الاجتماع، لكن الميزانية لم تعتمد بعد.""",Arabic,Arabic,"[""الاجتماع"", ""الميزانية""]","[""الاجتماع"", ""الميزانية""]","[""Claro"", ""Aquí tienes"", ""El "", ""La "", ""Here is"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,Spanish instruction with Arabic target content; targets non-English-to-non-English preservation. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_057,v03_es_ar_EP_007,spanish_instruction_arabic_quote,es-ar,Spanish,Arabic,editing_preservation,"¿Puedes mejorar esta cita en árabe sin traducirla al español ni cambiar sus términos clave? ""شرح المعلم التمرين وطلب تسجيل التقدم اليومي.""",Arabic,Arabic,"[""التمرين"", ""التقدم اليومي""]","[""التمرين"", ""التقدم اليومي""]","[""Claro"", ""Aquí tienes"", ""El "", ""La "", ""Here is"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,Spanish instruction with Arabic target content; targets non-English-to-non-English preservation. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_058,v03_es_ar_EP_008,spanish_instruction_arabic_quote,es-ar,Spanish,Arabic,editing_preservation,"¿Puedes mejorar esta cita en árabe sin traducirla al español ni cambiar sus términos clave? ""حدث المتجر المخزون وخصص مساحة للمنتجات المحلية.""",Arabic,Arabic,"[""المخزون"", ""المنتجات المحلية""]","[""المخزون"", ""المنتجات المحلية""]","[""Claro"", ""Aquí tienes"", ""El "", ""La "", ""Here is"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,Spanish instruction with Arabic target content; targets non-English-to-non-English preservation. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_059,v03_es_ar_EP_009,spanish_instruction_arabic_quote,es-ar,Spanish,Arabic,editing_preservation,"¿Puedes mejorar esta cita en árabe sin traducirla al español ni cambiar sus términos clave? ""نشر المتحف البرنامج وأضاف جولة إرشادية في المساء.""",Arabic,Arabic,"[""البرنامج"", ""جولة إرشادية""]","[""البرنامج"", ""جولة إرشادية""]","[""Claro"", ""Aquí tienes"", ""El "", ""La "", ""Here is"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,Spanish instruction with Arabic target content; targets non-English-to-non-English preservation. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_060,v03_es_ar_EP_010,spanish_instruction_arabic_quote,es-ar,Spanish,Arabic,editing_preservation,"¿Puedes mejorar esta cita en árabe sin traducirla al español ni cambiar sus términos clave? ""أغلقت المؤسسة الاستبيان وستشارك النتائج في أغسطس.""",Arabic,Arabic,"[""الاستبيان"", ""النتائج""]","[""الاستبيان"", ""النتائج""]","[""Claro"", ""Aquí tienes"", ""El "", ""La "", ""Here is"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,Spanish instruction with Arabic target content; targets non-English-to-non-English preservation. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
