review_id,item_id,coverage_slice,language_pair,instruction_language,content_language,task_family,user_prompt,expected_response_language,expected_script,must_preserve_spans,required_any_markers,forbidden_markers,known_bad_outputs,register_requirement,locale_requirement,notes_for_reviewers,reviewer_id,reviewer_prompt_clear,reviewer_target_language_natural,reviewer_script_expectation_valid,reviewer_preservation_spans_valid,reviewer_known_bad_outputs_valid,reviewer_release_usable,reviewer_issue_types,reviewer_notes
rpt_v03_native_001,v03_ar_ar_EP_001,arabic_instruction_arabic_filenames,ar-ar,Arabic,Arabic with English file names,editing_preservation,"يرجى تحسين هذه الرسالة بالعربية مع إبقاء أسماء الملفات بالإنجليزية كما هي: ""راجعت ملف budget_plan.xlsx، لكن ملخص presentation_draft.pptx يحتاج إلى تعديل قبل الاجتماع.""",Arabic,Arabic,"[""budget_plan.xlsx"", ""presentation_draft.pptx""]","[""budget_plan.xlsx"", ""presentation_draft.pptx""]","[""Here is"", ""Claro"", ""budget plan"", ""presentation draft"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,Arabic instruction and Arabic target content with literal English file-name preservation. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_002,v03_ar_ar_EP_002,arabic_instruction_arabic_filenames,ar-ar,Arabic,Arabic with English file names,editing_preservation,"يرجى تحسين هذه الرسالة بالعربية مع إبقاء أسماء الملفات بالإنجليزية كما هي: ""حفظ الفريق ملاحظات workshop_notes.docx، وينتظر مراجعة chart_update.png قبل النشر.""",Arabic,Arabic,"[""workshop_notes.docx"", ""chart_update.png""]","[""workshop_notes.docx"", ""chart_update.png""]","[""Here is"", ""Claro"", ""budget plan"", ""presentation draft"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,Arabic instruction and Arabic target content with literal English file-name preservation. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_003,v03_ar_ar_EP_003,arabic_instruction_arabic_filenames,ar-ar,Arabic,Arabic with English file names,editing_preservation,"يرجى تحسين هذه الرسالة بالعربية مع إبقاء أسماء الملفات بالإنجليزية كما هي: ""يحتوي folder_map.csv على أسماء الأقسام، لكن staffing_overview.pdf يحتاج إلى فقرة افتتاحية.""",Arabic,Arabic,"[""folder_map.csv"", ""staffing_overview.pdf""]","[""folder_map.csv"", ""staffing_overview.pdf""]","[""Here is"", ""Claro"", ""budget plan"", ""presentation draft"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,Arabic instruction and Arabic target content with literal English file-name preservation. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_004,v03_ar_ar_EP_004,arabic_instruction_arabic_filenames,ar-ar,Arabic,Arabic with English file names,editing_preservation,"يرجى تحسين هذه الرسالة بالعربية مع إبقاء أسماء الملفات بالإنجليزية كما هي: ""أرسلت لي نسخة survey_results.xlsx، لكن response_summary.docx لا يشرح سبب التغيير.""",Arabic,Arabic,"[""survey_results.xlsx"", ""response_summary.docx""]","[""survey_results.xlsx"", ""response_summary.docx""]","[""Here is"", ""Claro"", ""budget plan"", ""presentation draft"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,Arabic instruction and Arabic target content with literal English file-name preservation. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_005,v03_ar_ar_EP_005,arabic_instruction_arabic_filenames,ar-ar,Arabic,Arabic with English file names,editing_preservation,"يرجى تحسين هذه الرسالة بالعربية مع إبقاء أسماء الملفات بالإنجليزية كما هي: ""تطابق cost_table.csv مع العرض، لكن launch_brief.pptx يحتاج إلى ترتيب أوضح.""",Arabic,Arabic,"[""cost_table.csv"", ""launch_brief.pptx""]","[""cost_table.csv"", ""launch_brief.pptx""]","[""Here is"", ""Claro"", ""budget plan"", ""presentation draft"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,Arabic instruction and Arabic target content with literal English file-name preservation. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_006,v03_ar_ar_EP_006,arabic_instruction_arabic_filenames,ar-ar,Arabic,Arabic with English file names,editing_preservation,"يرجى تحسين هذه الرسالة بالعربية مع إبقاء أسماء الملفات بالإنجليزية كما هي: ""سجلت الملاحظات في design_notes.docx، وبقيت صورة banner_mockup.png بحاجة إلى وصف قصير.""",Arabic,Arabic,"[""design_notes.docx"", ""banner_mockup.png""]","[""design_notes.docx"", ""banner_mockup.png""]","[""Here is"", ""Claro"", ""budget plan"", ""presentation draft"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,Arabic instruction and Arabic target content with literal English file-name preservation. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_007,v03_ar_ar_EP_007,arabic_instruction_arabic_filenames,ar-ar,Arabic,Arabic with English file names,editing_preservation,"يرجى تحسين هذه الرسالة بالعربية مع إبقاء أسماء الملفات بالإنجليزية كما هي: ""راجعنا ملف agenda_final.docx، لكن checklist_grid.xlsx لا يذكر خطوة المتابعة.""",Arabic,Arabic,"[""agenda_final.docx"", ""checklist_grid.xlsx""]","[""agenda_final.docx"", ""checklist_grid.xlsx""]","[""Here is"", ""Claro"", ""budget plan"", ""presentation draft"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,Arabic instruction and Arabic target content with literal English file-name preservation. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_008,v03_ar_ar_EP_008,arabic_instruction_arabic_filenames,ar-ar,Arabic,Arabic with English file names,editing_preservation,"يرجى تحسين هذه الرسالة بالعربية مع إبقاء أسماء الملفات بالإنجليزية كما هي: ""يشرح market_outline.pdf الفكرة العامة، لكن demo_script.docx يحتاج إلى خاتمة أبسط.""",Arabic,Arabic,"[""market_outline.pdf"", ""demo_script.docx""]","[""market_outline.pdf"", ""demo_script.docx""]","[""Here is"", ""Claro"", ""budget plan"", ""presentation draft"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,Arabic instruction and Arabic target content with literal English file-name preservation. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_009,v03_ar_ar_EP_009,arabic_instruction_arabic_filenames,ar-ar,Arabic,Arabic with English file names,editing_preservation,"يرجى تحسين هذه الرسالة بالعربية مع إبقاء أسماء الملفات بالإنجليزية كما هي: ""تضمين صورة route_map.png مناسب، لكن report_draft.pdf يحتاج إلى عنوان أوضح.""",Arabic,Arabic,"[""route_map.png"", ""report_draft.pdf""]","[""route_map.png"", ""report_draft.pdf""]","[""Here is"", ""Claro"", ""budget plan"", ""presentation draft"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,Arabic instruction and Arabic target content with literal English file-name preservation. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_010,v03_ar_ar_EP_010,arabic_instruction_arabic_filenames,ar-ar,Arabic,Arabic with English file names,editing_preservation,"يرجى تحسين هذه الرسالة بالعربية مع إبقاء أسماء الملفات بالإنجليزية كما هي: ""يوضح ملف training_plan.docx الأهداف، لكن quiz_items.csv يحتاج إلى أمثلة إضافية.""",Arabic,Arabic,"[""training_plan.docx"", ""quiz_items.csv""]","[""training_plan.docx"", ""quiz_items.csv""]","[""Here is"", ""Claro"", ""budget plan"", ""presentation draft"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,Arabic instruction and Arabic target content with literal English file-name preservation. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
