review_id,item_id,coverage_slice,language_pair,instruction_language,content_language,task_family,user_prompt,expected_response_language,expected_script,must_preserve_spans,required_any_markers,forbidden_markers,known_bad_outputs,register_requirement,locale_requirement,notes_for_reviewers,reviewer_id,reviewer_prompt_clear,reviewer_target_language_natural,reviewer_script_expectation_valid,reviewer_preservation_spans_valid,reviewer_known_bad_outputs_valid,reviewer_release_usable,reviewer_issue_types,reviewer_notes
rpt_v03_native_031,v03_en_es_EP_001,english_instruction_spanish_content,en-es,English,Spanish,editing_preservation,"Please polish this Spanish update while keeping the answer in Spanish and not translating it into English: ""El equipo terminó el informe, pero falta revisar la conclusión antes de enviarlo.""",Spanish,Latin,"[""informe"", ""conclusión""]","[""informe"", ""conclusión""]","[""Here is"", ""The team"", ""بالطبع"", ""إليك"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Spanish target content; preserves the target language. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_032,v03_en_es_EP_002,english_instruction_spanish_content,en-es,English,Spanish,editing_preservation,"Please polish this Spanish update while keeping the answer in Spanish and not translating it into English: ""La biblioteca abrirá más temprano el lunes porque hay una sesión de lectura.""",Spanish,Latin,"[""biblioteca"", ""sesión de lectura""]","[""biblioteca"", ""sesión de lectura""]","[""Here is"", ""The team"", ""بالطبع"", ""إليك"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Spanish target content; preserves the target language. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_033,v03_en_es_EP_003,english_instruction_spanish_content,en-es,English,Spanish,editing_preservation,"Please polish this Spanish update while keeping the answer in Spanish and not translating it into English: ""El cliente aprobó el diseño, aunque pidió cambios en la portada.""",Spanish,Latin,"[""cliente"", ""portada""]","[""cliente"", ""portada""]","[""Here is"", ""The team"", ""بالطبع"", ""إليك"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Spanish target content; preserves the target language. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_034,v03_en_es_EP_004,english_instruction_spanish_content,en-es,English,Spanish,editing_preservation,"Please polish this Spanish update while keeping the answer in Spanish and not translating it into English: ""La clase avanzó con el proyecto, pero el resumen final necesita ejemplos.""",Spanish,Latin,"[""proyecto"", ""resumen final""]","[""proyecto"", ""resumen final""]","[""Here is"", ""The team"", ""بالطبع"", ""إليك"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Spanish target content; preserves the target language. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_035,v03_en_es_EP_005,english_instruction_spanish_content,en-es,English,Spanish,editing_preservation,"Please polish this Spanish update while keeping the answer in Spanish and not translating it into English: ""La campaña llegó a nuevos grupos y recibió comentarios sobre el calendario.""",Spanish,Latin,"[""campaña"", ""calendario""]","[""campaña"", ""calendario""]","[""Here is"", ""The team"", ""بالطبع"", ""إليك"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Spanish target content; preserves the target language. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_036,v03_en_es_EP_006,english_instruction_spanish_content,en-es,English,Spanish,editing_preservation,"Please polish this Spanish update while keeping the answer in Spanish and not translating it into English: ""La oficina confirmó la reunión, pero el presupuesto todavía está pendiente.""",Spanish,Latin,"[""reunión"", ""presupuesto""]","[""reunión"", ""presupuesto""]","[""Here is"", ""The team"", ""بالطبع"", ""إليك"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Spanish target content; preserves the target language. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_037,v03_en_es_EP_007,english_instruction_spanish_content,en-es,English,Spanish,editing_preservation,"Please polish this Spanish update while keeping the answer in Spanish and not translating it into English: ""El instructor explicó el tratamiento del tema y pidió registrar dudas diarias.""",Spanish,Latin,"[""instructor"", ""dudas diarias""]","[""instructor"", ""dudas diarias""]","[""Here is"", ""The team"", ""بالطبع"", ""إليك"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Spanish target content; preserves the target language. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_038,v03_en_es_EP_008,english_instruction_spanish_content,en-es,English,Spanish,editing_preservation,"Please polish this Spanish update while keeping the answer in Spanish and not translating it into English: ""La tienda actualizó el inventario y reservó más espacio para productos locales.""",Spanish,Latin,"[""inventario"", ""productos locales""]","[""inventario"", ""productos locales""]","[""Here is"", ""The team"", ""بالطبع"", ""إليك"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Spanish target content; preserves the target language. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_039,v03_en_es_EP_009,english_instruction_spanish_content,en-es,English,Spanish,editing_preservation,"Please polish this Spanish update while keeping the answer in Spanish and not translating it into English: ""El museo publicó el programa y añadió una visita guiada por la tarde.""",Spanish,Latin,"[""programa"", ""visita guiada""]","[""programa"", ""visita guiada""]","[""Here is"", ""The team"", ""بالطبع"", ""إليك"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Spanish target content; preserves the target language. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_040,v03_en_es_EP_010,english_instruction_spanish_content,en-es,English,Spanish,editing_preservation,"Please polish this Spanish update while keeping the answer in Spanish and not translating it into English: ""La organización cerró la encuesta y compartirá los resultados en agosto.""",Spanish,Latin,"[""encuesta"", ""resultados""]","[""encuesta"", ""resultados""]","[""Here is"", ""The team"", ""بالطبع"", ""إليك"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Spanish target content; preserves the target language. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
