review_id,item_id,coverage_slice,language_pair,instruction_language,content_language,task_family,user_prompt,expected_response_language,expected_script,must_preserve_spans,required_any_markers,forbidden_markers,known_bad_outputs,register_requirement,locale_requirement,notes_for_reviewers,reviewer_id,reviewer_prompt_clear,reviewer_target_language_natural,reviewer_script_expectation_valid,reviewer_preservation_spans_valid,reviewer_known_bad_outputs_valid,reviewer_release_usable,reviewer_issue_types,reviewer_notes
rpt_v03_native_021,v03_en_hi_EP_001,english_instruction_hindi_content,en-hi,English,Hindi,editing_preservation,"Please polish this Hindi note while keeping the answer in Hindi Devanagari and not translating it into English: ""टीम ने मसौदा पूरा कर लिया है, लेकिन निष्कर्ष अभी कमजोर लग रहा है।""",Hindi,Devanagari,"[""मसौदा"", ""निष्कर्ष""]","[""मसौदा"", ""निष्कर्ष""]","[""Here is"", ""Claro"", ""بالطبع"", ""إليك""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Hindi Devanagari target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_022,v03_en_hi_EP_002,english_instruction_hindi_content,en-hi,English,Hindi,editing_preservation,"Please polish this Hindi note while keeping the answer in Hindi Devanagari and not translating it into English: ""पुस्तकालय सोमवार को जल्दी खुलेगा क्योंकि पढ़ने का सत्र रखा गया है।""",Hindi,Devanagari,"[""पुस्तकालय"", ""पढ़ने का सत्र""]","[""पुस्तकालय"", ""पढ़ने का सत्र""]","[""Here is"", ""Claro"", ""بالطبع"", ""إليك""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Hindi Devanagari target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_023,v03_en_hi_EP_003,english_instruction_hindi_content,en-hi,English,Hindi,editing_preservation,"Please polish this Hindi note while keeping the answer in Hindi Devanagari and not translating it into English: ""ग्राहक ने डिजाइन स्वीकार किया, पर आवरण में बदलाव मांगे हैं।""",Hindi,Devanagari,"[""ग्राहक"", ""आवरण""]","[""ग्राहक"", ""आवरण""]","[""Here is"", ""Claro"", ""بالطبع"", ""إليك""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Hindi Devanagari target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_024,v03_en_hi_EP_004,english_instruction_hindi_content,en-hi,English,Hindi,editing_preservation,"Please polish this Hindi note while keeping the answer in Hindi Devanagari and not translating it into English: ""कक्षा ने परियोजना पर काम बढ़ाया, लेकिन अंतिम सारांश में उदाहरण चाहिए।""",Hindi,Devanagari,"[""परियोजना"", ""अंतिम सारांश""]","[""परियोजना"", ""अंतिम सारांश""]","[""Here is"", ""Claro"", ""بالطبع"", ""إليك""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Hindi Devanagari target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_025,v03_en_hi_EP_005,english_instruction_hindi_content,en-hi,English,Hindi,editing_preservation,"Please polish this Hindi note while keeping the answer in Hindi Devanagari and not translating it into English: ""अभियान नए परिवारों तक पहुँचा और कैलेंडर पर सुझाव मिले।""",Hindi,Devanagari,"[""अभियान"", ""कैलेंडर""]","[""अभियान"", ""कैलेंडर""]","[""Here is"", ""Claro"", ""بالطبع"", ""إليك""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Hindi Devanagari target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_026,v03_en_hi_EP_006,english_instruction_hindi_content,en-hi,English,Hindi,editing_preservation,"Please polish this Hindi note while keeping the answer in Hindi Devanagari and not translating it into English: ""कार्यालय ने बैठक की पुष्टि की, लेकिन बजट अभी तय नहीं हुआ है।""",Hindi,Devanagari,"[""बैठक"", ""बजट""]","[""बैठक"", ""बजट""]","[""Here is"", ""Claro"", ""بالطبع"", ""إليك""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Hindi Devanagari target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_027,v03_en_hi_EP_007,english_instruction_hindi_content,en-hi,English,Hindi,editing_preservation,"Please polish this Hindi note while keeping the answer in Hindi Devanagari and not translating it into English: ""शिक्षक ने अभ्यास समझाया और दैनिक प्रगति लिखने को कहा।""",Hindi,Devanagari,"[""अभ्यास"", ""दैनिक प्रगति""]","[""अभ्यास"", ""दैनिक प्रगति""]","[""Here is"", ""Claro"", ""بالطبع"", ""إليك""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Hindi Devanagari target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_028,v03_en_hi_EP_008,english_instruction_hindi_content,en-hi,English,Hindi,editing_preservation,"Please polish this Hindi note while keeping the answer in Hindi Devanagari and not translating it into English: ""दुकान ने भंडार अपडेट किया और स्थानीय उत्पादों के लिए जगह रखी।""",Hindi,Devanagari,"[""भंडार"", ""स्थानीय उत्पादों""]","[""भंडार"", ""स्थानीय उत्पादों""]","[""Here is"", ""Claro"", ""بالطبع"", ""إليك""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Hindi Devanagari target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_029,v03_en_hi_EP_009,english_instruction_hindi_content,en-hi,English,Hindi,editing_preservation,"Please polish this Hindi note while keeping the answer in Hindi Devanagari and not translating it into English: ""संग्रहालय ने कार्यक्रम जारी किया और शाम की निर्देशित यात्रा जोड़ी।""",Hindi,Devanagari,"[""कार्यक्रम"", ""निर्देशित यात्रा""]","[""कार्यक्रम"", ""निर्देशित यात्रा""]","[""Here is"", ""Claro"", ""بالطبع"", ""إليك""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Hindi Devanagari target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_030,v03_en_hi_EP_010,english_instruction_hindi_content,en-hi,English,Hindi,editing_preservation,"Please polish this Hindi note while keeping the answer in Hindi Devanagari and not translating it into English: ""संस्था ने सर्वेक्षण बंद किया और अगस्त में परिणाम साझा करेगी।""",Hindi,Devanagari,"[""सर्वेक्षण"", ""परिणाम""]","[""सर्वेक्षण"", ""परिणाम""]","[""Here is"", ""Claro"", ""بالطبع"", ""إليك""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Hindi Devanagari target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
