review_id,item_id,coverage_slice,language_pair,instruction_language,content_language,task_family,user_prompt,expected_response_language,expected_script,must_preserve_spans,required_any_markers,forbidden_markers,known_bad_outputs,register_requirement,locale_requirement,notes_for_reviewers,reviewer_id,reviewer_prompt_clear,reviewer_target_language_natural,reviewer_script_expectation_valid,reviewer_preservation_spans_valid,reviewer_known_bad_outputs_valid,reviewer_release_usable,reviewer_issue_types,reviewer_notes
rpt_v03_native_041,v03_hi_hi_EP_001,hindi_english_instruction_hindi_devanagari,hi-hi,Hindi/English code-switched,Hindi,editing_preservation,"Is Hindi note ko natural bana do, lekin Devanagari Hindi hi rakho aur English translation mat banao: ""टीम ने मसौदा पूरा कर लिया है, लेकिन निष्कर्ष अभी कमजोर लग रहा है।""",Hindi,Devanagari,"[""मसौदा"", ""निष्कर्ष""]","[""मसौदा"", ""निष्कर्ष""]","[""Here is"", ""Claro"", ""بالطبع"", ""إليك""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,Hindi-English code-switched instruction with Hindi Devanagari target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_042,v03_hi_hi_EP_002,hindi_english_instruction_hindi_devanagari,hi-hi,Hindi/English code-switched,Hindi,editing_preservation,"Is Hindi note ko natural bana do, lekin Devanagari Hindi hi rakho aur English translation mat banao: ""पुस्तकालय सोमवार को जल्दी खुलेगा क्योंकि पढ़ने का सत्र रखा गया है।""",Hindi,Devanagari,"[""पुस्तकालय"", ""पढ़ने का सत्र""]","[""पुस्तकालय"", ""पढ़ने का सत्र""]","[""Here is"", ""Claro"", ""بالطبع"", ""إليك""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,Hindi-English code-switched instruction with Hindi Devanagari target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_043,v03_hi_hi_EP_003,hindi_english_instruction_hindi_devanagari,hi-hi,Hindi/English code-switched,Hindi,editing_preservation,"Is Hindi note ko natural bana do, lekin Devanagari Hindi hi rakho aur English translation mat banao: ""ग्राहक ने डिजाइन स्वीकार किया, पर आवरण में बदलाव मांगे हैं।""",Hindi,Devanagari,"[""ग्राहक"", ""आवरण""]","[""ग्राहक"", ""आवरण""]","[""Here is"", ""Claro"", ""بالطبع"", ""إليك""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,Hindi-English code-switched instruction with Hindi Devanagari target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_044,v03_hi_hi_EP_004,hindi_english_instruction_hindi_devanagari,hi-hi,Hindi/English code-switched,Hindi,editing_preservation,"Is Hindi note ko natural bana do, lekin Devanagari Hindi hi rakho aur English translation mat banao: ""कक्षा ने परियोजना पर काम बढ़ाया, लेकिन अंतिम सारांश में उदाहरण चाहिए।""",Hindi,Devanagari,"[""परियोजना"", ""अंतिम सारांश""]","[""परियोजना"", ""अंतिम सारांश""]","[""Here is"", ""Claro"", ""بالطبع"", ""إليك""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,Hindi-English code-switched instruction with Hindi Devanagari target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_045,v03_hi_hi_EP_005,hindi_english_instruction_hindi_devanagari,hi-hi,Hindi/English code-switched,Hindi,editing_preservation,"Is Hindi note ko natural bana do, lekin Devanagari Hindi hi rakho aur English translation mat banao: ""अभियान नए परिवारों तक पहुँचा और कैलेंडर पर सुझाव मिले।""",Hindi,Devanagari,"[""अभियान"", ""कैलेंडर""]","[""अभियान"", ""कैलेंडर""]","[""Here is"", ""Claro"", ""بالطبع"", ""إليك""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,Hindi-English code-switched instruction with Hindi Devanagari target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_046,v03_hi_hi_EP_006,hindi_english_instruction_hindi_devanagari,hi-hi,Hindi/English code-switched,Hindi,editing_preservation,"Is Hindi note ko natural bana do, lekin Devanagari Hindi hi rakho aur English translation mat banao: ""कार्यालय ने बैठक की पुष्टि की, लेकिन बजट अभी तय नहीं हुआ है।""",Hindi,Devanagari,"[""बैठक"", ""बजट""]","[""बैठक"", ""बजट""]","[""Here is"", ""Claro"", ""بالطبع"", ""إليك""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,Hindi-English code-switched instruction with Hindi Devanagari target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_047,v03_hi_hi_EP_007,hindi_english_instruction_hindi_devanagari,hi-hi,Hindi/English code-switched,Hindi,editing_preservation,"Is Hindi note ko natural bana do, lekin Devanagari Hindi hi rakho aur English translation mat banao: ""शिक्षक ने अभ्यास समझाया और दैनिक प्रगति लिखने को कहा।""",Hindi,Devanagari,"[""अभ्यास"", ""दैनिक प्रगति""]","[""अभ्यास"", ""दैनिक प्रगति""]","[""Here is"", ""Claro"", ""بالطبع"", ""إليك""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,Hindi-English code-switched instruction with Hindi Devanagari target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_048,v03_hi_hi_EP_008,hindi_english_instruction_hindi_devanagari,hi-hi,Hindi/English code-switched,Hindi,editing_preservation,"Is Hindi note ko natural bana do, lekin Devanagari Hindi hi rakho aur English translation mat banao: ""दुकान ने भंडार अपडेट किया और स्थानीय उत्पादों के लिए जगह रखी।""",Hindi,Devanagari,"[""भंडार"", ""स्थानीय उत्पादों""]","[""भंडार"", ""स्थानीय उत्पादों""]","[""Here is"", ""Claro"", ""بالطبع"", ""إليك""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,Hindi-English code-switched instruction with Hindi Devanagari target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_049,v03_hi_hi_EP_009,hindi_english_instruction_hindi_devanagari,hi-hi,Hindi/English code-switched,Hindi,editing_preservation,"Is Hindi note ko natural bana do, lekin Devanagari Hindi hi rakho aur English translation mat banao: ""संग्रहालय ने कार्यक्रम जारी किया और शाम की निर्देशित यात्रा जोड़ी।""",Hindi,Devanagari,"[""कार्यक्रम"", ""निर्देशित यात्रा""]","[""कार्यक्रम"", ""निर्देशित यात्रा""]","[""Here is"", ""Claro"", ""بالطبع"", ""إليك""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,Hindi-English code-switched instruction with Hindi Devanagari target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_050,v03_hi_hi_EP_010,hindi_english_instruction_hindi_devanagari,hi-hi,Hindi/English code-switched,Hindi,editing_preservation,"Is Hindi note ko natural bana do, lekin Devanagari Hindi hi rakho aur English translation mat banao: ""संस्था ने सर्वेक्षण बंद किया और अगस्त में परिणाम साझा करेगी।""",Hindi,Devanagari,"[""सर्वेक्षण"", ""परिणाम""]","[""सर्वेक्षण"", ""परिणाम""]","[""Here is"", ""Claro"", ""بالطبع"", ""إليك""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,Hindi-English code-switched instruction with Hindi Devanagari target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
