language_field,language,category,cue_hits
row_language,Arabic,wrong_output_language,1
row_language,Chinese,generic_repair,1
row_language,Chinese,unwanted_translation,3
row_language,Chinese,wrong_output_language,1
row_language,English,generic_repair,90
row_language,English,preservation_failure,24
row_language,English,register_locale_mismatch,16
row_language,English,script_mismatch,4
row_language,English,unwanted_translation,10
row_language,English,wrong_output_language,38
row_language,Russian,wrong_output_language,1
row_language,Spanish,generic_repair,2
row_language,Spanish,preservation_failure,1
row_language,Spanish,wrong_output_language,15
row_language,Turkish,wrong_output_language,11
row_language,Vietnamese,wrong_output_language,1
message_language,Arabic,wrong_output_language,1
message_language,Chinese,wrong_output_language,3
message_language,English,generic_repair,85
message_language,English,preservation_failure,23
message_language,English,register_locale_mismatch,16
message_language,English,script_mismatch,4
message_language,English,unwanted_translation,13
message_language,English,wrong_output_language,45
message_language,Esperanto,generic_repair,1
message_language,French,generic_repair,1
message_language,French,preservation_failure,1
message_language,Italian,wrong_output_language,1
message_language,Latin,generic_repair,1
message_language,Spanish,generic_repair,4
message_language,Spanish,preservation_failure,1
message_language,Spanish,wrong_output_language,18
message_language,Xhosa,generic_repair,1
