conversation_hash,cue_hits,unique_categories,categories,row_languages,message_languages
00c597ac2158de35,2,1,wrong_output_language:2,English,English
0b19808fd47ab7db,3,2,register_locale_mismatch:2;wrong_output_language:1,English,English
10999bf0941b99e8,2,1,preservation_failure:2,English,English
25f51178c43acb0e,2,1,wrong_output_language:2,English,English
291d7176f1f0078f,2,1,generic_repair:2,English,English
35f7109005eee13e,2,2,generic_repair:1;preservation_failure:1,English,English
370196c6bef59475,2,1,register_locale_mismatch:2,English,English
382f8d042976bd4f,2,1,generic_repair:2,English,English
3fff27dcb5381771,3,1,preservation_failure:3,English,English
53143f6e8a8e0dca,3,1,generic_repair:3,English,English
5b37e77f011b3e7a,2,1,wrong_output_language:2,Turkish,English
6567788ad89da796,2,1,generic_repair:2,English,English
724f193a9cf5202e,3,1,script_mismatch:3,English,English
7b9f0533d1d498cf,2,1,register_locale_mismatch:2,English,English
7c83b5edbf33e297,3,1,wrong_output_language:3,English,English
80b63e7879f8c728,4,1,generic_repair:4,English,English
836996c8de9dd214,2,1,generic_repair:2,English,English
891c7b0c3dd441ae,4,1,wrong_output_language:4,English,Chinese;English
93797d19c88d5605,2,1,wrong_output_language:2,Turkish,English
a015440c7ccccd25,2,1,wrong_output_language:2,English,English
ace707742d55d251,2,1,wrong_output_language:2,Turkish,English
b6b5566fdb366e3d,2,1,generic_repair:2,English,English
c1659921b1dd0f94,2,1,preservation_failure:2,English,English
c89f783674f7f068,2,1,wrong_output_language:2,Spanish,Spanish
cfcdafc6548095df,4,1,preservation_failure:4,English,English
d60255c3a48eb3b4,2,2,generic_repair:1;wrong_output_language:1,English,English
d9d338f878c72e2c,2,1,generic_repair:2,English,Spanish
dad1c37b8e662b54,2,1,wrong_output_language:2,English,Spanish
de82587551087baf,4,1,wrong_output_language:4,Spanish,Spanish
e49db81737e65426,2,1,generic_repair:2,English,English
fee95117c6f099d9,5,1,wrong_output_language:5,Turkish,English
