model,condition,task_family,failure_type,count,share_of_initial_failures
gpt-4.1-nano,baseline,editing_preservation,script_mismatch,2,0.5
gpt-4.1-nano,baseline,editing_preservation,task_noncompletion,4,1.0
gpt-4.1-nano,baseline,editing_preservation,wrong_output_language,4,1.0
gpt-4.1-nano,baseline,quote_preservation,preservation_failure,1,1.0
gpt-4.1-nano,baseline,quote_preservation,task_noncompletion,1,1.0
gpt-4.1-nano,baseline,script_register_locale,preservation_failure,2,1.0
gpt-4.1-nano,baseline,script_register_locale,task_noncompletion,1,0.5
gpt-4.1-nano,contract,editing_preservation,task_noncompletion,2,1.0
gpt-4.1-nano,contract,editing_preservation,wrong_output_language,2,1.0
gpt-4.1-nano,contract,script_register_locale,preservation_failure,2,1.0
gpt-4.1-nano,contract,script_register_locale,task_noncompletion,1,0.5
