dispatch_priority,surface_id,slice_id,workflow_mode,reviewer_index,expected_rows,expected_return_path,file_present,observed_rows,header_status,row_count_status,ready_for_merge_shape,blocker
1,current_model_human_audit_v02,ar-en,minimum_single_label,1,16,data/current_model_human_audit/human_audit_packet_v0.2_current_gpt5_ar-en_completed.csv,False,,missing_file,missing_file,False,missing returned CSV
1,current_model_human_audit_v02,es-en,minimum_single_label,1,16,data/current_model_human_audit/human_audit_packet_v0.2_current_gpt5_es-en_completed.csv,False,,missing_file,missing_file,False,missing returned CSV
1,current_model_human_audit_v02,hi-en,minimum_single_label,1,16,data/current_model_human_audit/human_audit_packet_v0.2_current_gpt5_hi-en_completed.csv,False,,missing_file,missing_file,False,missing returned CSV
2,human_audit_v02,ar-en,minimum_single_label,1,24,data/human_audit/human_audit_packet_v0.2_ar-en_completed.csv,False,,missing_file,missing_file,False,missing returned CSV
2,human_audit_v02,es-en,minimum_single_label,1,24,data/human_audit/human_audit_packet_v0.2_es-en_completed.csv,False,,missing_file,missing_file,False,missing returned CSV
2,human_audit_v02,hi-en,minimum_single_label,1,24,data/human_audit/human_audit_packet_v0.2_hi-en_completed.csv,False,,missing_file,missing_file,False,missing returned CSV
3,coverage_native_review_v03,arabic_instruction_arabic_filenames,minimum_single_label,1,10,data/coverage_native_review_v03/coverage_native_review_v03_arabic_instruction_arabic_filenames_completed.csv,False,,missing_file,missing_file,False,missing returned CSV
3,coverage_native_review_v03,english_instruction_arabic_content,minimum_single_label,1,10,data/coverage_native_review_v03/coverage_native_review_v03_english_instruction_arabic_content_completed.csv,False,,missing_file,missing_file,False,missing returned CSV
3,coverage_native_review_v03,english_instruction_hindi_content,minimum_single_label,1,10,data/coverage_native_review_v03/coverage_native_review_v03_english_instruction_hindi_content_completed.csv,False,,missing_file,missing_file,False,missing returned CSV
3,coverage_native_review_v03,english_instruction_spanish_content,minimum_single_label,1,10,data/coverage_native_review_v03/coverage_native_review_v03_english_instruction_spanish_content_completed.csv,False,,missing_file,missing_file,False,missing returned CSV
3,coverage_native_review_v03,hindi_english_instruction_hindi_devanagari,minimum_single_label,1,10,data/coverage_native_review_v03/coverage_native_review_v03_hindi_english_instruction_hindi_devanagari_completed.csv,False,,missing_file,missing_file,False,missing returned CSV
3,coverage_native_review_v03,spanish_instruction_arabic_quote,minimum_single_label,1,10,data/coverage_native_review_v03/coverage_native_review_v03_spanish_instruction_arabic_quote_completed.csv,False,,missing_file,missing_file,False,missing returned CSV
1,current_model_human_audit_v02,ar-en,preferred_double_label,1,16,data/current_model_human_audit/human_audit_packet_v0.2_current_gpt5_ar-en_reviewer1_completed.csv,False,,missing_file,missing_file,False,missing returned CSV
1,current_model_human_audit_v02,ar-en,preferred_double_label,2,16,data/current_model_human_audit/human_audit_packet_v0.2_current_gpt5_ar-en_reviewer2_completed.csv,False,,missing_file,missing_file,False,missing returned CSV
1,current_model_human_audit_v02,es-en,preferred_double_label,1,16,data/current_model_human_audit/human_audit_packet_v0.2_current_gpt5_es-en_reviewer1_completed.csv,False,,missing_file,missing_file,False,missing returned CSV
1,current_model_human_audit_v02,es-en,preferred_double_label,2,16,data/current_model_human_audit/human_audit_packet_v0.2_current_gpt5_es-en_reviewer2_completed.csv,False,,missing_file,missing_file,False,missing returned CSV
1,current_model_human_audit_v02,hi-en,preferred_double_label,1,16,data/current_model_human_audit/human_audit_packet_v0.2_current_gpt5_hi-en_reviewer1_completed.csv,False,,missing_file,missing_file,False,missing returned CSV
1,current_model_human_audit_v02,hi-en,preferred_double_label,2,16,data/current_model_human_audit/human_audit_packet_v0.2_current_gpt5_hi-en_reviewer2_completed.csv,False,,missing_file,missing_file,False,missing returned CSV
2,human_audit_v02,ar-en,preferred_double_label,1,24,data/human_audit/human_audit_packet_v0.2_ar-en_reviewer1_completed.csv,False,,missing_file,missing_file,False,missing returned CSV
2,human_audit_v02,ar-en,preferred_double_label,2,24,data/human_audit/human_audit_packet_v0.2_ar-en_reviewer2_completed.csv,False,,missing_file,missing_file,False,missing returned CSV
2,human_audit_v02,es-en,preferred_double_label,1,24,data/human_audit/human_audit_packet_v0.2_es-en_reviewer1_completed.csv,False,,missing_file,missing_file,False,missing returned CSV
2,human_audit_v02,es-en,preferred_double_label,2,24,data/human_audit/human_audit_packet_v0.2_es-en_reviewer2_completed.csv,False,,missing_file,missing_file,False,missing returned CSV
2,human_audit_v02,hi-en,preferred_double_label,1,24,data/human_audit/human_audit_packet_v0.2_hi-en_reviewer1_completed.csv,False,,missing_file,missing_file,False,missing returned CSV
2,human_audit_v02,hi-en,preferred_double_label,2,24,data/human_audit/human_audit_packet_v0.2_hi-en_reviewer2_completed.csv,False,,missing_file,missing_file,False,missing returned CSV
3,coverage_native_review_v03,arabic_instruction_arabic_filenames,preferred_double_label,1,10,data/coverage_native_review_v03/coverage_native_review_v03_arabic_instruction_arabic_filenames_reviewer1_completed.csv,False,,missing_file,missing_file,False,missing returned CSV
3,coverage_native_review_v03,arabic_instruction_arabic_filenames,preferred_double_label,2,10,data/coverage_native_review_v03/coverage_native_review_v03_arabic_instruction_arabic_filenames_reviewer2_completed.csv,False,,missing_file,missing_file,False,missing returned CSV
3,coverage_native_review_v03,english_instruction_arabic_content,preferred_double_label,1,10,data/coverage_native_review_v03/coverage_native_review_v03_english_instruction_arabic_content_reviewer1_completed.csv,False,,missing_file,missing_file,False,missing returned CSV
3,coverage_native_review_v03,english_instruction_arabic_content,preferred_double_label,2,10,data/coverage_native_review_v03/coverage_native_review_v03_english_instruction_arabic_content_reviewer2_completed.csv,False,,missing_file,missing_file,False,missing returned CSV
3,coverage_native_review_v03,english_instruction_hindi_content,preferred_double_label,1,10,data/coverage_native_review_v03/coverage_native_review_v03_english_instruction_hindi_content_reviewer1_completed.csv,False,,missing_file,missing_file,False,missing returned CSV
