model,condition,language_pair,n,ftga,mean_rtt,unresolved_rate,repair_success_at_1,repair_success_at_2,mean_token_tax,initially_failed_n,ftga_ci_low,ftga_ci_high,mean_rtt_ci_low,mean_rtt_ci_high
gpt-5.5,baseline,ar-ar,1,1,0,0,,,1.0,0,1,1,0,0
gpt-5.5,baseline,en-ar,1,1,0,0,,,1.0,0,1,1,0,0
gpt-5.5,baseline,en-es,1,1,0,0,,,1.0,0,1,1,0,0
gpt-5.5,baseline,en-hi,1,1,0,0,,,1.0,0,1,1,0,0
gpt-5.5,baseline,es-ar,1,1,0,0,,,1.0,0,1,1,0,0
gpt-5.5,baseline,hi-hi,1,1,0,0,,,1.0,0,1,1,0,0
gpt-5.5,contract,ar-ar,1,1,0,0,,,1.0,0,1,1,0,0
gpt-5.5,contract,en-ar,1,1,0,0,,,1.0,0,1,1,0,0
gpt-5.5,contract,en-es,1,1,0,0,,,1.0,0,1,1,0,0
gpt-5.5,contract,en-hi,1,1,0,0,,,1.0,0,1,1,0,0
gpt-5.5,contract,es-ar,1,1,0,0,,,1.0,0,1,1,0,0
gpt-5.5,contract,hi-hi,1,1,0,0,,,1.0,0,1,1,0,0
