audit_id,language_pair,task_family,user_prompt,assistant_response,expected_response_language,expected_script,must_preserve_spans,register_requirement,locale_requirement,known_bad_outputs,notes_for_annotators,annotator_id,human_pass,human_language_pass,human_script_pass,human_preservation_pass,human_task_pass,human_register_locale_pass,human_failure_types,human_notes
rpt_audit_001,ar-en,editing_preservation,"ساعدني في تحسين هذا النص ليصبح أوضح وأكثر لطفاً: ""I need to ask my manager for one more day to finish the slide deck.""","بالتأكيد — يمكنك صياغتها بشكل أوضح وألطف هكذا:

**""I’d like to ask my manager for one additional day to finish the slide deck.""**

وإذا أردتها أكثر لطفًا واحترافية:

**""I’d like to kindly ask my manager for one more day to complete the slide deck.""**

إذا أردت، أستطيع أيضًا أن أعطيك:
- صياغة **أكثر رسمية**
- صياغة **أكثر ودية**
- أو **ترجمة عربية مناسبة** لها.",English,Latin,[],polite workplace request,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,,
rpt_audit_002,ar-en,editing_preservation,"ساعدني في تحسين هذا النص ليصبح أوضح وأكثر لطفاً: ""Thanks for your help. I will review the invoice and send the missing details tonight.""",شكرًا لمساعدتك. سأراجع الفاتورة وأرسل التفاصيل الناقصة الليلة.,English,Latin,[],professional reply,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,,
rpt_audit_003,ar-en,editing_preservation,"ساعدني في تحسين هذا النص ليصبح أوضح وأكثر لطفاً: ""Thanks for your help. I will review the invoice and send the missing details tonight.""","بالطبع، يمكنك صياغتها بشكل أوضح وأكثر لطفاً هكذا:

**Thank you for your help. I’ll review the invoice and send you the missing details by tonight.**

وإذا أردتها أكثر رسمية قليلاً:

**Thank you for your assistance. I will review the invoice and send you the missing details by tonight.**",English,Latin,[],professional reply,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,,
rpt_audit_004,ar-en,editing_preservation,"ساعدني في تحسين هذا النص ليصبح أوضح وأكثر لطفاً: ""Could you tell the client that the payment will arrive next week?""","""Could you please let the client know that the payment is expected to arrive next week?""",English,Latin,[],polite client update,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,,
rpt_audit_005,ar-en,output_language_inference,"صحح الجملة الإنجليزية فقط من دون شرح: ""This option is more better for small teams.""",This option is better for small teams.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,,
rpt_audit_006,ar-en,output_language_inference,"صحح الجملة الإنجليزية فقط من دون شرح: ""This feedback is more clear than the last version.""","""This feedback is clearer than the last version.""",English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,,
rpt_audit_007,ar-en,output_language_inference,"صحح الجملة الإنجليزية فقط من دون شرح: ""The team have finished its review.""",The team has finished its review.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,,
rpt_audit_008,ar-en,output_language_inference,"صحح الجملة الإنجليزية فقط من دون شرح: ""I would appreciate if you can reply today.""",I would appreciate it if you could reply today.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,,
rpt_audit_009,ar-en,quote_preservation,"لخص هذا بالعربية، لكن اترك العناوين بين علامتي الاقتباس كما هي بالإنجليزية: The document lists ""Budget Review"" before ""Community Questions"".","يذكر المستند ""Budget Review"" قبل ""Community Questions"".",Arabic,Arabic,"[""Budget Review"", ""Community Questions""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,,
rpt_audit_010,ar-en,quote_preservation,"لخص هذا بالعربية، لكن اترك العناوين بين علامتي الاقتباس كما هي بالإنجليزية: The document lists ""Visitor Guidelines"" before ""Check-In Desk"".","يلخص المستند ""Visitor Guidelines"" قبل ""Check-In Desk"".",Arabic,Arabic,"[""Visitor Guidelines"", ""Check-In Desk""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,,
rpt_audit_011,ar-en,quote_preservation,"لخص هذا بالعربية، لكن اترك العناوين بين علامتي الاقتباس كما هي بالإنجليزية: The document lists ""Account Settings"" before ""Password Reset"".","يذكر المستند أن ""Account Settings"" يأتي قبل ""Password Reset"".",Arabic,Arabic,"[""Account Settings"", ""Password Reset""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,,
rpt_audit_012,ar-en,quote_preservation,"لخص هذا بالعربية، لكن اترك العناوين بين علامتي الاقتباس كما هي بالإنجليزية: The document lists ""Health Benefits"" before ""Enrollment Form"".","تذكر الوثيقة ""Health Benefits"" قبل ""Enrollment Form"".",Arabic,Arabic,"[""Health Benefits"", ""Enrollment Form""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,,
rpt_audit_013,ar-en,script_register_locale,اكتب رد واتساب قصير بالعربية. حافظ على البيانات المذكورة في السياق كما هي تماماً. السياق: Tell HR I can start on June 12 and the employee ID QR-77 should stay the same.,"أكيد، هذا رد واتساب قصير بالعربية:

مرحبًا، أبلغوا الموارد البشرية أنني أستطيع البدء في 12 يونيو، وأن رقم الموظف QR-77 يجب أن يبقى كما هو.",Arabic,Arabic,"[""June 12"", ""QR-77""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,,
rpt_audit_014,ar-en,script_register_locale,اكتب رد واتساب قصير بالعربية. حافظ على البيانات المذكورة في السياق كما هي تماماً. السياق: Tell HR I can start on June 12 and the employee ID QR-77 should stay the same.,أخبر الموارد البشرية أنني أستطيع البدء في 12 يونيو، وأن رقم الموظف QR-77 يجب أن يبقى كما هو.,Arabic,Arabic,"[""June 12"", ""QR-77""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,,
rpt_audit_015,ar-en,script_register_locale,اكتب رد واتساب قصير بالعربية. حافظ على البيانات المذكورة في السياق كما هي تماماً. السياق: Tell my classmate that the file name draft_v2.pdf should stay unchanged.,خلي اسم الملف draft_v2.pdf كما هو بدون تغيير.,Arabic,Arabic,"[""draft_v2.pdf""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,,
rpt_audit_016,ar-en,script_register_locale,اكتب رد واتساب قصير بالعربية. حافظ على البيانات المذكورة في السياق كما هي تماماً. السياق: Confirm the pickup window is 2-4 PM and the order code is BK-903.,تم التأكيد، موعد الاستلام 2-4 PM ورمز الطلب BK-903.,Arabic,Arabic,"[""2-4 PM"", ""BK-903""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,,
