audit_id,language_pair,task_family,user_prompt,assistant_response,expected_response_language,expected_script,must_preserve_spans,register_requirement,locale_requirement,known_bad_outputs,notes_for_annotators,annotator_id,human_pass,human_language_pass,human_script_pass,human_preservation_pass,human_task_pass,human_register_locale_pass,human_failure_types,human_notes
rpt_audit_001,ar-en,editing_preservation,"ساعدني في تحسين هذا النص ليصبح أوضح وأكثر لطفاً: ""I need to ask my manager for one more day to finish the slide deck.""","بالتأكيد — يمكنك صياغتها بشكل أوضح وألطف هكذا:

**""I’d like to ask my manager for one additional day to finish the slide deck.""**

وإذا أردتها أكثر لطفًا واحترافية:

**""I’d like to kindly ask my manager for one more day to complete the slide deck.""**

إذا أردت، أستطيع أيضًا أن أعطيك:
- صياغة **أكثر رسمية**
- صياغة **أكثر ودية**
- أو **ترجمة عربية مناسبة** لها.",English,Latin,[],polite workplace request,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,,
rpt_audit_002,ar-en,editing_preservation,"ساعدني في تحسين هذا النص ليصبح أوضح وأكثر لطفاً: ""Thanks for your help. I will review the invoice and send the missing details tonight.""",شكرًا لمساعدتك. سأراجع الفاتورة وأرسل التفاصيل الناقصة الليلة.,English,Latin,[],professional reply,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,,
rpt_audit_003,ar-en,editing_preservation,"ساعدني في تحسين هذا النص ليصبح أوضح وأكثر لطفاً: ""Thanks for your help. I will review the invoice and send the missing details tonight.""","بالطبع، يمكنك صياغتها بشكل أوضح وأكثر لطفاً هكذا:

**Thank you for your help. I’ll review the invoice and send you the missing details by tonight.**

وإذا أردتها أكثر رسمية قليلاً:

**Thank you for your assistance. I will review the invoice and send you the missing details by tonight.**",English,Latin,[],professional reply,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,,
rpt_audit_004,ar-en,editing_preservation,"ساعدني في تحسين هذا النص ليصبح أوضح وأكثر لطفاً: ""Could you tell the client that the payment will arrive next week?""","""Could you please let the client know that the payment is expected to arrive next week?""",English,Latin,[],polite client update,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,,
rpt_audit_005,ar-en,output_language_inference,"صحح الجملة الإنجليزية فقط من دون شرح: ""This option is more better for small teams.""",This option is better for small teams.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,,
rpt_audit_006,ar-en,output_language_inference,"صحح الجملة الإنجليزية فقط من دون شرح: ""This feedback is more clear than the last version.""","""This feedback is clearer than the last version.""",English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,,
rpt_audit_007,ar-en,output_language_inference,"صحح الجملة الإنجليزية فقط من دون شرح: ""The team have finished its review.""",The team has finished its review.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,,
rpt_audit_008,ar-en,output_language_inference,"صحح الجملة الإنجليزية فقط من دون شرح: ""I would appreciate if you can reply today.""",I would appreciate it if you could reply today.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,,
rpt_audit_009,ar-en,quote_preservation,"لخص هذا بالعربية، لكن اترك العناوين بين علامتي الاقتباس كما هي بالإنجليزية: The document lists ""Budget Review"" before ""Community Questions"".","يذكر المستند ""Budget Review"" قبل ""Community Questions"".",Arabic,Arabic,"[""Budget Review"", ""Community Questions""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,,
rpt_audit_010,ar-en,quote_preservation,"لخص هذا بالعربية، لكن اترك العناوين بين علامتي الاقتباس كما هي بالإنجليزية: The document lists ""Visitor Guidelines"" before ""Check-In Desk"".","يلخص المستند ""Visitor Guidelines"" قبل ""Check-In Desk"".",Arabic,Arabic,"[""Visitor Guidelines"", ""Check-In Desk""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,,
rpt_audit_011,ar-en,quote_preservation,"لخص هذا بالعربية، لكن اترك العناوين بين علامتي الاقتباس كما هي بالإنجليزية: The document lists ""Account Settings"" before ""Password Reset"".","يذكر المستند أن ""Account Settings"" يأتي قبل ""Password Reset"".",Arabic,Arabic,"[""Account Settings"", ""Password Reset""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,,
rpt_audit_012,ar-en,quote_preservation,"لخص هذا بالعربية، لكن اترك العناوين بين علامتي الاقتباس كما هي بالإنجليزية: The document lists ""Health Benefits"" before ""Enrollment Form"".","تذكر الوثيقة ""Health Benefits"" قبل ""Enrollment Form"".",Arabic,Arabic,"[""Health Benefits"", ""Enrollment Form""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,,
rpt_audit_013,ar-en,script_register_locale,اكتب رد واتساب قصير بالعربية. حافظ على البيانات المذكورة في السياق كما هي تماماً. السياق: Tell HR I can start on June 12 and the employee ID QR-77 should stay the same.,"أكيد، هذا رد واتساب قصير بالعربية:

مرحبًا، أبلغوا الموارد البشرية أنني أستطيع البدء في 12 يونيو، وأن رقم الموظف QR-77 يجب أن يبقى كما هو.",Arabic,Arabic,"[""June 12"", ""QR-77""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,,
rpt_audit_014,ar-en,script_register_locale,اكتب رد واتساب قصير بالعربية. حافظ على البيانات المذكورة في السياق كما هي تماماً. السياق: Tell HR I can start on June 12 and the employee ID QR-77 should stay the same.,أخبر الموارد البشرية أنني أستطيع البدء في 12 يونيو، وأن رقم الموظف QR-77 يجب أن يبقى كما هو.,Arabic,Arabic,"[""June 12"", ""QR-77""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,,
rpt_audit_015,ar-en,script_register_locale,اكتب رد واتساب قصير بالعربية. حافظ على البيانات المذكورة في السياق كما هي تماماً. السياق: Tell my classmate that the file name draft_v2.pdf should stay unchanged.,خلي اسم الملف draft_v2.pdf كما هو بدون تغيير.,Arabic,Arabic,"[""draft_v2.pdf""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,,
rpt_audit_016,ar-en,script_register_locale,اكتب رد واتساب قصير بالعربية. حافظ على البيانات المذكورة في السياق كما هي تماماً. السياق: Confirm the pickup window is 2-4 PM and the order code is BK-903.,تم التأكيد، موعد الاستلام 2-4 PM ورمز الطلب BK-903.,Arabic,Arabic,"[""2-4 PM"", ""BK-903""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,,
rpt_audit_017,es-en,editing_preservation,"Me ayudas a mejorar este texto para que suene natural? ""Hello, I need to change my appointment because my train was delayed.""","Claro. Una versión más natural en inglés sería:

**“Hi, I need to reschedule my appointment because my train was delayed.”**

Si quieres, también puedo darte:
- una versión más formal,
- una más amable,
- o varias opciones según el contexto.",English,Latin,[],polite appointment message,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,,
rpt_audit_018,es-en,editing_preservation,"Me ayudas a mejorar este texto para que suene natural? ""Hello, I need to change my appointment because my train was delayed.""","Claro: **""Hello, I need to reschedule my appointment because my train was delayed.""**",English,Latin,[],polite appointment message,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,,
rpt_audit_019,es-en,editing_preservation,"Me ayudas a mejorar este texto para que suene natural? ""I can't join the call today, but I can share my update by email.""","Claro. Una forma más natural sería:

**“I won’t be able to join the call today, but I can send my update by email.”**

También podrías decir:

**“I’m not able to join the call today, but I’ll share my update by email.”**

La primera suena un poco más natural y profesional.",English,Latin,[],concise workplace update,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,,
rpt_audit_020,es-en,editing_preservation,"Me ayudas a mejorar este texto para que suene natural? ""I need to ask my manager for one more day to finish the slide deck.""","“I need to ask my manager for one more day to finish the slide deck.”

Una versión más natural sería:

“I need to ask my manager for an extra day to finish the slide deck.”",English,Latin,[],polite workplace request,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,,
rpt_audit_021,es-en,output_language_inference,"Corrige solo la frase en inglés. No expliques nada: ""This option is more better for small teams.""",This option is better for small teams.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,,
rpt_audit_022,es-en,output_language_inference,"Corrige solo la frase en inglés. No expliques nada: ""Neither of the answers are correct.""",Neither of the answers is correct.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,,
rpt_audit_023,es-en,output_language_inference,"Corrige solo la frase en inglés. No expliques nada: ""This option is more better for small teams.""",This option is better for small teams.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,,
rpt_audit_024,es-en,output_language_inference,"Corrige solo la frase en inglés. No expliques nada: ""Please let me know if there is any informations missing.""",Please let me know if any information is missing.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,,
rpt_audit_025,es-en,quote_preservation,"Resume esto en español, pero deja los títulos entre comillas exactamente en inglés: The document lists ""Account Settings"" before ""Password Reset"".","El documento enumera ""Account Settings"" antes de ""Password Reset"".",Spanish,Latin,"[""Account Settings"", ""Password Reset""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,,
rpt_audit_026,es-en,quote_preservation,"Resume esto en español, pero deja los títulos entre comillas exactamente en inglés: The document lists ""Office Hours"" before ""Makeup Exam"".","El documento enumera ""Office Hours"" antes de ""Makeup Exam"".",Spanish,Latin,"[""Office Hours"", ""Makeup Exam""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,,
rpt_audit_027,es-en,quote_preservation,"Resume esto en español, pero deja los títulos entre comillas exactamente en inglés: The document lists ""Payment Deadline"" before ""Late Fee"".","El documento menciona ""Payment Deadline"" antes de ""Late Fee"".",Spanish,Latin,"[""Payment Deadline"", ""Late Fee""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,,
rpt_audit_028,es-en,quote_preservation,"Resume esto en español, pero deja los títulos entre comillas exactamente en inglés: The document lists ""Visitor Guidelines"" before ""Check-In Desk"".","El documento menciona ""Visitor Guidelines"" antes de ""Check-In Desk"".",Spanish,Latin,"[""Visitor Guidelines"", ""Check-In Desk""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,,
rpt_audit_029,es-en,script_register_locale,Escribe una respuesta breve en español. Conserva exactamente estos datos si aparecen en el contexto. Context: Tell HR I can start on June 12 and the employee ID QR-77 should stay the same.,Puedo empezar el 12 de junio y el ID de empleado QR-77 debe mantenerse igual.,Spanish,Latin,"[""June 12"", ""QR-77""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,,
rpt_audit_030,es-en,script_register_locale,Escribe una respuesta breve en español. Conserva exactamente estos datos si aparecen en el contexto. Context: Tell HR I can start on June 12 and the employee ID QR-77 should stay the same.,Puedo empezar el 12 de junio y el ID de empleado QR-77 debe mantenerse igual.,Spanish,Latin,"[""June 12"", ""QR-77""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,,
rpt_audit_031,es-en,script_register_locale,Escribe una respuesta breve en español. Conserva exactamente estos datos si aparecen en el contexto. Context: Ask the bank to keep account label Travel_Fund exactly as written.,"Por favor, mantengan la etiqueta de la cuenta como Travel_Fund exactamente como está escrita.",Spanish,Latin,"[""Travel_Fund""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,,
rpt_audit_032,es-en,script_register_locale,Escribe una respuesta breve en español. Conserva exactamente estos datos si aparecen en el contexto. Context: Confirm the meeting is on 05/07/2026 and ask them not to change the date format.,"Confirmo que la reunión es el 05/07/2026. Por favor, no cambien el formato de la fecha.",Spanish,Latin,"[""05/07/2026""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,,
rpt_audit_033,hi-en,editing_preservation,"Is text ko natural aur polished bana do: ""I reviewed the report, and the second chart seems confusing for new readers.""","Sure — here’s a more natural and polished version:

**“I reviewed the report, and the second chart may be confusing for new readers.”**

If you want, I can also make it sound more **formal**, **friendly**, or **professional**.",English,Latin,[],clear editing feedback,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,,
rpt_audit_034,hi-en,editing_preservation,"Is text ko natural aur polished bana do: ""The survey question sounds too direct and might make people uncomfortable.""","""The survey question sounds too direct and may make people uncomfortable.""",English,Latin,[],constructive research feedback,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,,
rpt_audit_035,hi-en,editing_preservation,"Is text ko natural aur polished bana do: ""Could you tell the client that the payment will arrive next week?""","Sure — a natural and polished version would be:

**“Could you please let the client know that the payment is expected to arrive next week?”**

A slightly more professional option:

**“Please inform the client that the payment is expected to be received next week.”**",English,Latin,[],polite client update,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,,
rpt_audit_036,hi-en,editing_preservation,"Is text ko natural aur polished bana do: ""I need to ask my manager for one more day to finish the slide deck.""",I need to ask my manager for an extra day to finish the slide deck.,English,Latin,[],polite workplace request,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,,
rpt_audit_037,hi-en,output_language_inference,"Sirf corrected English sentence do, explanation nahi: ""Please let me know if there is any informations missing.""",Please let me know if any information is missing.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,,
rpt_audit_038,hi-en,output_language_inference,"Sirf corrected English sentence do, explanation nahi: ""Each of the students have submitted their form.""",Each of the students has submitted their form.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,,
rpt_audit_039,hi-en,output_language_inference,"Sirf corrected English sentence do, explanation nahi: ""The data are not enough to support this claim.""",The data is insufficient to support this claim.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,,
rpt_audit_040,hi-en,output_language_inference,"Sirf corrected English sentence do, explanation nahi: ""Please let me know if there is any informations missing.""",Please let me know if any information is missing.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,,
rpt_audit_041,hi-en,quote_preservation,"Hindi mein short summary do, Latin script only. Quoted headings ko exactly English mein rakho: The document lists ""Office Hours"" before ""Makeup Exam"".","Document mein pehle ""Office Hours"" aur uske baad ""Makeup Exam"" listed hai.",Hindi/Hinglish,Latin,"[""Office Hours"", ""Makeup Exam""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,,
rpt_audit_042,hi-en,quote_preservation,"Hindi mein short summary do, Latin script only. Quoted headings ko exactly English mein rakho: The document lists ""Visitor Guidelines"" before ""Check-In Desk"".","The document lists ""Visitor Guidelines"" before ""Check-In Desk"".",Hindi/Hinglish,Latin,"[""Visitor Guidelines"", ""Check-In Desk""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,,
rpt_audit_043,hi-en,quote_preservation,"Hindi mein short summary do, Latin script only. Quoted headings ko exactly English mein rakho: The document lists ""Course Requirements"" before ""Final Exam"".","Document mein ""Course Requirements"" ko ""Final Exam"" se pehle list kiya gaya hai.",Hindi/Hinglish,Latin,"[""Course Requirements"", ""Final Exam""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,,
rpt_audit_044,hi-en,quote_preservation,"Hindi mein short summary do, Latin script only. Quoted headings ko exactly English mein rakho: The document lists ""Payment Deadline"" before ""Late Fee"".","Document mein ""Payment Deadline"" ko ""Late Fee"" se pehle rakha gaya hai.",Hindi/Hinglish,Latin,"[""Payment Deadline"", ""Late Fee""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,,
rpt_audit_045,hi-en,script_register_locale,"Hindi mein short WhatsApp reply likho, Latin script only, no Devanagari. Context mein exact data same rakhna. Context: Tell HR I can start on June 12 and the employee ID QR-77 should stay the same.","Main 12 June se start kar sakta/sakti hoon, aur employee ID QR-77 same hi rehni chahiye.",Hindi/Hinglish,Latin,"[""June 12"", ""QR-77""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,,
rpt_audit_046,hi-en,script_register_locale,"Hindi mein short WhatsApp reply likho, Latin script only, no Devanagari. Context mein exact data same rakhna. Context: Tell HR I can start on June 12 and the employee ID QR-77 should stay the same.","Main 12 June se start kar sakta hoon, aur employee ID QR-77 same rehna chahiye.",Hindi/Hinglish,Latin,"[""June 12"", ""QR-77""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,,
rpt_audit_047,hi-en,script_register_locale,"Hindi mein short WhatsApp reply likho, Latin script only, no Devanagari. Context mein exact data same rakhna. Context: Tell my classmate that the file name draft_v2.pdf should stay unchanged.","File ka naam draft_v2.pdf hi rehne do, please.",Hindi/Hinglish,Latin,"[""draft_v2.pdf""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,,
