model,condition,task_family,failure_type,count,share_of_initial_failures
gpt-4.1-nano,baseline,editing_preservation,script_mismatch,5,0.5
gpt-4.1-nano,baseline,editing_preservation,task_noncompletion,10,1.0
gpt-4.1-nano,baseline,editing_preservation,wrong_output_language,10,1.0
gpt-4.1-nano,baseline,quote_preservation,preservation_failure,5,1.0
gpt-4.1-nano,baseline,quote_preservation,task_noncompletion,5,1.0
gpt-4.1-nano,baseline,script_register_locale,preservation_failure,2,0.6666666666666666
gpt-4.1-nano,baseline,script_register_locale,task_noncompletion,2,0.6666666666666666
gpt-4.1-nano,baseline,script_register_locale,wrong_output_language,1,0.3333333333333333
gpt-4.1-nano,contract,editing_preservation,script_mismatch,1,0.2
gpt-4.1-nano,contract,editing_preservation,task_noncompletion,5,1.0
gpt-4.1-nano,contract,editing_preservation,wrong_output_language,5,1.0
gpt-4.1-nano,contract,quote_preservation,preservation_failure,5,1.0
gpt-4.1-nano,contract,quote_preservation,task_noncompletion,5,1.0
gpt-4.1-nano,contract,script_register_locale,preservation_failure,2,1.0
gpt-4.1-nano,contract,script_register_locale,task_noncompletion,2,1.0
