model,condition,task_family,failure_type,count,share_of_initial_failures
gpt-4.1,baseline,editing_preservation,script_mismatch,10,0.5
gpt-4.1,baseline,editing_preservation,task_noncompletion,10,0.5
gpt-4.1,baseline,editing_preservation,wrong_output_language,20,1.0
gpt-4.1,baseline,script_register_locale,preservation_failure,8,1.0
gpt-4.1,baseline,script_register_locale,task_noncompletion,1,0.125
gpt-4.1,contract,editing_preservation,task_noncompletion,1,1.0
gpt-4.1,contract,editing_preservation,wrong_output_language,1,1.0
gpt-4.1,contract,script_register_locale,preservation_failure,7,1.0
gpt-4.1,contract,script_register_locale,task_noncompletion,1,0.14285714285714285
gpt-4.1-mini,baseline,editing_preservation,script_mismatch,10,0.5
gpt-4.1-mini,baseline,editing_preservation,task_noncompletion,20,1.0
gpt-4.1-mini,baseline,editing_preservation,wrong_output_language,20,1.0
gpt-4.1-mini,baseline,script_register_locale,preservation_failure,9,1.0
gpt-4.1-mini,baseline,script_register_locale,task_noncompletion,2,0.2222222222222222
gpt-4.1-mini,contract,editing_preservation,script_mismatch,6,0.375
gpt-4.1-mini,contract,editing_preservation,task_noncompletion,16,1.0
gpt-4.1-mini,contract,editing_preservation,wrong_output_language,16,1.0
gpt-4.1-mini,contract,script_register_locale,preservation_failure,9,1.0
gpt-4.1-mini,contract,script_register_locale,task_noncompletion,2,0.2222222222222222
gpt-4.1-nano,baseline,editing_preservation,script_mismatch,10,0.5
gpt-4.1-nano,baseline,editing_preservation,task_noncompletion,20,1.0
gpt-4.1-nano,baseline,editing_preservation,wrong_output_language,20,1.0
gpt-4.1-nano,baseline,quote_preservation,preservation_failure,9,1.0
gpt-4.1-nano,baseline,quote_preservation,task_noncompletion,9,1.0
gpt-4.1-nano,baseline,script_register_locale,preservation_failure,9,0.9
gpt-4.1-nano,baseline,script_register_locale,task_noncompletion,3,0.3
gpt-4.1-nano,baseline,script_register_locale,wrong_output_language,1,0.1
gpt-4.1-nano,contract,editing_preservation,script_mismatch,1,0.1
gpt-4.1-nano,contract,editing_preservation,task_noncompletion,10,1.0
gpt-4.1-nano,contract,editing_preservation,wrong_output_language,10,1.0
gpt-4.1-nano,contract,quote_preservation,preservation_failure,8,1.0
gpt-4.1-nano,contract,quote_preservation,task_noncompletion,8,1.0
gpt-4.1-nano,contract,script_register_locale,preservation_failure,9,0.9
gpt-4.1-nano,contract,script_register_locale,task_noncompletion,3,0.3
gpt-4.1-nano,contract,script_register_locale,wrong_output_language,1,0.1
