model,condition,task_family,n,mean_first_turn_tokens,mean_total_tokens_until_stop,mean_extra_tokens_after_first,mean_total_input_tokens,mean_total_output_tokens,mean_token_tax,total_tokens_until_stop,total_extra_tokens_after_first
gpt-4.1,baseline,editing_preservation,30,116.33333333333333,267.43333333333334,151.1,141.93333333333334,125.5,2.146086895473602,8023,4533
gpt-4.1,baseline,output_language_inference,30,47.6,47.6,0,37.9,9.7,1.0,1428,0
gpt-4.1,baseline,quote_preservation,30,80.16666666666667,80.16666666666667,0,49.2,30.966666666666665,1.0,2405,0
gpt-4.1,baseline,script_register_locale,30,82,135.6,53.6,105.26666666666667,30.333333333333332,1.5916709490786916,4068,1608
gpt-4.1,contract,editing_preservation,30,225.73333333333332,234.93333333333334,9.2,209.96666666666667,24.966666666666665,1.0398268398268398,7048,276
gpt-4.1,contract,output_language_inference,30,204.6,204.6,0,194.9,9.7,1.0,6138,0
gpt-4.1,contract,quote_preservation,30,225.23333333333332,225.23333333333332,0,206.2,19.033333333333335,1.0,6757,0
gpt-4.1,contract,script_register_locale,30,238.1,360.3666666666667,122.26666666666667,330.73333333333335,29.633333333333333,1.496433594114013,10811,3668
gpt-4.1-mini,baseline,editing_preservation,30,96.66666666666667,215.76666666666668,119.1,127.73333333333333,88.03333333333333,2.0886916858473854,6473,3573
gpt-4.1-mini,baseline,output_language_inference,30,47.6,47.6,0,37.9,9.7,1.0,1428,0
gpt-4.1-mini,baseline,quote_preservation,30,80,80,0,49.2,30.8,1.0,2400,0
gpt-4.1-mini,baseline,script_register_locale,30,82.8,140.3,57.5,108.63333333333334,31.666666666666668,1.637439030689716,4209,1725
gpt-4.1-mini,contract,editing_preservation,30,231.56666666666666,384.6333333333333,153.06666666666666,336.43333333333334,48.2,1.6441993904409813,11539,4592
gpt-4.1-mini,contract,output_language_inference,30,204.6,204.6,0,194.9,9.7,1.0,6138,0
gpt-4.1-mini,contract,quote_preservation,30,233.66666666666666,233.66666666666666,0,206.2,27.466666666666665,1.0,7010,0
gpt-4.1-mini,contract,script_register_locale,30,239.83333333333334,349.73333333333335,109.9,318.53333333333336,31.2,1.444115455021583,10492,3297
gpt-4.1-nano,baseline,editing_preservation,30,83.36666666666666,181.13333333333333,97.76666666666667,116.26666666666667,64.86666666666666,2.062884849061465,5434,2933
gpt-4.1-nano,baseline,output_language_inference,30,47.63333333333333,47.63333333333333,0,37.9,9.733333333333333,1.0,1429,0
gpt-4.1-nano,baseline,quote_preservation,30,106.63333333333334,178.63333333333333,72,104.86666666666666,73.76666666666667,1.948480012954899,5359,2160
gpt-4.1-nano,baseline,script_register_locale,30,83.2,149.63333333333333,66.43333333333334,116,33.63333333333333,1.7596455171874783,4489,1993
gpt-4.1-nano,contract,editing_preservation,30,232.7,326,93.3,285.03333333333336,40.96666666666667,1.3973110704354312,9780,2799
gpt-4.1-nano,contract,output_language_inference,30,204.6,204.6,0,194.9,9.7,1.0,6138,0
gpt-4.1-nano,contract,quote_preservation,30,229.76666666666668,320.6666666666667,90.9,290.56666666666666,30.1,1.398505593465821,9620,2727
gpt-4.1-nano,contract,script_register_locale,30,240.36666666666667,381.1,140.73333333333332,347.6666666666667,33.43333333333333,1.569835395157398,11433,4222
