model,baseline_rtt,contract_rtt,count
gpt-4.1,0,0,92
gpt-4.1,0,1,0
gpt-4.1,0,2,0
gpt-4.1,0,3,0
gpt-4.1,1,0,20
gpt-4.1,1,1,3
gpt-4.1,1,2,0
gpt-4.1,1,3,2
gpt-4.1,2,0,0
gpt-4.1,2,1,0
gpt-4.1,2,2,0
gpt-4.1,2,3,0
gpt-4.1,3,0,0
gpt-4.1,3,1,0
gpt-4.1,3,2,0
gpt-4.1,3,3,3
gpt-4.1-mini,0,0,91
gpt-4.1-mini,0,1,0
gpt-4.1-mini,0,2,0
gpt-4.1-mini,0,3,0
gpt-4.1-mini,1,0,4
gpt-4.1-mini,1,1,22
gpt-4.1-mini,1,2,0
gpt-4.1-mini,1,3,0
gpt-4.1-mini,2,0,0
gpt-4.1-mini,2,1,1
gpt-4.1-mini,2,2,0
gpt-4.1-mini,2,3,1
gpt-4.1-mini,3,0,0
gpt-4.1-mini,3,1,0
gpt-4.1-mini,3,2,0
gpt-4.1-mini,3,3,1
gpt-4.1-nano,0,0,80
gpt-4.1-nano,0,1,1
gpt-4.1-nano,0,2,0
gpt-4.1-nano,0,3,0
gpt-4.1-nano,1,0,12
gpt-4.1-nano,1,1,17
gpt-4.1-nano,1,2,0
gpt-4.1-nano,1,3,0
gpt-4.1-nano,2,0,0
gpt-4.1-nano,2,1,1
gpt-4.1-nano,2,2,0
gpt-4.1-nano,2,3,2
gpt-4.1-nano,3,0,0
gpt-4.1-nano,3,1,3
gpt-4.1-nano,3,2,1
gpt-4.1-nano,3,3,3
