model,task_family,n_pairs,delta_ftga_pp,delta_ftga_pp_ci_low,delta_ftga_pp_ci_high,rtt_reduction,rtt_reduction_ci_low,rtt_reduction_ci_high,token_tax_reduction,token_tax_reduction_ci_low,token_tax_reduction_ci_high,unresolved_reduction_pp,unresolved_reduction_pp_ci_low,unresolved_reduction_pp_ci_high
gpt-4.1,editing_preservation,30,63.33333333333333,46.666666666666664,80.0,0.6333333333333333,0.4666666666666667,0.8,1.1062600556467619,0.8114443771491013,1.3883138814023315,0.0,0.0,0.0
gpt-4.1,output_language_inference,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4.1,quote_preservation,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4.1,script_register_locale,30,3.3333333333333335,0.0,10.0,-0.1,-0.3333333333333333,0.06666666666666667,0.09523735496467856,-0.07787294632527506,0.2695892818403429,-6.666666666666667,-16.666666666666664,0.0
gpt-4.1-mini,editing_preservation,30,13.333333333333334,3.3333333333333335,26.666666666666668,0.13333333333333333,0.03333333333333333,0.26666666666666666,0.4444922954064041,0.281276543045866,0.6371250004350415,0.0,0.0,0.0
gpt-4.1-mini,output_language_inference,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4.1-mini,quote_preservation,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4.1-mini,script_register_locale,30,0.0,0.0,0.0,0.0,-0.1,0.1,0.19332357566813307,0.06293281589473211,0.37728162947264826,-3.3333333333333335,-10.0,0.0
gpt-4.1-nano,editing_preservation,30,33.33333333333333,16.666666666666664,50.0,0.3333333333333333,0.16666666666666666,0.5,0.6655737786260342,0.4415066366600403,0.9083583473630209,0.0,0.0,0.0
gpt-4.1-nano,output_language_inference,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4.1-nano,quote_preservation,30,3.3333333333333335,0.0,10.0,0.26666666666666666,0.03333333333333333,0.5333333333333333,0.5499744194890779,0.22680758211430266,0.9156329611793949,10.0,-3.3333333333333335,23.333333333333332
gpt-4.1-nano,script_register_locale,30,0.0,-10.0,10.0,-0.03333333333333333,-0.16666666666666666,0.06666666666666667,0.18981012203008016,0.023614103399384013,0.360722191215042,-3.3333333333333335,-10.0,0.0
