model,component,n_pairs,delta_pp,improved_n,worsened_n,tied_n
gpt-4.1,ftga_pass,120,16.7,20,0,100
gpt-4.1,language_pass,120,15.8,19,0,101
gpt-4.1,script_pass,120,8.3,10,0,110
gpt-4.1,preservation_pass,120,0.8,1,0,119
gpt-4.1,task_pass,120,7.5,10,1,109
gpt-4.1,register_locale_pass,120,0.0,0,0,120
gpt-4.1-mini,ftga_pass,120,3.3,4,0,116
gpt-4.1-mini,language_pass,120,3.3,4,0,116
gpt-4.1-mini,script_pass,120,3.3,4,0,116
gpt-4.1-mini,preservation_pass,120,0.0,0,0,120
gpt-4.1-mini,task_pass,120,3.3,4,0,116
gpt-4.1-mini,register_locale_pass,120,0.0,0,0,120
gpt-4.1-nano,ftga_pass,120,9.2,12,1,107
gpt-4.1-nano,language_pass,120,8.3,11,1,108
gpt-4.1-nano,script_pass,120,7.5,9,0,111
gpt-4.1-nano,preservation_pass,120,0.8,1,0,119
gpt-4.1-nano,task_pass,120,9.2,11,0,109
gpt-4.1-nano,register_locale_pass,120,0.0,0,0,120
