model,metric,label,direction,n_pairs,positive_n,negative_n,tie_n,mean_delta,two_sided_sign_p
gpt-4.1,ftga,FTGA,contract_minus_baseline,120,20,0,100,0.16666666666666666,1.9073486328125e-06
gpt-4.1,rtt,RTT reduction,baseline_minus_contract,120,20,2,98,0.13333333333333333,0.00012111663818359375
gpt-4.1,token_tax,Token-tax reduction,baseline_minus_contract,120,26,2,92,0.3003743526528601,3.032386302947998e-06
gpt-4.1,unresolved,Unresolved reduction,baseline_minus_contract,120,0,2,118,-0.016666666666666666,0.5
gpt-4.1-mini,ftga,FTGA,contract_minus_baseline,120,4,0,116,0.03333333333333333,0.125
gpt-4.1-mini,rtt,RTT reduction,baseline_minus_contract,120,5,1,114,0.03333333333333333,0.21875
gpt-4.1-mini,token_tax,Token-tax reduction,baseline_minus_contract,120,29,0,91,0.1594539677686343,3.725290298461914e-09
gpt-4.1-mini,unresolved,Unresolved reduction,baseline_minus_contract,120,0,1,119,-0.008333333333333333,1.0
gpt-4.1-nano,ftga,FTGA,contract_minus_baseline,120,12,1,107,0.09166666666666666,0.00341796875
gpt-4.1-nano,rtt,RTT reduction,baseline_minus_contract,120,17,3,100,0.14166666666666666,0.0025768280029296875
gpt-4.1-nano,token_tax,Token-tax reduction,baseline_minus_contract,120,39,1,80,0.3513395800362981,7.457856554538012e-11
gpt-4.1-nano,unresolved,Unresolved reduction,baseline_minus_contract,120,4,2,114,0.016666666666666666,0.6875
