condition,task_family,failure_signature,count,share_of_first_turn_failures
baseline,editing_preservation,language+script+task,30,0.5
baseline,editing_preservation,language+task,20,0.333
baseline,quote_preservation,preservation+task,9,1.0
baseline,script_register_locale,preservation,20,0.741
baseline,script_register_locale,preservation+task,6,0.222
contract,editing_preservation,language+task,20,0.741
contract,editing_preservation,language+script+task,7,0.259
contract,quote_preservation,preservation+task,8,1.0
contract,script_register_locale,preservation,19,0.731
contract,script_register_locale,preservation+task,6,0.231
