model,condition,language_pair,n,ftga,mean_rtt,unresolved_rate,repair_success_at_1,repair_success_at_2,mean_token_tax,initially_failed_n,ftga_ci_low,ftga_ci_high,mean_rtt_ci_low,mean_rtt_ci_high
gpt-4.1,baseline,ar-en,40,0.65,0.4,0.025,0.9285714285714286,0.9285714285714286,1.6224925954161606,14,0.5,0.8,0.225,0.6
gpt-4.1,baseline,es-en,40,0.675,0.375,0.025,0.9230769230769231,0.9230769230769231,1.5942468406296384,13,0.525,0.825,0.2,0.575
gpt-4.1,baseline,hi-en,40,0.975,0.075,0.025,0.0,0.0,1.086578947368421,1,0.925,1,0,0.225
gpt-4.1,contract,ar-en,40,0.9,0.25,0.075,0.25,0.25,1.2180763375081833,4,0.8,0.975,0.025,0.525
gpt-4.1,contract,es-en,40,0.925,0.125,0.025,0.6666666666666666,0.6666666666666666,1.1215181814958435,3,0.825,1,0,0.325
gpt-4.1,contract,hi-en,40,0.975,0.075,0.025,0.0,0.0,1.0626008064516128,1,0.925,1,0,0.225
gpt-4.1-mini,baseline,ar-en,40,0.625,0.4,0,0.9333333333333333,1.0,1.6361403361100089,15,0.475,0.775,0.225,0.575
gpt-4.1-mini,baseline,es-en,40,0.675,0.375,0.025,0.9230769230769231,0.9230769230769231,1.5735675914027072,13,0.525,0.825,0.2,0.575
gpt-4.1-mini,baseline,hi-en,40,0.975,0.05,0,0.0,1.0,1.0848901098901098,1,0.925,1,0,0.15
gpt-4.1-mini,contract,ar-en,40,0.725,0.325,0.025,0.9090909090909091,0.9090909090909091,1.3656824578454443,11,0.6,0.875,0.15,0.525
gpt-4.1-mini,contract,es-en,40,0.675,0.375,0.025,0.9230769230769231,0.9230769230769231,1.4213368087815994,13,0.525,0.825,0.2,0.575
gpt-4.1-mini,contract,hi-en,40,0.975,0.025,0,1.0,1.0,1.0292168674698796,1,0.925,1,0,0.075
gpt-4.1-nano,baseline,ar-en,40,0.375,0.975,0.15,0.68,0.76,2.4322400270662916,25,0.225,0.525,0.65,1.3
gpt-4.1-nano,baseline,es-en,40,0.7,0.325,0,0.9166666666666666,1.0,1.529876343195176,12,0.55,0.85,0.175,0.5
gpt-4.1-nano,baseline,hi-en,40,0.95,0.1,0.025,0.5,0.5,1.116141414141414,2,0.875,1,0,0.275
gpt-4.1-nano,contract,ar-en,40,0.625,0.55,0.075,0.7333333333333333,0.8,1.5729381518674717,15,0.475,0.775,0.3,0.85
gpt-4.1-nano,contract,es-en,40,0.725,0.325,0.025,0.9090909090909091,0.9090909090909091,1.359390025515649,11,0.575,0.85,0.15,0.525
gpt-4.1-nano,contract,hi-en,40,0.95,0.1,0.025,0.5,0.5,1.091910866910867,2,0.875,1,0,0.3
