item_id,language_pair,task_family,baseline_fail_models_n,contract_fail_models_n,fail_models_reduction,baseline_failure_models,contract_failure_models,baseline_unresolved_models_n,contract_unresolved_models_n,baseline_unresolved_models,contract_unresolved_models,baseline_mean_rtt,contract_mean_rtt,mean_rtt_reduction,baseline_mean_token_tax,contract_mean_token_tax,mean_token_tax_reduction
ar_en_SA_001,ar-en,editing_preservation,3,0,3,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,,0,0,,,1.0,0.0,1.0,2.578,1.0,1.578
ar_en_SA_002,ar-en,editing_preservation,3,0,3,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,,0,0,,,1.0,0.0,1.0,2.669,1.0,1.669
ar_en_SA_003,ar-en,editing_preservation,3,0,3,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,,0,0,,,1.0,0.0,1.0,2.585,1.0,1.585
ar_en_SA_004,ar-en,editing_preservation,3,2,1,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,gpt-4.1-mini;gpt-4.1-nano,0,0,,,1.0,0.667,0.333,2.75,1.817,0.933
ar_en_SA_005,ar-en,editing_preservation,3,1,2,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,gpt-4.1-mini,0,0,,,1.0,0.333,0.667,2.682,1.401,1.281
ar_en_SA_006,ar-en,editing_preservation,3,1,2,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,gpt-4.1-mini,0,0,,,1.0,0.333,0.667,2.607,1.413,1.195
ar_en_SA_007,ar-en,editing_preservation,3,0,3,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,,0,0,,,1.0,0.0,1.0,2.624,1.0,1.624
ar_en_SA_008,ar-en,editing_preservation,3,1,2,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,gpt-4.1-mini,0,0,,,1.0,0.333,0.667,2.601,1.405,1.196
ar_en_SA_009,ar-en,editing_preservation,3,1,2,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,gpt-4.1-mini,0,0,,,1.0,0.333,0.667,2.619,1.408,1.211
ar_en_SA_010,ar-en,editing_preservation,3,1,2,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,gpt-4.1-mini,0,0,,,1.0,0.333,0.667,2.607,1.408,1.199
ar_en_SB_001,ar-en,output_language_inference,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
ar_en_SB_002,ar-en,output_language_inference,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
ar_en_SB_003,ar-en,output_language_inference,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
ar_en_SB_004,ar-en,output_language_inference,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
ar_en_SB_005,ar-en,output_language_inference,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
ar_en_SB_006,ar-en,output_language_inference,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
ar_en_SB_007,ar-en,output_language_inference,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
ar_en_SB_008,ar-en,output_language_inference,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
ar_en_SB_009,ar-en,output_language_inference,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
ar_en_SB_010,ar-en,output_language_inference,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
ar_en_SC_001,ar-en,quote_preservation,1,1,0,gpt-4.1-nano,gpt-4.1-nano,1,0,gpt-4.1-nano,,1.0,0.333,0.667,2.255,1.378,0.876
ar_en_SC_002,ar-en,quote_preservation,1,1,0,gpt-4.1-nano,gpt-4.1-nano,1,0,gpt-4.1-nano,,1.0,0.333,0.667,2.315,1.38,0.934
