model,repair_variant,label,n,repair_success_n,repair_success_pct,mean_total_tokens
gpt-4.1,explicit_contract,explicit,8,1,12.5,228.2
gpt-4.1,frustrated_dont_translate,frustrated,8,5,62.5,217.8
gpt-4.1,standard_saved,standard,8,8,100.0,217.6
gpt-4.1,terse_keep_english,terse,8,8,100.0,223.5
gpt-4.1-mini,explicit_contract,explicit,8,0,0.0,191.6
gpt-4.1-mini,frustrated_dont_translate,frustrated,8,8,100.0,187.6
gpt-4.1-mini,standard_saved,standard,8,8,100.0,177.2
gpt-4.1-mini,terse_keep_english,terse,8,8,100.0,193.6
gpt-4.1-nano,explicit_contract,explicit,8,4,50.0,157.2
gpt-4.1-nano,frustrated_dont_translate,frustrated,8,4,50.0,148.2
gpt-4.1-nano,standard_saved,standard,8,8,100.0,150.1
gpt-4.1-nano,terse_keep_english,terse,8,8,100.0,150.2
