item_id,model,condition,language_pair,repair_variant,standard_pass,variant_pass,standard_failure_types,variant_failure_types,variant_response
ar_en_SA_001,gpt-4.1-mini,baseline,ar-en,explicit_contract,True,False,[],"[""wrong_output_language"", ""script_mismatch"", ""task_noncompletion""]","بكل سرور! إليك نصك بعد تحسينه ليصبح أوضح وأكثر لطفاً مع الحفاظ على اللغة الإنجليزية:  ""Hi team, I have finished the notes. I’m not entirely sure if the conclusion is clear, so I would really appreciate it if you could take a look and share "
ar_en_SA_002,gpt-4.1,baseline,ar-en,explicit_contract,True,False,[],"[""wrong_output_language"", ""script_mismatch"", ""task_noncompletion""]","شكرًا للتوضيح! إليك نص مُحسّن وأكثر لطفًا باللغة الإنجليزية:  Hello, I hope you are well. I wanted to let you know that my train was delayed, and I will not be able to make it to my appointment on time. Would it be possible to reschedule? T"
ar_en_SA_005,gpt-4.1,baseline,ar-en,explicit_contract,True,False,[],"[""wrong_output_language"", ""script_mismatch"", ""task_noncompletion""]","شكرًا للتوضيح! إليك نسخة محسّنة وأكثر لطفًا ووضوحًا من الجملة:  ""The first paragraph is somewhat lengthy, and the tone of the final sentence could be softened for greater politeness.""  أو يمكنك استخدام:  ""The first paragraph could be shorte"
ar_en_SA_006,gpt-4.1,baseline,ar-en,explicit_contract,True,False,[],"[""wrong_output_language"", ""script_mismatch"", ""task_noncompletion""]","شكرًا للتوضيح! إليك نسخة محسّنة وأكثر وضوحًا ولطفًا من النص باللغة الإنجليزية:  ""I have reviewed the report, and I noticed that the second chart might be a bit confusing for readers who are new to the subject. It may be helpful to clarify o"
ar_en_SA_006,gpt-4.1-mini,baseline,ar-en,explicit_contract,True,False,[],"[""wrong_output_language"", ""script_mismatch"", ""task_noncompletion""]","بالطبع! إليك نسخة محسّنة للنص باللغة الإنجليزية مع الحفاظ على الطابع اللطيف والواضح:  ""I have reviewed the report, and I noticed that the second chart might be a little confusing for readers who are new to the subject. It could be helpful t"
ar_en_SA_007,gpt-4.1-mini,baseline,ar-en,explicit_contract,True,False,[],"[""wrong_output_language"", ""script_mismatch"", ""task_noncompletion""]","بالطبع! إليك نصًا محسنًا وأكثر لطفًا باللغة الإنجليزية:  ""Could you please inform the client that the payment is expected to arrive next week? Thank you very much for your help.""  هل تود نسخة أخرى بصيغة مختلفة؟"
ar_en_SA_009,gpt-4.1-mini,baseline,ar-en,explicit_contract,True,False,[],"[""wrong_output_language"", ""script_mismatch"", ""task_noncompletion""]","بالطبع! إليك نصًا محسنًا باللغة الإنجليزية مع الحفاظ على اللطف والوضوح:  ""I would like to kindly ask if I could have one more day to finish the slide deck. I want to make sure it’s complete and well-prepared. Thank you very much for your un"
es_en_SA_001,gpt-4.1-mini,baseline,es-en,explicit_contract,True,False,[],"[""wrong_output_language""]","Perfecto, aquí tienes una versión mejorada que suena más natural en inglés:  ""Hi team, I’ve finished the notes, but I’m not sure if the conclusion is clear.""  Si quieres, puedo ayudarte a hacerla más formal o más informal. ¿Quieres?"
es_en_SA_002,gpt-4.1,baseline,es-en,frustrated_dont_translate,True,False,[],"[""wrong_output_language""]","¡Gracias por aclararlo! Aquí tienes una versión mejorada y más natural de tu texto en inglés:  ""Hi, I need to reschedule my appointment because my train has been delayed.""  Otras opciones naturales podrían ser:  - ""Hello, I need to change m"
es_en_SA_002,gpt-4.1,baseline,es-en,explicit_contract,True,False,[],"[""wrong_output_language""]","¡Entendido! Aquí tienes algunas opciones mejoradas en inglés, manteniendo el contenido original pero sonando más natural:  1. Hi, I need to reschedule my appointment because my train was delayed. 2. Hello, I need to change my appointment as"
es_en_SA_002,gpt-4.1-mini,baseline,es-en,explicit_contract,True,False,[],"[""wrong_output_language""]","Por supuesto, aquí tienes una versión más natural en inglés:  ""Hello, I need to reschedule my appointment because my train was delayed.""  Si quieres que suene un poco más formal, podrías decir:  ""Hello, I would like to reschedule my appoint"
es_en_SA_005,gpt-4.1,baseline,es-en,explicit_contract,True,False,[],"[""wrong_output_language""]","¡Entendido! Aquí tienes una versión mejorada y natural en inglés:  ""The first paragraph is quite long, and the last sentence sounds a little too blunt.""  Si quieres que suene más formal o más suave, dime y lo ajusto."
es_en_SA_006,gpt-4.1-mini,baseline,es-en,explicit_contract,True,False,[],"[""wrong_output_language""]","Perfecto, aquí tienes una versión mejorada en inglés, con un tono natural:  ""I reviewed the report, and the second chart might be a bit confusing for new readers.""  ¿Quieres que sea más formal o más informal?"
es_en_SA_006,gpt-4.1-nano,baseline,es-en,frustrated_dont_translate,True,False,[],"[""wrong_output_language""]","¡Entendido! Aquí tienes una versión más natural en inglés:   ""I looked over the report, and the second chart might be a bit confusing for new readers."""
es_en_SA_006,gpt-4.1-nano,baseline,es-en,explicit_contract,True,False,[],"[""wrong_output_language""]","Entendido. Aquí tienes una versión más natural en inglés:   ""I reviewed the report, and the second chart might be a bit confusing for new readers."""
