artifact_label,model,condition,api_response_rows,first_turn_rows,trajectories,input_tokens,output_tokens,total_tokens,created_at_start,created_at_end
coverage_pilot_v03_gpt54mini,gpt-5.4-mini,baseline,32,24,24,2373,1340,3713,2026-06-29T02:12:15.114364+00:00,2026-06-29T02:29:36.363703+00:00
coverage_pilot_v03_gpt54mini,gpt-5.4-mini,contract,26,24,24,5634,618,6252,2026-06-29T02:12:16.188565+00:00,2026-06-29T02:29:37.292623+00:00
coverage_smoke_v03_gpt55,gpt-5.5,baseline,6,6,6,345,480,825,2026-06-29T02:42:00.621285+00:00,2026-06-29T02:42:29.911909+00:00
coverage_smoke_v03_gpt55,gpt-5.5,contract,6,6,6,1287,390,1677,2026-06-29T02:42:02.394585+00:00,2026-06-29T02:42:32.020621+00:00
main_evaluation,gpt-4.1,baseline,151,120,120,10029,5895,15924,2026-06-28T01:23:27.237346+00:00,2026-06-28T03:55:15.404189+00:00
main_evaluation,gpt-4.1,contract,134,120,120,28516,2519,31035,2026-06-28T01:23:29.129011+00:00,2026-06-28T03:55:17.999559+00:00
main_evaluation,gpt-4.1-mini,baseline,154,120,120,9935,4834,14769,2026-06-28T01:19:36.746585+00:00,2026-06-28T03:55:12.330200+00:00
main_evaluation,gpt-4.1-mini,contract,150,120,120,32489,3548,36037,2026-06-28T01:19:38.736860+00:00,2026-06-28T03:55:14.174868+00:00
main_evaluation,gpt-4.1-nano,baseline,173,120,120,11571,5504,17075,2026-06-28T01:15:43.155159+00:00,2026-06-28T03:51:55.027025+00:00
main_evaluation,gpt-4.1-nano,contract,155,120,120,33766,3437,37203,2026-06-28T01:15:44.371132+00:00,2026-06-28T03:51:56.192442+00:00
prompt_ablation_content_preservation,gpt-4.1-nano,content_preservation,146,120,120,20056,3324,23380,2026-06-28T05:48:16.144065+00:00,2026-06-28T05:50:04.200919+00:00
prompt_control,gpt-4.1-nano,generic_helpfulness,155,120,120,23494,3968,27462,2026-06-28T03:38:43.787025+00:00,2026-06-28T04:27:10.313212+00:00
