dispatch_priority,surface_id,surface_label,slot_order,slot_id,template_reviewer_id,roster_template,completed_roster,completed_roster_present,expected_language_pair,expected_target_content_language,require_native_or_near_native,require_can_validate_instruction_language,require_can_validate_target_language,require_can_validate_script,require_qualification_notes,require_no_conflict_of_interest,completed_roster_validator,claim_boundary
1,current_model_human_audit_v02,Current-model GPT-5.x human/native audit,1,ar-en,replace_with_ar_en_annotator_1_id,data/current_model_human_audit/human_audit_annotator_roster_template_v0.2_current_gpt5.csv,data/current_model_human_audit/human_audit_annotator_roster_v0.2_current_gpt5.csv,False,ar-en,,True,not_applicable,not_applicable,True,True,True,scripts/validate_completed_human_audit.py,no_human_or_native_validation_claim_until_completed_labels_and_qualified_rosters_pass
1,current_model_human_audit_v02,Current-model GPT-5.x human/native audit,2,ar-en,replace_with_ar_en_annotator_2_id,data/current_model_human_audit/human_audit_annotator_roster_template_v0.2_current_gpt5.csv,data/current_model_human_audit/human_audit_annotator_roster_v0.2_current_gpt5.csv,False,ar-en,,True,not_applicable,not_applicable,True,True,True,scripts/validate_completed_human_audit.py,no_human_or_native_validation_claim_until_completed_labels_and_qualified_rosters_pass
1,current_model_human_audit_v02,Current-model GPT-5.x human/native audit,3,es-en,replace_with_es_en_annotator_1_id,data/current_model_human_audit/human_audit_annotator_roster_template_v0.2_current_gpt5.csv,data/current_model_human_audit/human_audit_annotator_roster_v0.2_current_gpt5.csv,False,es-en,,True,not_applicable,not_applicable,True,True,True,scripts/validate_completed_human_audit.py,no_human_or_native_validation_claim_until_completed_labels_and_qualified_rosters_pass
1,current_model_human_audit_v02,Current-model GPT-5.x human/native audit,4,es-en,replace_with_es_en_annotator_2_id,data/current_model_human_audit/human_audit_annotator_roster_template_v0.2_current_gpt5.csv,data/current_model_human_audit/human_audit_annotator_roster_v0.2_current_gpt5.csv,False,es-en,,True,not_applicable,not_applicable,True,True,True,scripts/validate_completed_human_audit.py,no_human_or_native_validation_claim_until_completed_labels_and_qualified_rosters_pass
1,current_model_human_audit_v02,Current-model GPT-5.x human/native audit,5,hi-en,replace_with_hi_en_annotator_1_id,data/current_model_human_audit/human_audit_annotator_roster_template_v0.2_current_gpt5.csv,data/current_model_human_audit/human_audit_annotator_roster_v0.2_current_gpt5.csv,False,hi-en,,True,not_applicable,not_applicable,True,True,True,scripts/validate_completed_human_audit.py,no_human_or_native_validation_claim_until_completed_labels_and_qualified_rosters_pass
1,current_model_human_audit_v02,Current-model GPT-5.x human/native audit,6,hi-en,replace_with_hi_en_annotator_2_id,data/current_model_human_audit/human_audit_annotator_roster_template_v0.2_current_gpt5.csv,data/current_model_human_audit/human_audit_annotator_roster_v0.2_current_gpt5.csv,False,hi-en,,True,not_applicable,not_applicable,True,True,True,scripts/validate_completed_human_audit.py,no_human_or_native_validation_claim_until_completed_labels_and_qualified_rosters_pass
2,human_audit_v02,Original v0.2 human/native audit,1,ar-en,replace_with_ar_en_annotator_1_id,data/human_audit/human_audit_annotator_roster_template_v0.2.csv,data/human_audit/human_audit_annotator_roster_v0.2.csv,False,ar-en,,True,not_applicable,not_applicable,True,True,True,scripts/validate_completed_human_audit.py,no_human_or_native_validation_claim_until_completed_labels_and_qualified_rosters_pass
2,human_audit_v02,Original v0.2 human/native audit,2,ar-en,replace_with_ar_en_annotator_2_id,data/human_audit/human_audit_annotator_roster_template_v0.2.csv,data/human_audit/human_audit_annotator_roster_v0.2.csv,False,ar-en,,True,not_applicable,not_applicable,True,True,True,scripts/validate_completed_human_audit.py,no_human_or_native_validation_claim_until_completed_labels_and_qualified_rosters_pass
2,human_audit_v02,Original v0.2 human/native audit,3,es-en,replace_with_es_en_annotator_1_id,data/human_audit/human_audit_annotator_roster_template_v0.2.csv,data/human_audit/human_audit_annotator_roster_v0.2.csv,False,es-en,,True,not_applicable,not_applicable,True,True,True,scripts/validate_completed_human_audit.py,no_human_or_native_validation_claim_until_completed_labels_and_qualified_rosters_pass
2,human_audit_v02,Original v0.2 human/native audit,4,es-en,replace_with_es_en_annotator_2_id,data/human_audit/human_audit_annotator_roster_template_v0.2.csv,data/human_audit/human_audit_annotator_roster_v0.2.csv,False,es-en,,True,not_applicable,not_applicable,True,True,True,scripts/validate_completed_human_audit.py,no_human_or_native_validation_claim_until_completed_labels_and_qualified_rosters_pass
