surface_id,file_role,path,exists,bytes
human_audit_v02,packet,data/human_audit/human_audit_packet_v0.2.csv,True,40824
human_audit_v02,roster_template,data/human_audit/human_audit_annotator_roster_template_v0.2.csv,True,386
human_audit_v02,review_sheet_index,data/human_audit/review_sheets_v0.2/index.html,True,1139
human_audit_v02,review_sheet_readme,data/human_audit/review_sheets_v0.2/README.md,True,779
human_audit_v02,launch_checklist,data/human_audit/human_audit_launch_checklist_v0.2.md,True,5159
human_audit_v02,design_report,paper/human_audit_design_audit_v02.md,True,2513
current_model_human_audit_v02,packet,data/current_model_human_audit/human_audit_packet_v0.2_current_gpt5.csv,True,26327
current_model_human_audit_v02,roster_template,data/current_model_human_audit/human_audit_annotator_roster_template_v0.2_current_gpt5.csv,True,386
current_model_human_audit_v02,review_sheet_index,data/current_model_human_audit/review_sheets_v0.2_current_gpt5/index.html,True,1204
current_model_human_audit_v02,review_sheet_readme,data/current_model_human_audit/review_sheets_v0.2_current_gpt5/README.md,True,846
current_model_human_audit_v02,launch_checklist,data/current_model_human_audit/human_audit_launch_checklist_v0.2_current_gpt5.md,True,5774
current_model_human_audit_v02,design_report,paper/current_model_human_audit_design_v02.md,True,2424
coverage_native_review_v03,packet,data/coverage_native_review_v03/coverage_native_review_packet_v03.csv,True,56684
coverage_native_review_v03,roster_template,data/coverage_native_review_v03/coverage_native_review_roster_template_v03.csv,True,1661
coverage_native_review_v03,review_sheet_index,data/coverage_native_review_v03/review_sheets_v03/index.html,True,1944
coverage_native_review_v03,review_sheet_readme,data/coverage_native_review_v03/review_sheets_v03/README.md,True,1108
coverage_native_review_v03,launch_checklist,data/coverage_native_review_v03/coverage_native_review_launch_checklist_v03.md,True,4995
coverage_native_review_v03,design_report,paper/coverage_native_review_design_v03.md,True,2010
