model,condition,n_items,ftga_pct,mean_rtt,token_tax,unresolved_pct,initial_failures,prompt_scope
gpt-4.1-nano,baseline,120,67.5,0.467,1.693,5.8,39,nano_four_condition_diagnostic
gpt-4.1-nano,generic_helpfulness,120,75.0,0.325,1.37,3.3,30,nano_four_condition_diagnostic
gpt-4.1-nano,content_preservation,120,80.0,0.267,1.279,3.3,24,nano_four_condition_diagnostic
gpt-4.1-nano,contract,120,76.7,0.325,1.341,4.2,28,nano_four_condition_diagnostic
gpt-5.4-mini,baseline,120,80.0,0.25,1.379,2.5,24,current_model_three_condition_diagnostic
gpt-5.4-mini,contract,120,85.0,0.25,1.241,5.0,18,current_model_three_condition_diagnostic
gpt-5.4-mini,content_preservation,120,85.8,0.242,1.252,5.0,17,current_model_three_condition_diagnostic
gpt-5.5,baseline,120,81.7,0.225,1.278,1.7,22,current_model_three_condition_diagnostic
gpt-5.5,contract,120,98.3,0.017,1.016,0.0,2,current_model_three_condition_diagnostic
gpt-5.5,content_preservation,120,99.2,0.008,1.012,0.0,1,current_model_three_condition_diagnostic
