plan_item,plan_section,status,paper_use,evidence,validation_signal,next_step
current_model_refresh,Experiment A,complete_paper_facing,headline current-model result,paper/current_model_refresh_v02.md; results/tables/current_model_refresh_v02/current_model_refresh_summary.csv; results/tables/openai_gpt55_stress_v02_full120/trajectory_metrics.csv; results/tables/openai_gpt54mini_stress_v02_full120/trajectory_metrics.csv,"gpt-5.5 contract 98.3 FTGA, 0.017 RTT; gpt-5.4-mini contract 85.0 FTGA with bounded sign-test evidence",none for current submission; keep GPT-5.5 as the current-model headline
main_results_metrics,Submission-ready checklist,complete_paper_facing,main results table,results/tables/openai_three_model_stress_v02_full120/metrics_summary.csv; results/tables/current_model_refresh_v02/current_model_refresh_summary.csv; paper/sections/05_results.tex,"FTGA, RTT, unresolved, Repair@1/2, and token-tax rows are present for all five full-run models",none
family_level_failure_story,Submission-ready checklist,complete_paper_facing,failure-mode and residual-error claims,paper/failure_mode_analysis_v02_full120.md; paper/current_model_error_analysis_v02.md; results/tables/current_model_error_analysis_v02/current_model_error_by_family.csv,editing-preservation dominance and current-model residual families are separately audited,none
language_slice_caveat,Submission-ready checklist,complete_paper_facing,bounded language-slice interpretation,paper/language_slice_analysis_v02_full120.md; paper/sections/05_results.tex; scripts/lint_claim_boundaries.py,language-slice effects are reported with the non-population caveat enforced by the claim linter,none
token_burden_caveat,Submission-ready checklist,complete_paper_facing,token-tax interpretation,paper/token_burden_analysis_v02_full120.md; paper/efficiency_tradeoff_v02.md; results/tables/efficiency_tradeoff_v02/efficiency_tradeoff_paired_effects.csv,"normalized token tax falls for five models, while absolute total tokens rise for five contract rows",none
prompt_mechanism,Experiment C,complete_paper_facing,mechanism and mitigation-scope paragraph,paper/prompt_ablation_analysis.md; paper/current_prompt_mechanism_gpt54mini_v02.md; paper/current_prompt_mechanism_gpt55_v02.md; scripts/validate_current_prompt_mechanism.py,"content-preservation is close to the full contract on both current models, so prompt dominance is not claimed",none
repair_realism,Experiment F,complete_supporting,interaction-burden sensitivity diagnostic,paper/repair_realism_editing_baseline24.md; results/tables/openai_three_model_stress_v02_repair_realism_editing_baseline24/repair_realism_summary.csv; scripts/validate_repair_realism.py,repair wording sensitivity is measured on the dominant editing-preservation failures,"treat as a controlled diagnostic, not a user-study result"
judge_refresh,Experiment G,complete_supporting,scorer sanity-check evidence,paper/judge_refresh_gpt55_v02_full120.md; results/tables/openai_three_model_stress_v02_full120_judge_refresh_gpt55/judge_refresh_summary.csv; scripts/validate_judge_refresh.py,GPT-5.5 judge refresh agrees with the automatic scorer on 70/72 sampled labels,do not substitute judge agreement for native-speaker validation
original_human_audit_labels,Experiment B,launch_ready_needs_labels,protocol-ready only until completed annotations exist,data/human_audit/human_audit_packet_v0.2.csv; data/human_audit/human_audit_launch_checklist_v0.2.md; paper/human_audit_design_audit_v02.md; paper/label_collection_launch_pack_v02.md; scripts/validate_completed_human_audit.py,"72 launch rows, 57 auto passes, 15 auto failures, blank annotation fields",collect qualified native/near-native labels and pass validate_completed_human_audit.py
current_model_human_audit_labels,Experiment B extension,launch_ready_needs_labels,protocol-ready current-model validation only,data/current_model_human_audit/human_audit_packet_v0.2_current_gpt5.csv; data/current_model_human_audit/human_audit_launch_checklist_v0.2_current_gpt5.md; paper/current_model_human_audit_design_v02.md; paper/label_collection_launch_pack_v02.md; scripts/validate_current_model_human_audit_packet.py,"48 launch rows, 32 auto passes, 16 auto failures, one row per current-model stratum",collect qualified labels for GPT-5.x rows before claiming current-model human validation
v03_coverage_native_review,Experiment D,launch_ready_needs_labels,v0.3 coverage protocol only,data/coverage_native_review_v03/coverage_native_review_packet_v03.csv; data/coverage_native_review_v03/coverage_native_review_launch_checklist_v03.md; paper/coverage_native_review_design_v03.md; paper/label_collection_launch_pack_v02.md; scripts/validate_completed_coverage_native_review_v03.py,60 synthetic rows across 6 slices; status launch_ready_but_not_completed_native_validation,complete native review before using v0.3 as paper-facing benchmark evidence
v03_coverage_model_smokes,Experiment D,bounded_diagnostic_not_headline,runnability and scoring smoke only,paper/coverage_smoke_gpt54mini_v03.md; paper/coverage_pilot_gpt54mini_v03.md; paper/coverage_smoke_gpt55_v03.md,"saved v0.3 model-output diagnostics exist, but native review is still incomplete",keep out of headline benchmark claims until v0.3 review and a prespecified run are complete
related_work_and_limitations,Submission-ready checklist,complete_paper_facing,positioning and claim boundary,paper/sections/07_related_work.tex; paper/sections/08_limitations_and_ethics.tex; paper/related_work_positioning_v02.md,related work and limitations are checked by validate_paper_claims.py,none
artifact_manifest_claim_checklist,Submission-ready checklist,complete_paper_facing,release and reproducibility gate,paper/artifact_manifest.json; paper/artifact_manifest.md; paper/claim_evidence_checklist.md; scripts/run_submission_checks.py,manifest and claim checklist are regenerated and checked in the submission gate,rerun run_submission_checks.py after any artifact change
collaborator_validated_language_pair,Experiment E,not_started_requires_validator,not claim-ready,additional_experiments_plan .md,no new collaborator-validated language pair is claimed in the current artifact set,add only if a qualified validator is available; otherwise leave out of the current submission
