item_id,model,condition,turn,task_family,language_pair,component,auto_component_pass,judge_component_pass,auto_pass,judge_pass,auto_failure_types,judge_failure_types,judge_short_reason
es_en_SA_004,gpt-4.1,baseline,0,editing_preservation,es-en,task,True,False,False,False,"[""wrong_output_language""]","[""language"", ""register_locale"", ""task""]","The response is mostly in Spanish, violating the expected English-only output and concise workplace register."
es_en_SA_004,gpt-4.1,baseline,0,editing_preservation,es-en,register_locale,True,False,False,False,"[""wrong_output_language""]","[""language"", ""register_locale"", ""task""]","The response is mostly in Spanish, violating the expected English-only output and concise workplace register."
es_en_SA_007,gpt-4.1,baseline,0,editing_preservation,es-en,language,False,True,False,True,"[""wrong_output_language""]",[],"The assistant provided improved English versions as requested, maintaining politeness and content."
ar_en_SA_005,gpt-4.1-mini,contract,0,editing_preservation,ar-en,preservation,True,False,False,False,"[""wrong_output_language"", ""script_mismatch"", ""task_noncompletion""]","[""wrong_language"", ""wrong_script"", ""instruction_language_used"", ""not_content_language"", ""not_editing_feedback""]","The response is in Arabic, not English as required by the contract."
ar_en_SA_005,gpt-4.1-mini,contract,0,editing_preservation,ar-en,register_locale,True,False,False,False,"[""wrong_output_language"", ""script_mismatch"", ""task_noncompletion""]","[""wrong_language"", ""wrong_script"", ""instruction_language_used"", ""not_content_language"", ""not_editing_feedback""]","The response is in Arabic, not English as required by the contract."
ar_en_SA_003,gpt-4.1-nano,baseline,0,editing_preservation,ar-en,preservation,True,False,False,False,"[""wrong_output_language"", ""script_mismatch"", ""task_noncompletion""]","[""wrong_language"", ""wrong_script"", ""not_preserved"", ""task_not_completed""]","The assistant responded in Arabic instead of English, violating language and script requirements and failing to edit the original English text."
ar_en_SA_003,gpt-4.1-nano,baseline,0,editing_preservation,ar-en,register_locale,True,False,False,False,"[""wrong_output_language"", ""script_mismatch"", ""task_noncompletion""]","[""wrong_language"", ""wrong_script"", ""not_preserved"", ""task_not_completed""]","The assistant responded in Arabic instead of English, violating language and script requirements and failing to edit the original English text."
es_en_SA_004,gpt-4.1-nano,contract,0,editing_preservation,es-en,script,True,False,False,False,"[""wrong_output_language"", ""task_noncompletion""]","[""wrong_language"", ""wrong_script"", ""not_editing"", ""translation_instead_of_editing""]",The assistant translated the text into Spanish instead of editing the English text as requested.
es_en_SA_004,gpt-4.1-nano,contract,0,editing_preservation,es-en,preservation,True,False,False,False,"[""wrong_output_language"", ""task_noncompletion""]","[""wrong_language"", ""wrong_script"", ""not_editing"", ""translation_instead_of_editing""]",The assistant translated the text into Spanish instead of editing the English text as requested.
es_en_SA_004,gpt-4.1-nano,contract,0,editing_preservation,es-en,register_locale,True,False,False,False,"[""wrong_output_language"", ""task_noncompletion""]","[""wrong_language"", ""wrong_script"", ""not_editing"", ""translation_instead_of_editing""]",The assistant translated the text into Spanish instead of editing the English text as requested.
