dispatch_priority,surface_id,surface_label,step_order,workflow_role,command,required_before_running,claim_gate_status_before_labels,claim_decision_before_labels
1,current_model_human_audit_v02,Current-model human/native audit,1,merge_single_label_exports,conda run -n reprompt_tax python scripts/merge_review_exports.py --mode human_audit --launch-packet data/current_model_human_audit/human_audit_packet_v0.2_current_gpt5.csv --out data/current_model_human_audit/human_audit_packet_v0.2_current_gpt5_completed.csv --inputs data/current_model_human_audit/human_audit_packet_v0.2_current_gpt5_ar-en_completed.csv data/current_model_human_audit/human_audit_packet_v0.2_current_gpt5_es-en_completed.csv data/current_model_human_audit/human_audit_packet_v0.2_current_gpt5_hi-en_completed.csv,missing completed inputs: data/current_model_human_audit/human_audit_packet_v0.2_current_gpt5_completed.csv; data/current_model_human_audit/human_audit_annotator_roster_v0.2_current_gpt5.csv,needs_labels,no_claim
1,current_model_human_audit_v02,Current-model human/native audit,2,validate_finalized_labels,"conda run -n reprompt_tax python scripts/validate_completed_human_audit.py --annotations data/current_model_human_audit/human_audit_packet_v0.2_current_gpt5_completed.csv --answer-key data/current_model_human_audit/human_audit_answer_key_v0.2_current_gpt5.csv --annotator-roster data/current_model_human_audit/human_audit_annotator_roster_v0.2_current_gpt5.csv --expected-models gpt-5.4-mini,gpt-5.5",missing completed inputs: data/current_model_human_audit/human_audit_packet_v0.2_current_gpt5_completed.csv; data/current_model_human_audit/human_audit_annotator_roster_v0.2_current_gpt5.csv,needs_labels,no_claim
1,current_model_human_audit_v02,Current-model human/native audit,3,summarize_finalized_labels,"conda run -n reprompt_tax python scripts/summarize_human_audit.py --annotations data/current_model_human_audit/human_audit_packet_v0.2_current_gpt5_completed.csv --answer-key data/current_model_human_audit/human_audit_answer_key_v0.2_current_gpt5.csv --out-dir results/tables/human_audit_v0.2_current_gpt5 --expected-models gpt-5.4-mini,gpt-5.5",missing completed inputs: data/current_model_human_audit/human_audit_packet_v0.2_current_gpt5_completed.csv; data/current_model_human_audit/human_audit_annotator_roster_v0.2_current_gpt5.csv,needs_labels,no_claim
1,current_model_human_audit_v02,Current-model human/native audit,4,analyze_double_labels,"conda run -n reprompt_tax python scripts/analyze_human_audit_adjudication.py --annotations data/current_model_human_audit/human_audit_packet_v0.2_current_gpt5_double_completed.csv --answer-key data/current_model_human_audit/human_audit_answer_key_v0.2_current_gpt5.csv --annotator-roster data/current_model_human_audit/human_audit_annotator_roster_v0.2_current_gpt5.csv --expected-models gpt-5.4-mini,gpt-5.5 --out-dir results/tables/current_model_human_audit_v0.2_adjudication --out-md paper/human_audit_adjudication_v02_current_gpt5.md",missing completed inputs: data/current_model_human_audit/human_audit_packet_v0.2_current_gpt5_completed.csv; data/current_model_human_audit/human_audit_annotator_roster_v0.2_current_gpt5.csv,needs_labels,no_claim
1,current_model_human_audit_v02,Current-model human/native audit,5,finalize_adjudicated_labels,"conda run -n reprompt_tax python scripts/finalize_human_audit_adjudication.py --annotations data/current_model_human_audit/human_audit_packet_v0.2_current_gpt5_double_completed.csv --answer-key data/current_model_human_audit/human_audit_answer_key_v0.2_current_gpt5.csv --annotator-roster data/current_model_human_audit/human_audit_annotator_roster_v0.2_current_gpt5.csv --expected-models gpt-5.4-mini,gpt-5.5 --adjudication results/tables/current_model_human_audit_v0.2_adjudication/human_audit_adjudication_packet.csv --out data/current_model_human_audit/human_audit_packet_v0.2_current_gpt5_adjudicated_completed.csv --source-out results/tables/current_model_human_audit_v0.2_adjudication/human_audit_final_label_sources.csv",missing completed inputs: data/current_model_human_audit/human_audit_packet_v0.2_current_gpt5_completed.csv; data/current_model_human_audit/human_audit_annotator_roster_v0.2_current_gpt5.csv,needs_labels,no_claim
2,human_audit_v02,Original v0.2 human/native audit,1,merge_single_label_exports,conda run -n reprompt_tax python scripts/merge_review_exports.py --mode human_audit --launch-packet data/human_audit/human_audit_packet_v0.2.csv --out data/human_audit/human_audit_packet_v0.2_completed.csv --inputs data/human_audit/human_audit_packet_v0.2_ar-en_completed.csv data/human_audit/human_audit_packet_v0.2_es-en_completed.csv data/human_audit/human_audit_packet_v0.2_hi-en_completed.csv,missing completed inputs: data/human_audit/human_audit_packet_v0.2_completed.csv; data/human_audit/human_audit_annotator_roster_v0.2.csv,needs_labels,no_claim
2,human_audit_v02,Original v0.2 human/native audit,2,validate_finalized_labels,conda run -n reprompt_tax python scripts/validate_completed_human_audit.py --annotations data/human_audit/human_audit_packet_v0.2_completed.csv --answer-key data/human_audit/human_audit_answer_key_v0.2.csv --annotator-roster data/human_audit/human_audit_annotator_roster_v0.2.csv,missing completed inputs: data/human_audit/human_audit_packet_v0.2_completed.csv; data/human_audit/human_audit_annotator_roster_v0.2.csv,needs_labels,no_claim
2,human_audit_v02,Original v0.2 human/native audit,3,summarize_finalized_labels,conda run -n reprompt_tax python scripts/summarize_human_audit.py --annotations data/human_audit/human_audit_packet_v0.2_completed.csv --answer-key data/human_audit/human_audit_answer_key_v0.2.csv --out-dir results/tables/human_audit_v0.2,missing completed inputs: data/human_audit/human_audit_packet_v0.2_completed.csv; data/human_audit/human_audit_annotator_roster_v0.2.csv,needs_labels,no_claim
2,human_audit_v02,Original v0.2 human/native audit,4,analyze_double_labels,conda run -n reprompt_tax python scripts/analyze_human_audit_adjudication.py --annotations data/human_audit/human_audit_packet_v0.2_double_completed.csv --answer-key data/human_audit/human_audit_answer_key_v0.2.csv --annotator-roster data/human_audit/human_audit_annotator_roster_v0.2.csv --out-dir results/tables/human_audit_v0.2_adjudication --out-md paper/human_audit_adjudication_v02.md,missing completed inputs: data/human_audit/human_audit_packet_v0.2_completed.csv; data/human_audit/human_audit_annotator_roster_v0.2.csv,needs_labels,no_claim
2,human_audit_v02,Original v0.2 human/native audit,5,finalize_adjudicated_labels,conda run -n reprompt_tax python scripts/finalize_human_audit_adjudication.py --annotations data/human_audit/human_audit_packet_v0.2_double_completed.csv --answer-key data/human_audit/human_audit_answer_key_v0.2.csv --annotator-roster data/human_audit/human_audit_annotator_roster_v0.2.csv --adjudication results/tables/human_audit_v0.2_adjudication/human_audit_adjudication_packet.csv --out data/human_audit/human_audit_packet_v0.2_adjudicated_completed.csv --source-out results/tables/human_audit_v0.2_adjudication/human_audit_final_label_sources.csv,missing completed inputs: data/human_audit/human_audit_packet_v0.2_completed.csv; data/human_audit/human_audit_annotator_roster_v0.2.csv,needs_labels,no_claim
3,coverage_native_review_v03,v0.3 coverage native review,1,merge_single_label_exports,conda run -n reprompt_tax python scripts/merge_review_exports.py --mode coverage_native_review --launch-packet data/coverage_native_review_v03/coverage_native_review_packet_v03.csv --out data/coverage_native_review_v03/coverage_native_review_packet_v03_completed.csv --inputs data/coverage_native_review_v03/coverage_native_review_v03_arabic_instruction_arabic_filenames_completed.csv data/coverage_native_review_v03/coverage_native_review_v03_english_instruction_arabic_content_completed.csv data/coverage_native_review_v03/coverage_native_review_v03_english_instruction_hindi_content_completed.csv data/coverage_native_review_v03/coverage_native_review_v03_english_instruction_spanish_content_completed.csv data/coverage_native_review_v03/coverage_native_review_v03_hindi_english_instruction_hindi_devanagari_completed.csv data/coverage_native_review_v03/coverage_native_review_v03_spanish_instruction_arabic_quote_completed.csv,missing completed inputs: data/coverage_native_review_v03/coverage_native_review_packet_v03_completed.csv; data/coverage_native_review_v03/coverage_native_review_roster_v03.csv,needs_labels,no_claim
3,coverage_native_review_v03,v0.3 coverage native review,2,validate_finalized_labels,conda run -n reprompt_tax python scripts/validate_completed_coverage_native_review_v03.py --annotations data/coverage_native_review_v03/coverage_native_review_packet_v03_completed.csv --launch-packet data/coverage_native_review_v03/coverage_native_review_packet_v03.csv --reviewer-roster data/coverage_native_review_v03/coverage_native_review_roster_v03.csv,missing completed inputs: data/coverage_native_review_v03/coverage_native_review_packet_v03_completed.csv; data/coverage_native_review_v03/coverage_native_review_roster_v03.csv,needs_labels,no_claim
3,coverage_native_review_v03,v0.3 coverage native review,3,summarize_finalized_labels,conda run -n reprompt_tax python scripts/summarize_coverage_native_review_v03.py --annotations data/coverage_native_review_v03/coverage_native_review_packet_v03_completed.csv --launch-packet data/coverage_native_review_v03/coverage_native_review_packet_v03.csv --reviewer-roster data/coverage_native_review_v03/coverage_native_review_roster_v03.csv --out-dir results/tables/coverage_native_review_v03 --out-md paper/coverage_native_review_v03.md,missing completed inputs: data/coverage_native_review_v03/coverage_native_review_packet_v03_completed.csv; data/coverage_native_review_v03/coverage_native_review_roster_v03.csv,needs_labels,no_claim
3,coverage_native_review_v03,v0.3 coverage native review,4,analyze_double_labels,conda run -n reprompt_tax python scripts/analyze_coverage_native_review_adjudication.py --annotations data/coverage_native_review_v03/coverage_native_review_packet_v03_double_completed.csv --launch-packet data/coverage_native_review_v03/coverage_native_review_packet_v03.csv --reviewer-roster data/coverage_native_review_v03/coverage_native_review_roster_v03.csv --out-dir results/tables/coverage_native_review_v03_adjudication --out-md paper/coverage_native_review_adjudication_v03.md,missing completed inputs: data/coverage_native_review_v03/coverage_native_review_packet_v03_completed.csv; data/coverage_native_review_v03/coverage_native_review_roster_v03.csv,needs_labels,no_claim
3,coverage_native_review_v03,v0.3 coverage native review,5,finalize_adjudicated_labels,conda run -n reprompt_tax python scripts/finalize_coverage_native_review_adjudication.py --annotations data/coverage_native_review_v03/coverage_native_review_packet_v03_double_completed.csv --launch-packet data/coverage_native_review_v03/coverage_native_review_packet_v03.csv --reviewer-roster data/coverage_native_review_v03/coverage_native_review_roster_v03.csv --adjudication results/tables/coverage_native_review_v03_adjudication/coverage_native_review_adjudication_packet.csv --out data/coverage_native_review_v03/coverage_native_review_packet_v03_adjudicated_completed.csv --source-out results/tables/coverage_native_review_v03_adjudication/coverage_native_review_final_label_sources.csv,missing completed inputs: data/coverage_native_review_v03/coverage_native_review_packet_v03_completed.csv; data/coverage_native_review_v03/coverage_native_review_roster_v03.csv,needs_labels,no_claim
