item_id,model,condition,language_pair,task_family,ftga,rtt,resolved,unresolved,initially_failed,repair_success_1,repair_success_2,token_tax,first_failure_types
es_en_SA_006,gpt-4.1-mini,baseline,es-en,editing_preservation,0,1,1,0,1,1,1,2.4453125,"['wrong_output_language', 'task_noncompletion']"
es_en_SA_006,gpt-4.1-mini,contract,es-en,editing_preservation,0,1,1,0,1,1,1,2.1869565217391305,"['wrong_output_language', 'task_noncompletion']"
es_en_SA_006,gpt-4.1,baseline,es-en,editing_preservation,0,1,1,0,1,1,1,2.7771084337349397,['wrong_output_language']
es_en_SA_006,gpt-4.1,contract,es-en,editing_preservation,1,0,1,0,0,0,0,1.0,[]
es_en_SA_007,gpt-4.1-mini,baseline,es-en,editing_preservation,0,1,1,0,1,1,1,2.7916666666666665,"['wrong_output_language', 'task_noncompletion']"
es_en_SA_007,gpt-4.1-mini,contract,es-en,editing_preservation,0,1,1,0,1,1,1,2.1842105263157894,"['wrong_output_language', 'task_noncompletion']"
es_en_SA_007,gpt-4.1,baseline,es-en,editing_preservation,0,1,1,0,1,1,1,2.700636942675159,['wrong_output_language']
es_en_SA_007,gpt-4.1,contract,es-en,editing_preservation,1,0,1,0,0,0,0,1.0,[]
es_en_SB_006,gpt-4.1-mini,baseline,es-en,output_language_inference,1,0,1,0,0,0,0,1.0,[]
es_en_SB_006,gpt-4.1-mini,contract,es-en,output_language_inference,1,0,1,0,0,0,0,1.0,[]
es_en_SB_006,gpt-4.1,baseline,es-en,output_language_inference,1,0,1,0,0,0,0,1.0,[]
es_en_SB_006,gpt-4.1,contract,es-en,output_language_inference,1,0,1,0,0,0,0,1.0,[]
es_en_SB_007,gpt-4.1-mini,baseline,es-en,output_language_inference,1,0,1,0,0,0,0,1.0,[]
es_en_SB_007,gpt-4.1-mini,contract,es-en,output_language_inference,1,0,1,0,0,0,0,1.0,[]
es_en_SB_007,gpt-4.1,baseline,es-en,output_language_inference,1,0,1,0,0,0,0,1.0,[]
es_en_SB_007,gpt-4.1,contract,es-en,output_language_inference,1,0,1,0,0,0,0,1.0,[]
es_en_SC_006,gpt-4.1-mini,baseline,es-en,quote_preservation,1,0,1,0,0,0,0,1.0,[]
es_en_SC_006,gpt-4.1-mini,contract,es-en,quote_preservation,1,0,1,0,0,0,0,1.0,[]
es_en_SC_006,gpt-4.1,baseline,es-en,quote_preservation,1,0,1,0,0,0,0,1.0,[]
es_en_SC_006,gpt-4.1,contract,es-en,quote_preservation,1,0,1,0,0,0,0,1.0,[]
es_en_SC_007,gpt-4.1-mini,baseline,es-en,quote_preservation,1,0,1,0,0,0,0,1.0,[]
es_en_SC_007,gpt-4.1-mini,contract,es-en,quote_preservation,1,0,1,0,0,0,0,1.0,[]
es_en_SC_007,gpt-4.1,baseline,es-en,quote_preservation,1,0,1,0,0,0,0,1.0,[]
es_en_SC_007,gpt-4.1,contract,es-en,quote_preservation,1,0,1,0,0,0,0,1.0,[]
es_en_SD_006,gpt-4.1-mini,baseline,es-en,script_register_locale,1,0,1,0,0,0,0,1.0,[]
es_en_SD_006,gpt-4.1-mini,contract,es-en,script_register_locale,1,0,1,0,0,0,0,1.0,[]
es_en_SD_006,gpt-4.1,baseline,es-en,script_register_locale,1,0,1,0,0,0,0,1.0,[]
es_en_SD_006,gpt-4.1,contract,es-en,script_register_locale,1,0,1,0,0,0,0,1.0,[]
es_en_SD_007,gpt-4.1-mini,baseline,es-en,script_register_locale,0,1,1,0,1,1,1,2.486842105263158,['preservation_failure']
es_en_SD_007,gpt-4.1-mini,contract,es-en,script_register_locale,0,1,1,0,1,1,1,2.163090128755365,['preservation_failure']
es_en_SD_007,gpt-4.1,baseline,es-en,script_register_locale,0,1,1,0,1,1,1,2.486842105263158,['preservation_failure']
es_en_SD_007,gpt-4.1,contract,es-en,script_register_locale,1,0,1,0,0,0,0,1.0,[]
hi_en_SA_006,gpt-4.1-mini,baseline,hi-en,editing_preservation,1,0,1,0,0,0,0,1.0,[]
hi_en_SA_006,gpt-4.1-mini,contract,hi-en,editing_preservation,1,0,1,0,0,0,0,1.0,[]
hi_en_SA_006,gpt-4.1,baseline,hi-en,editing_preservation,1,0,1,0,0,0,0,1.0,[]
hi_en_SA_006,gpt-4.1,contract,hi-en,editing_preservation,1,0,1,0,0,0,0,1.0,[]
hi_en_SA_007,gpt-4.1-mini,baseline,hi-en,editing_preservation,1,0,1,0,0,0,0,1.0,[]
hi_en_SA_007,gpt-4.1-mini,contract,hi-en,editing_preservation,1,0,1,0,0,0,0,1.0,[]
hi_en_SA_007,gpt-4.1,baseline,hi-en,editing_preservation,1,0,1,0,0,0,0,1.0,[]
hi_en_SA_007,gpt-4.1,contract,hi-en,editing_preservation,1,0,1,0,0,0,0,1.0,[]
hi_en_SB_006,gpt-4.1-mini,baseline,hi-en,output_language_inference,1,0,1,0,0,0,0,1.0,[]
