model,condition,task_family,failure_type,count,share_of_initial_failures
gpt-4.1,baseline,editing_preservation,script_mismatch,2,0.5
gpt-4.1,baseline,editing_preservation,task_noncompletion,2,0.5
gpt-4.1,baseline,editing_preservation,wrong_output_language,4,1.0
gpt-4.1,baseline,script_register_locale,preservation_failure,3,1.0
gpt-4.1,baseline,script_register_locale,task_noncompletion,1,0.3333333333333333
gpt-4.1,contract,script_register_locale,preservation_failure,2,1.0
gpt-4.1,contract,script_register_locale,task_noncompletion,1,0.5
gpt-4.1-mini,baseline,editing_preservation,script_mismatch,2,0.5
gpt-4.1-mini,baseline,editing_preservation,task_noncompletion,4,1.0
gpt-4.1-mini,baseline,editing_preservation,wrong_output_language,4,1.0
gpt-4.1-mini,baseline,script_register_locale,preservation_failure,3,1.0
gpt-4.1-mini,baseline,script_register_locale,task_noncompletion,1,0.3333333333333333
gpt-4.1-mini,contract,editing_preservation,script_mismatch,1,0.3333333333333333
gpt-4.1-mini,contract,editing_preservation,task_noncompletion,3,1.0
gpt-4.1-mini,contract,editing_preservation,wrong_output_language,3,1.0
gpt-4.1-mini,contract,script_register_locale,preservation_failure,3,1.0
gpt-4.1-mini,contract,script_register_locale,task_noncompletion,1,0.3333333333333333
