item_id,language_pair,task_family,gpt41_baseline_fail_count,gpt41_contract_fail_count,gpt5x_baseline_fail_count,gpt5x_contract_fail_count,gpt55_baseline_pass,gpt55_contract_pass,old_all_baseline_fail_gpt55_baseline_pass,old_any_baseline_fail_gpt55_baseline_pass,old_any_baseline_fail_gpt55_contract_pass,old_all_contract_fail_gpt55_contract_pass,both_current_models_contract_fail
ar_en_SA_001,ar-en,editing_preservation,3,0,2,0,0,1,0,0,1,0,0
ar_en_SA_002,ar-en,editing_preservation,3,0,2,0,0,1,0,0,1,0,0
ar_en_SA_003,ar-en,editing_preservation,3,0,2,1,0,1,0,0,1,0,0
ar_en_SA_004,ar-en,editing_preservation,3,2,2,0,0,1,0,0,1,0,0
ar_en_SA_005,ar-en,editing_preservation,3,1,2,0,0,1,0,0,1,0,0
ar_en_SA_006,ar-en,editing_preservation,3,1,2,0,0,1,0,0,1,0,0
ar_en_SA_007,ar-en,editing_preservation,3,0,2,0,0,1,0,0,1,0,0
ar_en_SA_008,ar-en,editing_preservation,3,1,2,0,0,1,0,0,1,0,0
ar_en_SA_009,ar-en,editing_preservation,3,1,2,0,0,1,0,0,1,0,0
ar_en_SA_010,ar-en,editing_preservation,3,1,2,0,0,1,0,0,1,0,0
ar_en_SB_001,ar-en,output_language_inference,0,0,0,0,1,1,0,0,0,0,0
ar_en_SB_002,ar-en,output_language_inference,0,0,0,0,1,1,0,0,0,0,0
ar_en_SB_003,ar-en,output_language_inference,0,0,0,0,1,1,0,0,0,0,0
ar_en_SB_004,ar-en,output_language_inference,0,0,0,0,1,1,0,0,0,0,0
ar_en_SB_005,ar-en,output_language_inference,0,0,0,0,1,1,0,0,0,0,0
ar_en_SB_006,ar-en,output_language_inference,0,0,0,0,1,1,0,0,0,0,0
ar_en_SB_007,ar-en,output_language_inference,0,0,0,0,1,1,0,0,0,0,0
ar_en_SB_008,ar-en,output_language_inference,0,0,0,0,1,1,0,0,0,0,0
ar_en_SB_009,ar-en,output_language_inference,0,0,0,0,1,1,0,0,0,0,0
ar_en_SB_010,ar-en,output_language_inference,0,0,0,0,1,1,0,0,0,0,0
ar_en_SC_001,ar-en,quote_preservation,1,1,0,0,1,1,0,1,1,0,0
ar_en_SC_002,ar-en,quote_preservation,1,1,0,0,1,1,0,1,1,0,0
ar_en_SC_003,ar-en,quote_preservation,1,1,0,0,1,1,0,1,1,0,0
ar_en_SC_004,ar-en,quote_preservation,1,1,0,0,1,1,0,1,1,0,0
ar_en_SC_005,ar-en,quote_preservation,1,1,0,0,1,1,0,1,1,0,0
ar_en_SC_006,ar-en,quote_preservation,0,0,0,0,1,1,0,0,0,0,0
ar_en_SC_007,ar-en,quote_preservation,1,0,0,0,1,1,0,1,1,0,0
ar_en_SC_008,ar-en,quote_preservation,1,1,0,0,1,1,0,1,1,0,0
ar_en_SC_009,ar-en,quote_preservation,1,1,0,0,1,1,0,1,1,0,0
ar_en_SC_010,ar-en,quote_preservation,1,1,0,0,1,1,0,1,1,0,0
ar_en_SD_001,ar-en,script_register_locale,2,2,0,0,1,1,0,1,1,0,0
ar_en_SD_002,ar-en,script_register_locale,0,0,0,0,1,1,0,0,0,0,0
ar_en_SD_003,ar-en,script_register_locale,0,0,0,0,1,1,0,0,0,0,0
ar_en_SD_004,ar-en,script_register_locale,1,1,0,0,1,1,0,1,1,0,0
ar_en_SD_005,ar-en,script_register_locale,0,0,0,0,1,1,0,0,0,0,0
ar_en_SD_006,ar-en,script_register_locale,3,3,0,1,1,1,1,1,1,1,0
ar_en_SD_007,ar-en,script_register_locale,3,3,0,1,1,1,1,1,1,1,0
ar_en_SD_008,ar-en,script_register_locale,3,3,1,1,1,1,1,1,1,1,0
ar_en_SD_009,ar-en,script_register_locale,0,0,0,0,1,1,0,0,0,0,0
ar_en_SD_010,ar-en,script_register_locale,3,3,0,0,1,1,1,1,1,1,0
es_en_SA_001,es-en,editing_preservation,3,1,2,1,0,1,0,0,1,0,0
es_en_SA_002,es-en,editing_preservation,3,2,2,1,0,1,0,0,1,0,0
es_en_SA_003,es-en,editing_preservation,3,2,2,1,0,1,0,0,1,0,0
es_en_SA_004,es-en,editing_preservation,3,2,2,2,0,0,0,0,0,0,1
es_en_SA_005,es-en,editing_preservation,3,2,2,0,0,1,0,0,1,0,0
es_en_SA_006,es-en,editing_preservation,3,2,2,1,0,1,0,0,1,0,0
es_en_SA_007,es-en,editing_preservation,3,2,2,1,0,1,0,0,1,0,0
es_en_SA_008,es-en,editing_preservation,3,2,2,1,0,1,0,0,1,0,0
es_en_SA_009,es-en,editing_preservation,3,2,2,2,0,0,0,0,0,0,1
es_en_SA_010,es-en,editing_preservation,3,3,2,1,0,1,0,0,1,1,0
es_en_SB_001,es-en,output_language_inference,0,0,0,0,1,1,0,0,0,0,0
es_en_SB_002,es-en,output_language_inference,0,0,0,0,1,1,0,0,0,0,0
es_en_SB_003,es-en,output_language_inference,0,0,0,0,1,1,0,0,0,0,0
es_en_SB_004,es-en,output_language_inference,0,0,0,0,1,1,0,0,0,0,0
es_en_SB_005,es-en,output_language_inference,0,0,0,0,1,1,0,0,0,0,0
es_en_SB_006,es-en,output_language_inference,0,0,0,0,1,1,0,0,0,0,0
es_en_SB_007,es-en,output_language_inference,0,0,0,0,1,1,0,0,0,0,0
es_en_SB_008,es-en,output_language_inference,0,0,0,0,1,1,0,0,0,0,0
es_en_SB_009,es-en,output_language_inference,0,0,0,0,1,1,0,0,0,0,0
es_en_SB_010,es-en,output_language_inference,0,0,0,0,1,1,0,0,0,0,0
es_en_SC_001,es-en,quote_preservation,0,0,0,0,1,1,0,0,0,0,0
es_en_SC_002,es-en,quote_preservation,0,0,0,0,1,1,0,0,0,0,0
es_en_SC_003,es-en,quote_preservation,0,0,0,0,1,1,0,0,0,0,0
es_en_SC_004,es-en,quote_preservation,0,0,0,0,1,1,0,0,0,0,0
es_en_SC_005,es-en,quote_preservation,0,0,0,0,1,1,0,0,0,0,0
es_en_SC_006,es-en,quote_preservation,0,0,0,0,1,1,0,0,0,0,0
es_en_SC_007,es-en,quote_preservation,0,0,0,0,1,1,0,0,0,0,0
es_en_SC_008,es-en,quote_preservation,0,0,0,0,1,1,0,0,0,0,0
es_en_SC_009,es-en,quote_preservation,0,0,0,0,1,1,0,0,0,0,0
es_en_SC_010,es-en,quote_preservation,0,0,0,0,1,1,0,0,0,0,0
es_en_SD_001,es-en,script_register_locale,0,0,0,0,1,1,0,0,0,0,0
es_en_SD_002,es-en,script_register_locale,0,0,0,0,1,1,0,0,0,0,0
es_en_SD_003,es-en,script_register_locale,0,0,0,0,1,1,0,0,0,0,0
es_en_SD_004,es-en,script_register_locale,0,0,0,0,1,1,0,0,0,0,0
es_en_SD_005,es-en,script_register_locale,0,0,0,0,1,1,0,0,0,0,0
es_en_SD_006,es-en,script_register_locale,0,0,0,0,1,1,0,0,0,0,0
es_en_SD_007,es-en,script_register_locale,2,1,0,0,1,1,0,1,1,0,0
es_en_SD_008,es-en,script_register_locale,3,3,1,1,1,1,1,1,1,1,0
es_en_SD_009,es-en,script_register_locale,0,0,0,0,1,1,0,0,0,0,0
es_en_SD_010,es-en,script_register_locale,3,3,0,1,1,1,1,1,1,1,0
hi_en_SA_001,hi-en,editing_preservation,0,0,0,0,1,1,0,0,0,0,0
hi_en_SA_002,hi-en,editing_preservation,0,0,0,0,1,1,0,0,0,0,0
hi_en_SA_003,hi-en,editing_preservation,0,0,0,0,1,1,0,0,0,0,0
hi_en_SA_004,hi-en,editing_preservation,0,0,0,0,1,1,0,0,0,0,0
hi_en_SA_005,hi-en,editing_preservation,0,0,0,0,1,1,0,0,0,0,0
hi_en_SA_006,hi-en,editing_preservation,0,0,0,0,1,1,0,0,0,0,0
hi_en_SA_007,hi-en,editing_preservation,0,0,0,0,1,1,0,0,0,0,0
hi_en_SA_008,hi-en,editing_preservation,0,0,0,0,1,1,0,0,0,0,0
hi_en_SA_009,hi-en,editing_preservation,0,0,0,0,1,1,0,0,0,0,0
hi_en_SA_010,hi-en,editing_preservation,0,0,0,0,1,1,0,0,0,0,0
hi_en_SB_001,hi-en,output_language_inference,0,0,1,0,0,1,0,0,0,0,0
hi_en_SB_002,hi-en,output_language_inference,0,0,0,0,1,1,0,0,0,0,0
hi_en_SB_003,hi-en,output_language_inference,0,0,0,0,1,1,0,0,0,0,0
hi_en_SB_004,hi-en,output_language_inference,0,0,0,0,1,1,0,0,0,0,0
hi_en_SB_005,hi-en,output_language_inference,0,0,0,0,1,1,0,0,0,0,0
hi_en_SB_006,hi-en,output_language_inference,0,0,0,0,1,1,0,0,0,0,0
hi_en_SB_007,hi-en,output_language_inference,0,0,0,0,1,1,0,0,0,0,0
hi_en_SB_008,hi-en,output_language_inference,0,0,0,0,1,1,0,0,0,0,0
hi_en_SB_009,hi-en,output_language_inference,0,0,0,0,1,1,0,0,0,0,0
hi_en_SB_010,hi-en,output_language_inference,0,0,0,0,1,1,0,0,0,0,0
hi_en_SC_001,hi-en,quote_preservation,0,0,0,0,1,1,0,0,0,0,0
hi_en_SC_002,hi-en,quote_preservation,0,0,0,0,1,1,0,0,0,0,0
hi_en_SC_003,hi-en,quote_preservation,0,0,0,1,1,1,0,0,0,0,0
hi_en_SC_004,hi-en,quote_preservation,0,0,0,0,1,1,0,0,0,0,0
hi_en_SC_005,hi-en,quote_preservation,0,0,0,0,1,1,0,0,0,0,0
hi_en_SC_006,hi-en,quote_preservation,0,0,0,0,1,1,0,0,0,0,0
hi_en_SC_007,hi-en,quote_preservation,0,0,0,0,1,1,0,0,0,0,0
hi_en_SC_008,hi-en,quote_preservation,0,0,0,1,1,1,0,0,0,0,0
hi_en_SC_009,hi-en,quote_preservation,0,0,0,0,1,1,0,0,0,0,0
hi_en_SC_010,hi-en,quote_preservation,0,0,0,0,1,1,0,0,0,0,0
hi_en_SD_001,hi-en,script_register_locale,0,0,0,0,1,1,0,0,0,0,0
hi_en_SD_002,hi-en,script_register_locale,0,0,0,0,1,1,0,0,0,0,0
hi_en_SD_003,hi-en,script_register_locale,0,0,0,0,1,1,0,0,0,0,0
hi_en_SD_004,hi-en,script_register_locale,0,0,0,0,1,1,0,0,0,0,0
hi_en_SD_005,hi-en,script_register_locale,1,0,1,0,0,1,0,0,1,0,0
hi_en_SD_006,hi-en,script_register_locale,0,0,0,0,1,1,0,0,0,0,0
hi_en_SD_007,hi-en,script_register_locale,0,0,0,0,1,1,0,0,0,0,0
hi_en_SD_008,hi-en,script_register_locale,3,3,1,1,1,1,1,1,1,1,0
hi_en_SD_009,hi-en,script_register_locale,0,1,1,0,1,1,0,0,0,0,0
hi_en_SD_010,hi-en,script_register_locale,0,0,0,0,1,1,0,0,0,0,0
