item_id,language_pair,task_family,expected_response_language,expected_script,control_type,auto_pass,auto_failed,language_pass,script_pass,preservation_pass,task_pass,register_locale_pass,all_components_pass,failure_types,response_chars,response_preview
ar_en_SA_001,ar-en,editing_preservation,English,Latin,deterministic_positive_control,1,0,1,1,1,1,1,1,,42,Polished version: team; notes; conclusion.
ar_en_SA_002,ar-en,editing_preservation,English,Latin,deterministic_positive_control,1,0,1,1,1,1,1,1,,46,Polished version: appointment; train; delayed.
ar_en_SA_003,ar-en,editing_preservation,English,Latin,deterministic_positive_control,1,0,1,1,1,1,1,1,,52,Polished version: invoice; missing details; tonight.
ar_en_SA_004,ar-en,editing_preservation,English,Latin,deterministic_positive_control,1,0,1,1,1,1,1,1,,37,Polished version: call; today; email.
ar_en_SA_005,ar-en,editing_preservation,English,Latin,deterministic_positive_control,1,0,1,1,1,1,1,1,,44,Polished version: paragraph; sentence; rude.
ar_en_SA_006,ar-en,editing_preservation,English,Latin,deterministic_positive_control,1,0,1,1,1,1,1,1,,41,Polished version: report; chart; readers.
ar_en_SA_007,ar-en,editing_preservation,English,Latin,deterministic_positive_control,1,0,1,1,1,1,1,1,,45,Polished version: client; payment; next week.
ar_en_SA_008,ar-en,editing_preservation,English,Latin,deterministic_positive_control,1,0,1,1,1,1,1,1,,48,Polished version: survey; direct; uncomfortable.
ar_en_SA_009,ar-en,editing_preservation,English,Latin,deterministic_positive_control,1,0,1,1,1,1,1,1,,52,Polished version: manager; one more day; slide deck.
ar_en_SA_010,ar-en,editing_preservation,English,Latin,deterministic_positive_control,1,0,1,1,1,1,1,1,,44,Polished version: tenant; heating; tomorrow.
ar_en_SB_001,ar-en,output_language_inference,English,Latin,deterministic_positive_control,1,0,1,1,1,1,1,1,,22,data are insufficient.
ar_en_SB_002,ar-en,output_language_inference,English,Latin,deterministic_positive_control,1,0,1,1,1,1,1,1,,35,each of the students has submitted.
ar_en_SB_003,ar-en,output_language_inference,English,Latin,deterministic_positive_control,1,0,1,1,1,1,1,1,,47,I would appreciate it if you could reply today.
ar_en_SB_004,ar-en,output_language_inference,English,Latin,deterministic_positive_control,1,0,1,1,1,1,1,1,,30,clearer than the last version.
ar_en_SB_005,ar-en,output_language_inference,English,Latin,deterministic_positive_control,1,0,1,1,1,1,1,1,,24,any information missing.
ar_en_SB_006,ar-en,output_language_inference,English,Latin,deterministic_positive_control,1,0,1,1,1,1,1,1,,34,neither of the answers is correct.
ar_en_SB_007,ar-en,output_language_inference,English,Latin,deterministic_positive_control,1,0,1,1,1,1,1,1,,33,the team has finished its review.
ar_en_SB_008,ar-en,output_language_inference,English,Latin,deterministic_positive_control,1,0,1,1,1,1,1,1,,35,discuss the schedule before Monday.
ar_en_SB_009,ar-en,output_language_inference,English,Latin,deterministic_positive_control,1,0,1,1,1,1,1,1,,21,used to working late.
ar_en_SB_010,ar-en,output_language_inference,English,Latin,deterministic_positive_control,1,0,1,1,1,1,1,1,,23,better for small teams.
ar_en_SC_001,ar-en,quote_preservation,Arabic,Arabic,deterministic_positive_control,1,0,1,1,1,1,1,1,,46,ملخص قصير واضح: Return Policy; Refund Request.
ar_en_SC_002,ar-en,quote_preservation,Arabic,Arabic,deterministic_positive_control,1,0,1,1,1,1,1,1,,51,ملخص قصير واضح: Budget Review; Community Questions.
ar_en_SC_003,ar-en,quote_preservation,Arabic,Arabic,deterministic_positive_control,1,0,1,1,1,1,1,1,,53,ملخص قصير واضح: Safety Guidelines; Emergency Contact.
ar_en_SC_004,ar-en,quote_preservation,Arabic,Arabic,deterministic_positive_control,1,0,1,1,1,1,1,1,,44,ملخص قصير واضح: Privacy Notice; Data Export.
ar_en_SC_005,ar-en,quote_preservation,Arabic,Arabic,deterministic_positive_control,1,0,1,1,1,1,1,1,,48,ملخص قصير واضح: Course Requirements; Final Exam.
ar_en_SC_006,ar-en,quote_preservation,Arabic,Arabic,deterministic_positive_control,1,0,1,1,1,1,1,1,,42,ملخص قصير واضح: Office Hours; Makeup Exam.
ar_en_SC_007,ar-en,quote_preservation,Arabic,Arabic,deterministic_positive_control,1,0,1,1,1,1,1,1,,43,ملخص قصير واضح: Payment Deadline; Late Fee.
ar_en_SC_008,ar-en,quote_preservation,Arabic,Arabic,deterministic_positive_control,1,0,1,1,1,1,1,1,,50,ملخص قصير واضح: Visitor Guidelines; Check-In Desk.
ar_en_SC_009,ar-en,quote_preservation,Arabic,Arabic,deterministic_positive_control,1,0,1,1,1,1,1,1,,49,ملخص قصير واضح: Account Settings; Password Reset.
ar_en_SC_010,ar-en,quote_preservation,Arabic,Arabic,deterministic_positive_control,1,0,1,1,1,1,1,1,,49,ملخص قصير واضح: Health Benefits; Enrollment Form.
