priority_rank,surface_id,slice_id,title,expected_rows,expected_export_name,bundle_path,bundle_ready,collection_phase
1,current_model_human_audit_v02,ar-en,Arabic-English,16,human_audit_packet_v0.2_current_gpt5_ar-en_completed.csv,results/label_collection_bundles_v02/current_model_human_audit_v02/ar-en.zip,True,collect_first
1,current_model_human_audit_v02,es-en,Spanish-English,16,human_audit_packet_v0.2_current_gpt5_es-en_completed.csv,results/label_collection_bundles_v02/current_model_human_audit_v02/es-en.zip,True,collect_first
1,current_model_human_audit_v02,hi-en,Hindi-English,16,human_audit_packet_v0.2_current_gpt5_hi-en_completed.csv,results/label_collection_bundles_v02/current_model_human_audit_v02/hi-en.zip,True,collect_first
2,human_audit_v02,ar-en,Arabic-English,24,human_audit_packet_v0.2_ar-en_completed.csv,results/label_collection_bundles_v02/human_audit_v02/ar-en.zip,True,collect_second
2,human_audit_v02,es-en,Spanish-English,24,human_audit_packet_v0.2_es-en_completed.csv,results/label_collection_bundles_v02/human_audit_v02/es-en.zip,True,collect_second
2,human_audit_v02,hi-en,Hindi-English,24,human_audit_packet_v0.2_hi-en_completed.csv,results/label_collection_bundles_v02/human_audit_v02/hi-en.zip,True,collect_second
3,coverage_native_review_v03,arabic_instruction_arabic_filenames,"Arabic Instruction, Arabic Content With English File Names",10,coverage_native_review_v03_arabic_instruction_arabic_filenames_completed.csv,results/label_collection_bundles_v02/coverage_native_review_v03/arabic_instruction_arabic_filenames.zip,True,collect_after_human_audits_or_with_extra_reviewers
3,coverage_native_review_v03,english_instruction_arabic_content,"English Instruction, Arabic Content",10,coverage_native_review_v03_english_instruction_arabic_content_completed.csv,results/label_collection_bundles_v02/coverage_native_review_v03/english_instruction_arabic_content.zip,True,collect_after_human_audits_or_with_extra_reviewers
3,coverage_native_review_v03,english_instruction_hindi_content,"English Instruction, Hindi Content",10,coverage_native_review_v03_english_instruction_hindi_content_completed.csv,results/label_collection_bundles_v02/coverage_native_review_v03/english_instruction_hindi_content.zip,True,collect_after_human_audits_or_with_extra_reviewers
3,coverage_native_review_v03,english_instruction_spanish_content,"English Instruction, Spanish Content",10,coverage_native_review_v03_english_instruction_spanish_content_completed.csv,results/label_collection_bundles_v02/coverage_native_review_v03/english_instruction_spanish_content.zip,True,collect_after_human_audits_or_with_extra_reviewers
3,coverage_native_review_v03,hindi_english_instruction_hindi_devanagari,"Hindi-English Instruction, Hindi Devanagari Content",10,coverage_native_review_v03_hindi_english_instruction_hindi_devanagari_completed.csv,results/label_collection_bundles_v02/coverage_native_review_v03/hindi_english_instruction_hindi_devanagari.zip,True,collect_after_human_audits_or_with_extra_reviewers
3,coverage_native_review_v03,spanish_instruction_arabic_quote,"Spanish Instruction, Arabic Quote",10,coverage_native_review_v03_spanish_instruction_arabic_quote_completed.csv,results/label_collection_bundles_v02/coverage_native_review_v03/spanish_instruction_arabic_quote.zip,True,collect_after_human_audits_or_with_extra_reviewers
