model,condition,item_id,language_pair,task_family,rtt,unresolved,first_failure_types,first_short_reason,final_turn,final_pass,final_failure_types,final_short_reason
gpt-5.4-mini,baseline,es_en_SA_001,es-en,editing_preservation,1,0,"wrong_output_language,task_noncompletion","wrong_output_language, task_noncompletion",1,True,,passes automatic checks
gpt-5.4-mini,contract,es_en_SA_001,es-en,editing_preservation,1,0,"wrong_output_language,task_noncompletion","wrong_output_language, task_noncompletion",1,True,,passes automatic checks
gpt-5.4-mini,baseline,es_en_SA_002,es-en,editing_preservation,1,0,"wrong_output_language,task_noncompletion","wrong_output_language, task_noncompletion",1,True,,passes automatic checks
gpt-5.4-mini,contract,es_en_SA_002,es-en,editing_preservation,1,0,"wrong_output_language,task_noncompletion","wrong_output_language, task_noncompletion",1,True,,passes automatic checks
gpt-5.4-mini,baseline,es_en_SA_003,es-en,editing_preservation,1,0,"wrong_output_language,task_noncompletion","wrong_output_language, task_noncompletion",1,True,,passes automatic checks
gpt-5.4-mini,contract,es_en_SA_003,es-en,editing_preservation,1,0,"wrong_output_language,task_noncompletion","wrong_output_language, task_noncompletion",1,True,,passes automatic checks
gpt-5.4-mini,baseline,es_en_SA_004,es-en,editing_preservation,1,0,"wrong_output_language,task_noncompletion","wrong_output_language, task_noncompletion",1,True,,passes automatic checks
gpt-5.4-mini,contract,es_en_SA_004,es-en,editing_preservation,1,0,"wrong_output_language,task_noncompletion","wrong_output_language, task_noncompletion",1,True,,passes automatic checks
gpt-5.4-mini,baseline,es_en_SA_005,es-en,editing_preservation,1,0,"wrong_output_language,task_noncompletion","wrong_output_language, task_noncompletion",1,True,,passes automatic checks
gpt-5.4-mini,baseline,es_en_SA_006,es-en,editing_preservation,1,0,"wrong_output_language,task_noncompletion","wrong_output_language, task_noncompletion",1,True,,passes automatic checks
gpt-5.4-mini,contract,es_en_SA_006,es-en,editing_preservation,1,0,"wrong_output_language,task_noncompletion","wrong_output_language, task_noncompletion",1,True,,passes automatic checks
gpt-5.4-mini,baseline,es_en_SA_007,es-en,editing_preservation,1,0,"wrong_output_language,task_noncompletion","wrong_output_language, task_noncompletion",1,True,,passes automatic checks
