item_id,model,condition,language_pair,task_family,ftga,rtt,resolved,unresolved,initially_failed,repair_success_1,repair_success_2,token_tax,first_failure_types
es_en_SA_001,gpt-5.5,baseline,es-en,editing_preservation,0,1,1,0,1,1,1,2.5636363636363635,"['wrong_output_language', 'task_noncompletion']"
es_en_SA_001,gpt-5.5,contract,es-en,editing_preservation,1,0,1,0,0,0,0,1.0,[]
es_en_SA_002,gpt-5.5,baseline,es-en,editing_preservation,0,1,1,0,1,1,1,2.503267973856209,"['wrong_output_language', 'task_noncompletion']"
es_en_SA_002,gpt-5.5,contract,es-en,editing_preservation,1,0,1,0,0,0,0,1.0,[]
es_en_SA_003,gpt-5.5,baseline,es-en,editing_preservation,0,1,1,0,1,1,1,2.13768115942029,"['wrong_output_language', 'task_noncompletion']"
es_en_SA_003,gpt-5.5,contract,es-en,editing_preservation,1,0,1,0,0,0,0,1.0,[]
es_en_SA_004,gpt-5.5,baseline,es-en,editing_preservation,0,1,1,0,1,1,1,2.2335766423357666,"['wrong_output_language', 'task_noncompletion']"
es_en_SA_004,gpt-5.5,contract,es-en,editing_preservation,0,1,1,0,1,1,1,2.006993006993007,['wrong_output_language']
es_en_SA_005,gpt-5.5,baseline,es-en,editing_preservation,0,1,1,0,1,1,1,2.4347826086956523,"['wrong_output_language', 'task_noncompletion']"
es_en_SA_005,gpt-5.5,contract,es-en,editing_preservation,1,0,1,0,0,0,0,1.0,[]
es_en_SA_006,gpt-5.5,baseline,es-en,editing_preservation,0,1,1,0,1,1,1,2.4671052631578947,"['wrong_output_language', 'task_noncompletion']"
es_en_SA_006,gpt-5.5,contract,es-en,editing_preservation,1,0,1,0,0,0,0,1.0,[]
es_en_SA_007,gpt-5.5,baseline,es-en,editing_preservation,0,1,1,0,1,1,1,2.2167832167832167,"['wrong_output_language', 'task_noncompletion']"
es_en_SA_007,gpt-5.5,contract,es-en,editing_preservation,1,0,1,0,0,0,0,1.0,[]
es_en_SA_008,gpt-5.5,baseline,es-en,editing_preservation,0,1,1,0,1,1,1,2.5652173913043477,"['wrong_output_language', 'task_noncompletion']"
es_en_SA_008,gpt-5.5,contract,es-en,editing_preservation,1,0,1,0,0,0,0,1.0,[]
