stratum_type,stratum,n_items,n_model_item_pairs,baseline_ftga_pct,contract_ftga_pct,delta_pp,cluster_bootstrap_ci_low_pp,cluster_bootstrap_ci_high_pp,net_positive_item_count,net_negative_item_count,net_tied_item_count,bootstrap_samples,bootstrap_seed
overall,all,120,600,76.3,86.5,10.2,5.8,15.0,24,5,91,10000,20260629
generation,GPT-4.1 family,120,360,73.3,83.1,9.7,5.6,14.4,22,1,97,10000,20260629
generation,GPT-5.x family,120,240,80.8,91.7,10.8,5.4,16.7,21,5,94,10000,20260629
task_family,editing_preservation,30,150,33.3,74.0,40.7,28.0,53.3,20,0,10,10000,20260629
task_family,output_language_inference,30,150,99.3,100.0,0.7,0.0,2.0,1,0,29,10000,20260629
task_family,quote_preservation,30,150,94.0,93.3,-0.7,-2.7,1.3,1,2,27,10000,20260629
task_family,script_register_locale,30,150,78.7,78.7,0.0,-3.3,4.0,2,3,25,10000,20260629
language_pair,ar-en,40,200,62.5,83.0,20.5,9.5,32.5,11,2,27,10000,20260629
language_pair,es-en,40,200,70.5,80.0,9.5,4.0,15.5,11,1,28,10000,20260629
language_pair,hi-en,40,200,96.0,96.5,0.5,-2.0,3.5,2,2,36,10000,20260629
