concern_id,reviewer_concern,readiness,paper_claim_use,key_answer,evidence,validators,next_action
current_model_timeliness,The original GPT-4.1-family result may be outdated.,covered,Use the full gpt-5.5 run as the current-model headline and keep gpt-5.4-mini bounded.,"Full 120-item gpt-5.5 evidence shows 81.7% to 98.3% FTGA, 20 paired fixes, zero first-turn regressions, and zero unresolved trajectories under the contract.",paper/current_model_refresh_v02.md; paper/current_model_uncertainty_v02.md; paper/current_model_error_analysis_v02.md; paper/current_model_regression_risk_v02.md,scripts/validate_current_model_refresh.py; scripts/validate_current_model_uncertainty.py; scripts/validate_current_model_error_analysis.py; scripts/validate_current_model_regression_risk.py,No additional API run is needed for this claim boundary.
lower_cost_model_boundary,The lower-cost current model may not support the same mitigation claim.,covered_with_boundary,Report lower normalized token tax plus directional FTGA; do not claim universal repair improvement.,"gpt-5.4-mini improves from 80.0% to 85.0% FTGA, but the interval crosses zero, unresolved rate rises, and five first-turn regressions remain.",paper/current_model_uncertainty_v02.md; paper/current_model_regression_risk_v02.md; paper/current_model_error_analysis_v02.md,scripts/validate_current_model_uncertainty.py; scripts/validate_current_model_regression_risk.py; scripts/validate_current_model_error_analysis.py,Keep the gpt-5.4-mini language as a bounded lower-cost diagnostic.
synthetic_scope,"The benchmark is small and synthetic, not representative of global users.",covered_with_boundary,"Use as a stress pilot and progress probe, not a prevalence or population claim.","The benchmark card, limitations, and claim linter enforce synthetic-pilot, non-representative wording.",docs/benchmark_card.md; paper/sections/08_limitations_and_ethics.tex; paper/claim_evidence_checklist.md,scripts/lint_claim_boundaries.py; scripts/validate_release_docs.py; scripts/validate_paper_claims.py,Do not describe the result as representative or prevalence-estimating.
scorer_validity,Automatic scoring could create the headline trend.,covered_with_boundary,"Use deterministic scorer audits and LLM-judge audits as scorer sanity checks, not as native validation.","Known-bad probes fail 390/390, constrained positive controls pass 120/120, and paired judge audits agree on 71/72 and 70/72 sampled labels.",paper/scorer_challenge_v02.md; paper/scorer_positive_control_v02.md; paper/judge_agreement_analysis_v02_full120.md; paper/judge_refresh_gpt55_v02_full120.md,scripts/validate_scorer_challenge_v02.py; scripts/validate_scorer_positive_control_v02.py; scripts/validate_judge_refresh.py; scripts/test_score_auto.py,Collect qualified human/native labels before widening validity claims.
human_native_validation,Native/near-native validation is still missing.,external_label_blocker,Do not claim completed human/native validation.,"Reviewer packets, launch checklists, adjudication workflows, and claim gates are ready, but completed qualified labels are absent.",paper/label_collection_launch_pack_v02.md; paper/label_collection_dispatch_v02.md; paper/completed_label_claim_gates_v02.md; data/current_model_human_audit/human_audit_packet_v0.2_current_gpt5.csv,scripts/validate_label_collection_launch_pack.py; scripts/validate_label_collection_dispatch.py; scripts/validate_completed_label_claim_gates.py; scripts/validate_completed_human_audit.py,"Collect current-model labels first, then original v0.2 labels, then v0.3 coverage review if reviewer capacity allows."
mechanism_vs_prompt_engineering,The result might be generic prompt engineering rather than a multilingual mechanism.,covered_with_boundary,"Frame preservation scaffolding as mechanism evidence, not prompt dominance.","Content-preservation prompts are close to or above the full contract, and contract fixes are concentrated in editing preservation.",paper/prompt_family_scorecard_v02.md; paper/current_prompt_mechanism_gpt54mini_v02.md; paper/current_prompt_mechanism_gpt55_v02.md; paper/contract_benefit_decomposition_v02.md,scripts/validate_prompt_family_scorecard.py; scripts/validate_current_prompt_mechanism.py; scripts/validate_contract_benefit_decomposition.py,Keep the full contract as the pre-specified intervention and avoid best-prompt claims.
coverage_expansion_v03,The v0.2 benchmark undercovers non-English target-content editing.,diagnostic_only,"Use v0.3 as launch-ready coverage scaffold and smoke evidence, not headline benchmark evidence.","The v0.3 scaffold adds 60 rows across six coverage slices and has review sheets plus smoke/pilot diagnostics, but native review is incomplete.",paper/coverage_expansion_v03.md; paper/coverage_native_review_design_v03.md; paper/coverage_pilot_gpt54mini_v03.md; paper/coverage_smoke_gpt55_v03.md,scripts/validate_coverage_expansion_v03.py; scripts/validate_coverage_native_review_packet_v03.py; scripts/validate_coverage_pilot_v03.py; scripts/validate_coverage_smoke_v03.py,Complete native review before treating v0.3 as benchmark evidence.
statistical_robustness,The effect may be sensitive to sampling or repeated prompt items.,covered,"Use all-five-model paired tests, clustered uncertainty, and balanced-pilot robustness as support.",Across 600 paired model-item rows the contract has 67 fixes vs. 6 regressions; clustered bootstrap gives +5.8 to +15.0 pp.,paper/all_model_paired_significance_v02.md; paper/all_model_uncertainty_v02.md; paper/balanced_subsample_robustness_v02.md; paper/sentinel_suite_v02.md,scripts/validate_all_model_paired_significance.py; scripts/validate_all_model_uncertainty.py; scripts/validate_balanced_subsample_robustness.py; scripts/validate_sentinel_suite_v02.py,Keep headline claims anchored to full 120-item runs.
token_cost_interpretation,Token tax might be confused with absolute API-cost savings.,covered_with_boundary,"Report token tax as normalized repair burden, not dollar cost.",The contract lowers normalized token tax for all five full-run models but increases absolute total tokens for every contract row.,paper/token_burden_analysis_v02_full120.md; paper/efficiency_tradeoff_v02.md; docs/evaluation_card.md,scripts/validate_efficiency_tradeoff.py; scripts/validate_release_docs.py; scripts/validate_paper_claims.py,Keep cost language focused on repair burden and absolute-token caveats.
real_world_motivation_privacy,The real-world motivation scan might imply unsupported prevalence or expose private text.,covered_with_boundary,Use WildChat only as aggregate taxonomy motivation.,"The scan writes hashed metadata only, reports no raw text, and the taxonomy audit maps all six cue categories to benchmark/scorer/metric surfaces.",paper/discovery_cue_analysis.md; paper/taxonomy_traceability_v02.md; results/discovery/wildchat_20k_repair_cues/summary.json,scripts/validate_taxonomy_traceability_v02.py; scripts/validate_paper_claims.py,Do not report WildChat cue hits as prevalence estimates.
